CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
花苑新村(昆山),3室2厅, 169.83,12366,210,40,0
常发香城湾,2室2厅, 74.7,17136,128,86,2
大自然花园,5室4厅, 938.72,27698,2600,0,0
绅园,3室3厅, 223,17714,395,23,1
梦莱茵别墅,4室3厅, 342.99,21867,750,1,1
上海裕花园,1室1厅, 55,20000,110,66,1
高林水乡花园,3室2厅, 137,9490,130,76,0
金城花园,6室2厅, 216,13889,300,16,0
中城花园清竹苑,4室2厅, 192.04,24995,480,4,0
恒大海上威尼斯,4室3厅, 186,15861,295,20,0
云尚城,5室3厅, 545.93,20150,1100,1,0
万科魅力花园,3室2厅, 96.21,19749,190,2,0
花桥裕花园,1室1厅, 65.87,16700,110,99,5
可逸兰亭,3室1厅, 93.16,16102,150,26,1
常发香城湾,3室2厅, 104.68,16718,175,13,2
富力湾,2室2厅, 86,20931,180,12,0
田园风光小区,4室2厅, 210.1,9282,195,0,0
凯德都会新峰,2室2厅, 97,25258,245,7,0
花桥绿地21城D区孝贤坊,2室1厅, 81.26,21536,175,7,0
乍浦东方巴黎城,5室3厅, 363.6,10177,370,0,0
乍浦东方巴黎城,5室3厅, 363.6,10177,370,0,0
保利·西塘越,3室2厅, 129.07,15496,200,6,0
周庄天润尚院,4室2厅, 244.98,15022,368,3,0
绿地丽水名邸,3室2厅, 148,22298,330,0,0
鑫苑国际城市花园,1室2厅, 89.6,22322,200,6,4
花桥国际华城,3室2厅, 114.89,18279,210,13,1
景浦苑,2室1厅, 64.47,10858,70,15,0
田园风光小区,6室3厅, 253.3,9081,230,5,0
绿地理想家园,3室2厅, 87.46,20581,180,3,0
花桥象屿都城,2室1厅, 65.91,16083,106,72,0
绿地丽水名邸,3室2厅, 148.19,20245,300,2,2
常发香城湾,2室1厅, 79.05,18976,150,8,0
绿地启航社,2室2厅, 77.62,18037,140,14,0
江南水郡,5室3厅, 232.69,15042,350,1,0
海上普罗旺斯,4室3厅, 183.84,7616,140,5,0
长泰淀湖观园,4室2厅, 229.66,21772,500,1,0
千灯裕花园,2室2厅, 115.89,11218,130,7,0
常发香城湾,2室2厅, 93.44,19264,180,1,0
启航社晶彩,2室2厅, 95.58,28249,270,4,0
