CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
江海新村,3室1厅, 84.98,20829,177,172,67
金都雅苑(公寓),3室2厅, 105.75,26762,283,22,31
绿地南桥新苑,2室2厅, 112,32143,360,42,30
鸿宝一村(南区),1室1厅, 45,33334,150,33,43
聚贤煌都,3室2厅, 124.49,29722,370,96,43
钱桥新苑,3室2厅, 135.43,15728,213,23,65
海尚墅林苑,3室1厅, 87.78,20734,182,102,38
贝港七区,3室1厅, 79.6,27136,216,20,29
招商南桥雅苑,2室2厅, 84.31,37956,320,3,34
江海花园,3室2厅, 141.2,19831,280,43,35
贝港一区,2室1厅, 84.64,23630,200,19,32
鸿宝一村(北区),2室1厅, 71.5,32168,230,34,29
江海二村(奉贤),3室2厅, 99.71,19056,190,108,27
闸园新村,3室2厅, 80.42,25492,205,36,27
新南家园,2室2厅, 92.63,28609,265,30,30
浦南园,2室2厅, 110,25910,285,30,21
绿地观邸,3室2厅, 210.7,29901,630,17,16
绿地香颂(奉贤)(公寓),2室2厅, 84.51,22483,190,70,18
解放新村,2室1厅, 52.33,28091,147,95,21
江海花园,2室2厅, 85.24,27922,238,10,28
唐城街25弄,3室2厅, 95.06,14307,136,437,29
水岸家苑,2室2厅, 96,28646,275,28,20
江海二村(奉贤),2室2厅, 85.99,21631,186,58,44
蓝天苑,4室3厅, 167.84,20139,338,71,7
阳光海岸(公寓),1室1厅, 58.67,21817,128,47,12
阳光海岸(别墅),3室3厅, 237.93,26059,620,55,12
新南家园,2室2厅, 113.35,27261,309,27,12
同盛南桥花园,3室1厅, 96.65,41387,400,5,13
华龙公寓(曙光新村),2室2厅, 94.46,30172,285,7,14
育秀三区,3室1厅, 90.54,25404,230,11,16
人民南路62弄,3室1厅, 73.53,27064,199,21,5
果园小区,2室1厅, 66.28,30176,200,29,16
大桥公寓,2室1厅, 66.41,30116,200,31,12
江海新村,3室1厅, 93.5,21926,205,12,5
巨龙台湾城,2室2厅, 84.55,29569,250,41,13
贝港第二居民区,3室1厅, 84.6,25414,215,35,14
景怡佳苑,3室2厅, 140.03,29280,410,25,14
南郊御墅,2室2厅, 92.08,45613,420,18,12
江海二村(奉贤),3室1厅, 101.38,23674,240,9,16
育秀八区,3室1厅, 97.59,25618,250,3,15
贝港二区,2室1厅, 78.46,25491,200,7,14
普康苑,2室2厅, 116.7,27421,320,13,19
文怡花园,2室2厅, 86,29070,250,4,16
阳光园(二期)(三期),6室3厅, 115.43,31188,360,12,17
蓝天苑,2室2厅, 82.82,28979,240,22,13
水帘洞小区,2室1厅, 63.59,27992,178,3,11
绿地香颂(奉贤)(公寓),1室1厅, 47.44,25506,121,66,16
恒盛湖畔豪庭,2室2厅, 109.25,43936,480,3,5
鸿宝一村(北区),1室1厅, 47.42,33742,160,42,2
九华苑,2室2厅, 91.3,30669,280,29,5
明城玫瑰园,3室1厅, 111,14415,160,18,4
民旺苑,2室2厅, 90.23,28816,260,35,22
阳光园(二期)(三期),3室2厅, 170.99,29242,500,0,14
江海花园,3室2厅, 142.71,24526,350,22,17
鸿宝一村(南区),3室1厅, 84.84,26875,228,11,3
鸿宝二村,3室1厅, 81.99,29638,243,35,15
正阳世纪星城芳邻苑,3室2厅, 121.06,31390,380,52,12
恒盛湖畔豪庭,2室2厅, 87.92,42767,376,14,14
鸿宝一村(南区),2室2厅, 89.56,27915,250,33,9
紫苑小区,2室1厅, 76,18422,140,49,11
景怡佳苑,3室2厅, 133,29700,395,14,14
商宝兴贤公寓,2室1厅, 80,30000,240,21,16
江海二村(奉贤),3室1厅, 86.27,22256,192,54,4
