CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
裕鸿佳苑,2室2厅, 81.28,22146,180,33,2
绿舟星城,2室1厅, 56.97,21064,120,31,0
海燕新村(崇明),2室1厅, 46.75,10910,51,15,0
海鸥新村,2室1厅, 46.75,11337,53,3,0
金茂悦公馆,5室3厅, 528.61,62428,3300,0,1
长乐一村,2室0厅, 44.52,11681,52,19,15
裕鸿佳苑,2室2厅, 78.73,24134,190,20,0
海燕新村(崇明),2室0厅, 46.75,11337,53,38,2
新开河路574号,2室1厅, 73.12,19147,140,0,1
天明新村,2室1厅, 64.28,20225,130,2,1
堡镇南路94号,2室2厅, 70.42,19171,135,48,0
跃进新村,2室1厅, 41.08,11198,46,3,0
体北新村,2室1厅, 46.03,11949,55,8,0
明华二村,2室1厅, 54.7,12798,70,4,0
三湘海尚云邸,4室2厅, 298.65,23439,700,0,0
富源花苑,2室2厅, 90.61,15451,140,28,0
海燕新村(崇明),2室0厅, 42.66,13831,59,28,2
东门新村,3室1厅, 71.98,25702,185,6,0
裕鸿佳苑,1室1厅, 58.8,27211,160,8,0
绿岛阳光苑,5室3厅, 265,27170,720,3,0
绿舟星城,2室2厅, 81.98,16224,133,5,0
堡镇中路355弄,3室2厅, 174.09,13499,235,6,0
南门路318弄,3室2厅, 129,27907,360,0,0
绿舟星城,2室2厅, 90.96,17041,155,3,0
新环路66弄,1室1厅, 49.1,11202,55,8,0
大通路239号,3室1厅, 90,18334,165,1,0
裕鸿佳苑,2室2厅, 92.37,20029,185,3,0
凤辰乐苑,1室1厅, 57.54,27807,160,3,0
文宸花苑,3室2厅, 101.88,21595,220,0,0
览海高尔夫别墅,8室8厅, 291.19,54947,1600,1,0
大通路239号,3室1厅, 90,18334,165,1,0
裕鸿佳苑,2室2厅, 92.37,20029,185,3,0
凤辰乐苑,1室1厅, 57.54,27807,160,3,0
文宸花苑,3室2厅, 101.88,21595,220,0,0
