CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
云舫小区,2室2厅, 75.41,61000,460,88,62
赤峰小区,1室1厅, 40.29,67015,270,44,56
密二小区,2室1厅, 55.57,66583,370,92,61
世博花园,2室2厅, 117.73,81543,960,51,21
祥东小区(虹口),1室1厅, 35.32,62288,220,142,28
宏凯公寓,2室2厅, 97.47,62071,605,78,39
曲阳名邸,1室1厅, 58.21,77307,450,133,24
东体小区,1室1厅, 39.36,73171,288,27,46
金轩大邸,2室2厅, 108.73,73577,800,86,34
密二小区,2室1厅, 60.67,71700,435,42,40
欧洲花园,3室2厅, 131,70230,920,30,30
宇泰景苑,2室2厅, 103.81,81881,850,49,23
密二小区,1室1厅, 39.8,66583,265,8,27
世博花园,6室3厅, 258.78,77286,2000,45,18
秀苑小区,2室1厅, 54.04,58846,318,24,16
金属新村,2室1厅, 87.32,60124,525,68,16
西南小区,2室1厅, 44.39,76594,340,14,17
新市南路1130弄,1室1厅, 39.98,55528,222,18,15
瑞虹新城二期(优贤生活),2室2厅, 88.54,98148,869,42,22
中虹翡翠园,2室2厅, 102.24,70423,720,32,30
欧四小区,2室0厅, 43.85,71608,314,14,35
中信和平家园,2室2厅, 88.89,98999,880,67,49
瑞嘉苑,3室2厅, 143.74,80006,1150,63,27
晨林花苑,2室2厅, 92.76,69750,647,120,29
新三小区,2室1厅, 51.84,59028,306,12,20
马华大楼,2室1厅, 69.23,80890,560,14,41
瑞虹新城铭庭,2室2厅, 90.36,104029,940,58,30
建邦16区,3室2厅, 135.46,92279,1250,28,37
密二小区,2室1厅, 60.69,65909,400,43,13
久久公寓,3室2厅, 157.23,63602,1000,43,17
水电路62弄,2室2厅, 87.55,67391,590,27,17
欧九小区,2室0厅, 55.31,66896,370,44,17
广中二村,2室2厅, 79.47,50334,400,181,20
瑞虹新城(一期),3室2厅, 128.47,77684,998,315,43
瑞虹新城(一期),2室2厅, 88.18,85054,750,63,28
浦江名邸,3室2厅, 158.47,82035,1300,33,26
万峰梦湖苑,2室2厅, 82.65,73201,605,41,20
西宝兴路949弄,1室0厅, 36.75,47620,175,195,7
何家宅小区,1室1厅, 40.34,61974,250,26,10
密三小区,2室0厅, 45.69,71132,325,16,18
巴林小区,2室1厅, 52.8,63447,335,15,16
中皇广场,3室2厅, 157.33,63561,1000,54,15
银欣花苑(虹口),2室2厅, 110.04,60887,670,223,21
学府花苑,2室1厅, 72.77,57717,420,30,18
瑞虹新城二期(优贤生活),3室2厅, 148.36,94366,1400,29,20
文苑小区(虹口),2室1厅, 67.38,55358,373,24,11
恒通公寓,2室2厅, 98.28,63086,620,173,18
运光新村,3室1厅, 82.33,60610,499,51,24
东五小区(虹口),2室1厅, 87.51,65136,570,13,18
万峰梦湖苑,3室2厅, 116.49,69534,810,30,15
