CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
御景龙庭,2室2厅, 91.52,28410,260,1,0
龙泽园,3室2厅, 127.01,27557,350,0,0
绿地蔷薇四季,4室2厅, 131.43,30435,400,0,0
松隐大街363弄,2室2厅, 80.5,13914,112,101,8
景展家园,3室2厅, 125.72,11534,145,12,1
红旗新村,2室0厅, 55.37,21673,120,2,0
枫岸华庭,2室1厅, 58.04,20676,120,23,0
绿地芳满庭,3室1厅, 88.03,23856,210,0,1
海上纳缇,3室2厅, 107.62,25553,275,0,1
森海豪庭,2室2厅, 89.62,29905,268,2,0
隆亭家园,4室2厅, 198.85,14584,290,92,3
新春苑,3室2厅, 130.07,21143,275,20,1
绿地蔷薇四季,3室2厅, 148.29,24412,362,0,1
中冶枫郡苑,2室2厅, 89,20787,185,16,0
万春苑,3室2厅, 135.97,14342,195,8,0
金山名都,4室2厅, 229.06,30124,690,0,0
合生财富海景公馆,4室2厅, 159.45,31358,500,0,0
玉兰新村,3室1厅, 84,20596,173,13,0
新建新村,3室2厅, 117.02,17092,200,2,0
芙蓉二村,3室1厅, 82.58,15743,130,55,4
恒信家园,2室2厅, 97,17526,170,27,3
恒信家园,3室1厅, 98,17347,170,22,2
绿地芳满庭,2室1厅, 64.43,26386,170,14,0
汇佳新苑,2室2厅, 104.19,28314,295,5,0
海浒新村,2室1厅, 63.9,20032,128,12,0
海尚馨苑,2室2厅, 98,24490,240,1,0
绿地金卫新家园,2室2厅, 86.75,19366,168,0,0
建元景苑,2室2厅, 87.44,16583,145,1,0
新城旭辉府,3室2厅, 88.36,30331,268,0,0
金桂花苑,4室1厅, 88.66,21092,187,0,0
建元景苑,2室2厅, 87.44,16583,145,1,0
新城旭辉府,3室2厅, 88.36,30331,268,0,0
绿地金卫新家园,2室2厅, 86.75,19366,168,0,0
滨海二村,2室1厅, 51,17255,88,5,1
滨海三村,2室1厅, 43.33,17540,76,6,2
新洲小区,2室1厅, 71.8,16714,120,90,2
绿地芳满庭,2室2厅, 87.52,20567,180,4,1
南溪一村,2室1厅, 57.3,15358,88,37,0
森海豪庭,2室2厅, 100.28,33906,340,0,0
康发新苑,3室2厅, 122.66,16713,205,0,0
蓝色收获,1室1厅, 59.4,25253,150,1,0
滨海一村,1室1厅, 31.06,20284,63,39,1
海上明珠园,3室2厅, 134,23881,320,1,0
绿地芳满庭,3室2厅, 90.55,25953,235,2,0
上置海景大厦,2室2厅, 82.56,24952,206,2,0
长城逸府,4室2厅, 134,19403,260,0,0
隆亭家园,3室2厅, 132.56,13579,180,12,2
绿地金卫新家园,2室2厅, 75.97,21061,160,10,0
锦华大楼,2室1厅, 78,16667,130,8,0
绿地路易宫(别墅),4室3厅, 263.39,29842,786,0,0
金天地花园,2室2厅, 105,26667,280,2,0
卫零路548弄,3室1厅, 124,14517,180,6,2
东风新村,1室1厅, 36,19445,70,8,2
石化九村,2室1厅, 53.8,20447,110,5,0
飞虹南村,4室2厅, 127,14174,180,2,0
城西花苑,3室2厅, 132,13788,182,2,0
枫岸华庭,3室2厅, 148,18244,270,1,0
石化十一村,2室1厅, 52,15770,82,7,0
绿地金卫新家园,2室2厅, 111.76,18970,212,1,0
石化九村,2室1厅, 53.8,20447,110,5,0
城西花苑,3室2厅, 132,13788,182,2,0
绿地金卫新家园,2室2厅, 111.76,18970,212,1,0
石化十一村,2室1厅, 52,15770,82,7,0
