CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
上海花城,3室2厅, 129.91,72743,945,83,54
罗马花园,2室2厅, 162.87,52189,850,101,106
悦达花苑,3室2厅, 110.88,81169,900,40,37
凯欣豪园,2室2厅, 96.58,92152,890,186,93
茅台雅苑,2室1厅, 69.94,74350,520,16,43
安化路396号,3室1厅, 65.09,69904,455,91,57
云雾山路9弄,2室0厅, 48.6,68931,335,100,33
南辉小区,2室1厅, 57.55,92963,535,18,77
新泾三村,1室1厅, 40.18,60976,245,122,29
百花村,3室1厅, 74.83,78846,590,16,33
番禺大厦,2室0厅, 70.66,72177,510,72,31
东浜小区,1室1厅, 44.22,81412,360,27,27
申亚新华府,4室2厅, 205.5,87592,1800,104,45
番禺路222弄,2室1厅, 64.72,66441,430,78,52
兆丰花园,2室2厅, 130.28,70618,920,23,23
宝地新品居,2室2厅, 86.96,87397,760,107,30
延西小区,2室1厅, 54.17,68858,373,49,20
新泾四村,2室0厅, 45.79,60057,275,31,14
瑞冬小区,2室1厅, 51.82,57893,300,101,33
大华公寓(长宁),2室1厅, 60.02,69144,415,34,24
利西大楼,2室1厅, 64.21,74444,478,95,27
虹桥府邸,3室2厅, 189.33,73945,1400,72,29
虹桥万博花园,3室2厅, 138,90580,1250,56,29
华山花苑,2室1厅, 79.36,81906,650,100,38
新华世纪园,4室2厅, 239.05,74044,1770,74,87
定西路390弄,2室1厅, 52.85,75686,400,18,32
圣约翰名邸,3室2厅, 145.09,79262,1150,113,59
红梅小区(长宁),1室1厅, 44.76,65908,295,49,40
长源小区,2室1厅, 48.8,76025,371,98,36
友谊小区,3室0厅, 62.74,60568,380,75,25
万航渡路2540号,2室1厅, 54.65,64044,350,53,26
中华小区,2室1厅, 40.88,79501,325,33,15
遵义小区,3室0厅, 69.59,64665,450,51,28
古北国际花园,2室2厅, 147.06,91800,1350,38,38
东方剑桥,2室2厅, 106.79,98324,1050,59,61
大明小区,3室1厅, 72.02,78451,565,69,24
嘉里华庭,3室2厅, 146.54,103726,1520,80,19
清宁小区,2室0厅, 56.65,67079,380,70,35
凯欣豪园,2室2厅, 118.06,99950,1180,49,30
古北国际广场,3室2厅, 153.28,96556,1480,95,38
河风丽景,4室2厅, 172.84,65379,1130,101,28
虹桥万博花园,2室2厅, 115.19,82473,950,26,23
威宁小区,2室1厅, 55.37,66462,368,97,11
银鑫大楼,2室1厅, 70.96,68490,486,33,22
虹延小区,1室1厅, 40.36,64421,260,59,16
华丽家族古北花园,3室2厅, 242.28,113506,2750,7,17
镇宁路465弄,2室1厅, 46.88,88524,415,81,16
杨宅小区,2室1厅, 49.9,78157,390,11,9
