CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
彭五小区,2室0厅, 48.02,53728,258,113,76
明园森林都市,2室1厅, 87.2,79702,695,50,38
嘉利明珠城,2室2厅, 97.05,76250,740,48,31
平顺小区,1室0厅, 28.31,56518,160,151,56
唐家沙小区,1室1厅, 29.22,65024,190,69,25
金荣公寓,3室2厅, 114.75,91504,1050,7,25
永和二村,2室1厅, 49.42,58681,290,32,62
临汾路1244弄,2室1厅, 69.7,51650,360,11,26
龙盛佳苑,1室1厅, 49.32,57786,285,140,33
彭五小区,1室1厅, 39.86,53939,215,24,23
兴泉小区,2室1厅, 60.16,46543,280,83,23
银都一村,1室1厅, 35.15,52063,183,87,35
景凤小区,1室1厅, 42.86,47131,202,21,19
华祺苑,2室2厅, 121.1,79274,960,31,27
汾西路400弄,1室0厅, 30.36,49408,150,137,34
卓悦居,2室2厅, 93.75,90667,850,35,37
景凤小区,1室1厅, 43.69,48753,213,13,18
安源小区,3室1厅, 93.89,73491,690,26,19
平型关路265弄,1室0厅, 36.84,65147,240,6,22
慧芝湖花园,2室2厅, 91.07,91688,835,46,56
悦公馆,2室2厅, 88.84,87799,780,39,25
龙馨嘉园,3室1厅, 102.4,52247,535,66,28
彭三小区,2室0厅, 47,54894,258,20,21
悠和家园,2室2厅, 94.52,79349,750,80,33
星纪花苑,2室1厅, 66.84,57601,385,24,21
共康三村,2室0厅, 44.84,50179,225,24,27
佳宁花园,2室2厅, 107.96,67618,730,52,28
场中路1985弄,1室1厅, 38.01,47356,180,114,28
阳城贵都,2室2厅, 95.38,69931,667,73,32
星纪花苑,2室1厅, 66.84,57601,385,24,21
盛和玲珑苑,2室2厅, 110.27,68922,760,153,34
天晋小区,2室1厅, 87.48,66301,580,16,17
越秀苑,3室2厅, 124.63,68202,850,85,67
新汾小区,2室1厅, 56.23,60111,338,23,23
星纪花苑,2室1厅, 73.92,52760,390,96,20
广中西路818弄,2室1厅, 68.92,63117,435,16,30
新梅共和城,2室2厅, 91.32,85414,780,26,14
