CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
阁游路777弄,1室2厅, 74.41,32120,239,10,33
中信泰富朱家角新城(公寓),2室1厅, 87.22,34396,300,78,17
上海捷克住宅小区(公寓),2室2厅, 91.06,35691,325,25,23
上海豪都国际花园(公寓),2室1厅, 86.61,33484,290,56,30
东方庭院(别墅),4室2厅, 217.31,26690,580,53,26
万寿新村(青浦),2室1厅, 52.8,33144,175,45,23
上海豪都国际花园(公寓),2室1厅, 86.61,38102,330,16,7
广虹公寓,2室1厅, 72,34723,250,32,15
康虹花园(公寓),1室1厅, 66.62,49535,330,25,9
康虹花园(公寓),3室1厅, 66.62,49535,330,37,15
民乐佳苑,3室2厅, 67.65,38434,260,91,17
上海捷克住宅小区(公寓),2室2厅, 90.41,34289,310,29,12
高景花园,1室1厅, 66.17,43827,290,3,5
嘉憬河畔公寓,3室2厅, 126.09,29345,370,61,7
新城盛景园,3室2厅, 86.65,39816,345,37,6
广虹公寓,1室1厅, 64,35938,230,39,9
庆丰新村,3室1厅, 95.32,33047,315,11,2
侨鑫公寓,3室2厅, 78.15,35829,280,4,1
浦汇新村,2室2厅, 80.66,30995,250,6,1
夏阳湖国际花园,3室2厅, 135.03,30957,418,4,4
新城盛景园,3室2厅, 107.41,38172,410,56,10
城东新村,2室1厅, 57.33,34886,200,10,10
安盛杉庄,双拼别墅, 6室,69971,1580,4,1
都汇华庭,1室1厅, 48.25,31089,150,18,8
浩泽家园,2室2厅, 73.92,37203,275,19,9
怡田小区,2室1厅, 63.21,35754,226,11,6
城东新村,2室1厅, 57.56,33531,193,20,5
久事西郊花园,独栋别墅, 3室,67923,1298,77,7
佳丽花园,3室2厅, 97.58,33307,325,6,10
怡田小区,2室2厅, 81.6,30515,249,26,12
巷佳华苑(一期),2室1厅, 82,37805,310,34,4
荷景苑,3室2厅, 140.81,29118,410,0,2
城东新村,2室1厅, 58.67,33749,198,37,2
上海豪都国际花园(公寓),2室1厅, 88.8,37163,330,2,3
西部花苑,2室2厅, 86.4,32987,285,9,4
蓬莱山庄,2室2厅, 83.6,31101,260,17,6
海天苑,2室2厅, 66.68,35243,235,6,1
青水湾公寓,2室2厅, 98.5,35026,345,10,4
绿中海明苑(公寓),3室2厅, 162.95,46027,750,46,7
梦丹苑,3室1厅, 109.9,29118,320,4,2
华科东路180弄,1室1厅, 57.67,39536,228,3,5
广虹公寓,2室1厅, 81.09,35147,285,33,3
欣乐苑,2室2厅, 72,42362,305,18,4
中信泰富朱家角新城(公寓),2室2厅, 93.76,29651,278,3,4
公园小区,3室2厅, 105.8,26276,278,31,1
金水湾(公寓),2室2厅, 94.17,39822,375,18,1
盈港苑,3室2厅, 132.44,30203,400,18,4
浦汇新村,3室1厅, 89.14,29729,265,2,1
现代华庭(公寓),2室1厅, 69.74,28678,200,33,5
祥龙小区,2室2厅, 83,34940,290,39,6
旭辉玫瑰湾,3室2厅, 90.24,37456,338,20,5
界泾港新村,3室1厅, 73.31,35194,258,21,3
新虹桥明珠花园,2室2厅, 95.86,39642,380,12,4
桂花园(青浦),2室1厅, 60.1,32946,198,33,0
吉富绅花园,2室2厅, 98.3,36827,362,2,1
浦汇新村,2室1厅, 79.9,33793,270,1,1
浦汇新村,3室1厅, 96.41,31118,300,4,2
华骥苑,2室1厅, 89.47,32190,288,7,3
顺驰蓝湾,4室2厅, 148.37,32352,480,3,2
大盈公寓,3室2厅, 118.89,31963,380,2,1
盈港苑,3室2厅, 141.9,28189,400,34,1
巷佳华苑(一期),2室1厅, 81.98,36595,300,113,3
广虹公寓,3室2厅, 126.79,31943,405,20,1
盈港花园(公寓),3室2厅, 117,28206,330,16,1
民惠佳苑,4室3厅, 160.77,19780,318,23,3
景港名人苑,2室2厅, 87.65,35597,312,15,1
吉富绅花园,2室2厅, 98.3,36827,362,2,1
绿中海明苑(公寓),3室2厅, 114.28,48128,550,8,1
泾港公寓,3室2厅, 133.87,26892,360,45,2
万寿新村(青浦),2室1厅, 55.5,32433,180,24,2
新虹桥明珠花园,2室2厅, 110.33,40787,450,0,2
泰安公寓,5室3厅, 157.57,19040,300,23,1
万科尚景苑(公寓),2室2厅, 80.85,34633,280,14,1
佳乐苑,1室1厅, 71.14,37251,265,6,1
青龙公寓,2室1厅, 71.74,36242,260,1,1
华科东路180弄,1室1厅, 60.06,35798,215,14,2
金地天御,2室2厅, 87.06,63175,550,20,3
华骥苑,2室2厅, 81.01,33330,270,13,1
西郊半岛名苑,5室2厅, 262,25955,680,43,2
新城盛景园,2室2厅, 89,39888,355,3,1
泰安公寓,5室2厅, 91.18,28516,260,2,1
晨兴公寓,3室2厅, 115.7,32844,380,2,1
帕缇欧香苑,3室2厅, 143.14,31788,455,1,2
新虹桥明珠花园,2室2厅, 95.86,44858,430,19,2
阁游路777弄,3室2厅, 89.81,33404,300,4,2
顺驰蓝湾,4室2厅, 148.37,32352,480,3,2
吉富绅花园,4室2厅, 138.75,30271,420,32,4
庆丰新村,3室1厅, 92.85,30157,280,5,1
金华新村(青浦),2室1厅, 70,19286,135,73,2
泾港公寓,2室2厅, 110,30000,330,3,2
泾港公寓,3室2厅, 133.87,26892,360,45,2
万寿新村(青浦),2室1厅, 55.5,32433,180,24,2
青龙公寓,2室1厅, 71.74,36242,260,1,1
佳乐苑,1室1厅, 71.14,37251,265,6,1
新虹桥明珠花园,2室2厅, 110.33,40787,450,0,2
泰安公寓,5室3厅, 157.57,19040,300,23,1
盈港苑,3室2厅, 141.9,28189,400,34,1
华骥苑,2室2厅, 81.01,33330,270,13,1
金华新村(青浦),1室1厅, 67.74,28049,190,3,1
万寿新村(青浦),2室1厅, 58.61,34124,200,13,3
星尚湾名邸,3室2厅, 108,41667,450,17,1
新城盛景园,2室2厅, 89,39888,355,3,1
金地天御,2室2厅, 87.06,63175,550,20,3
华科东路180弄,1室1厅, 60.06,35798,215,14,2
西郊半岛名苑,5室2厅, 262,25955,680,43,2
庆华新村,2室1厅, 51.12,33256,170,33,2
启航城,3室2厅, 95.58,32434,310,8,1
民乐佳苑,3室2厅, 116.4,30069,350,2,1
蓬莱山庄,3室2厅, 101.02,29698,300,1,2
金地格林郡,3室2厅, 136,32353,440,13,1
新虹桥雅苑,2室2厅, 83.32,58810,490,14,0
运杰城市花园,3室2厅, 123.98,33474,415,1,0
民乐佳苑,3室2厅, 120.47,29883,360,7,0
民乐佳苑,3室2厅, 121.66,30413,370,2,0
绿中海明苑(公寓),4室2厅, 251.56,58833,1480,12,0
绿地时代嘉苑,2室2厅, 82.19,29201,240,6,0
宝宜苑,3室2厅, 124.16,29801,370,1,0
侨鑫公寓,3室1厅, 101,32674,330,0,0
桂花园(青浦),3室2厅, 110.73,27093,300,20,0
佳丽花园,3室2厅, 132.13,27246,360,8,0
桂花园(青浦),3室2厅, 112.97,30540,345,5,0
城中东路311号,3室2厅, 117.31,25403,298,7,0
海天苑新村,3室1厅, 95.97,30739,295,9,0
万寿新村(青浦),3室1厅, 79.68,32004,255,7,0
西湖新村,3室2厅, 89.81,25499,229,15,0
仁恒运杰河滨花园,3室2厅, 132.86,33871,450,7,0
佳丽花园,3室2厅, 139.39,34436,480,5,0
河畔家苑,2室2厅, 88.9,50619,450,24,0
盈港商住新村,2室1厅, 90.55,30702,278,0,0
金地格林郡,2室2厅, 89.38,34460,308,5,0
盈港商住新村,2室1厅, 74.44,37615,280,7,0
金地格林郡,3室2厅, 127.05,30697,390,4,0
宝宜苑,3室2厅, 124.53,30515,380,3,0
金水湾(公寓),2室2厅, 95.37,41733,398,1,0
淀湖山庄,3室2厅, 115.06,28681,330,3,0
运杰城市花园,3室2厅, 124.2,33012,410,6,0
广虹商苑,3室2厅, 137.49,37821,520,16,0
章浜路111弄,3室1厅, 105.32,28485,300,7,0
万科尚源(公寓),3室2厅, 94.7,36431,345,4,0
桂花园(青浦),3室2厅, 113.84,28549,325,1,0
帕缇欧香苑,2室2厅, 99.7,34103,340,4,0
运杰城市花园,2室2厅, 123,33740,415,2,0
蓬莱山庄,3室2厅, 126.09,31724,400,0,0
桂花园(青浦),3室2厅, 142.49,28634,408,9,0
上海捷克住宅小区(公寓),2室2厅, 98.11,40771,400,6,0
阁游路777弄,3室1厅, 89,38765,345,1,0
城北新村,2室0厅, 58.23,30397,177,4,0
胜利路204弄,3室1厅, 82.76,29000,240,22,0
万科尚景苑(公寓),3室2厅, 89,37079,330,7,0
南沁园,3室2厅, 114.97,27660,318,10,0
运杰城市花园,2室2厅, 123,33740,415,2,0
蓬莱山庄,3室2厅, 126.09,31724,400,0,0
桂花园(青浦),3室2厅, 142.49,28634,408,9,0
