CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
中凯城市之光(静安),2室1厅, 83.79,101445,850,147,193
国际丽都城,2室2厅, 98.16,127344,1250,27,45
愚园路488弄,2室0厅, 48.35,98242,475,213,23
君御豪庭,2室2厅, 115.33,116189,1340,47,47
上海壹街区,2室2厅, 98.42,98558,970,26,53
金昌大厦,2室2厅, 100.26,66428,666,42,36
乌鲁木齐北路100弄,2室1厅, 71.87,80702,580,59,18
新丰小区,1室1厅, 38.04,86751,330,38,12
云和花园,1室2厅, 69.31,105324,730,69,37
金柏苑,2室2厅, 117.49,73198,860,601,39
静安枫景苑,3室2厅, 132.84,117435,1560,67,26
瀚林世家,3室2厅, 143.19,94281,1350,53,28
国际丽都城,2室2厅, 121.57,111048,1350,42,25
郑家巷小区,1室2厅, 66.67,97496,650,20,13
嘉发大厦,3室2厅, 139.99,89293,1250,9,11
又一村(静安),1室1厅, 30,120000,360,43,8
达安锦园,3室2厅, 138.95,111551,1550,19,23
新福康里(公寓),1室2厅, 76.97,94843,730,32,18
国际丽都城,3室2厅, 177.69,136756,2430,31,18
达安花园,3室2厅, 131.08,90022,1180,121,22
三和花园,3室2厅, 132.71,84395,1120,9,27
丽致公寓,3室2厅, 158.11,99298,1570,25,23
三鑫花苑,3室2厅, 146.47,81929,1200,20,20
君悦静安,1室1厅, 40.38,111442,450,45,11
金柏苑,3室2厅, 117.49,72347,850,82,21
静安城,2室2厅, 102.09,90607,925,30,19
康定大厦,2室1厅, 109.23,68663,750,35,21
四和花园,3室1厅, 74.14,91719,680,37,7
四和花园,2室1厅, 74.14,97114,720,16,8
巨富大厦,3室2厅, 182.39,76759,1400,26,12
四和花园,1室1厅, 31.09,154391,480,8,9
四和花园,2室1厅, 74.14,97114,720,16,8
静安枫景苑,3室2厅, 141.35,118854,1680,55,11
鑫康苑,3室2厅, 134.05,82059,1100,21,13
云华公寓,2室2厅, 99.97,82025,820,28,14
高荣小区,2室1厅, 57.98,91411,530,16,5
忆梅村,2室1厅, 67.28,96612,650,0,0
胶州路524弄,2室2厅, 78.72,78761,620,44,7
昌平路439号,2室0厅, 56.55,88418,500,20,7
嘉园,3室2厅, 133.91,93347,1250,23,12
高荣小区,3室1厅, 98.5,68528,675,33,7
曼克顿豪庭,2室2厅, 110.9,103698,1150,18,7
延平路237弄,2室0厅, 45.93,112781,518,12,7
静安丽舍,2室2厅, 99.88,82099,820,36,8
新江大楼,2室1厅, 71.89,87634,630,49,6
丽致公寓,2室2厅, 109.02,111907,1220,14,7
静安豪景苑,2室2厅, 115.7,128782,1490,38,15
延平路200弄,3室1厅, 56.81,109136,620,7,7
达安锦园,3室2厅, 139.12,107821,1500,26,9
鑫康苑,3室2厅, 137.99,78992,1090,14,5
三义坊,2室1厅, 59.9,91820,550,15,1
姚西小区,2室1厅, 38.98,84659,330,37,9
江宁路906弄,2室1厅, 52.16,86274,450,21,2
万航渡路433弄,1室1厅, 36.7,102180,375,17,4
四和花园,2室1厅, 70.34,108758,765,26,7
安西小区,1室0厅, 28.86,88358,255,154,5
南长小区,2室0厅, 54.88,85642,470,27,2
静安枫景苑,2室2厅, 107.02,121473,1300,51,6
远中风华园(公寓),3室2厅, 160.18,118617,1900,43,7
姚西小区,2室1厅, 38.98,84659,330,37,9
万航渡路433弄,1室1厅, 36.7,102180,375,17,4
四和花园,2室1厅, 70.34,108758,765,26,7
鑫康苑,3室2厅, 137.99,78992,1090,14,5
国际丽都城,4室2厅, 200,140000,2800,22,6
石门二路60号,3室2厅, 134.11,104392,1400,21,4
延平路237弄,2室1厅, 47,110639,520,6,5
高荣小区,2室0厅, 78.28,79203,620,8,3
延平路266弄,1室0厅, 34.78,83382,290,13,4
大德公寓,3室2厅, 158.32,82113,1300,40,7
升平小区,2室0厅, 73.14,86137,630,21,5
蓝朝部落,1室1厅, 50.83,97974,498,62,6
延平路259弄,1室1厅, 34.54,128837,445,9,3
金家巷西弄,2室1厅, 51.38,119697,615,0,1
北京西路1599号,1室1厅, 52.51,87603,460,70,0
达安城,1室1厅, 39.51,103772,410,46,0
金家巷西弄,1室1厅, 39.15,136654,535,0,0
京安大楼,3室1厅, 98.83,96125,950,14,0
康乐大楼(静安),1室1厅, 53.31,108798,580,2,3
新丰小区,1室1厅, 41,77561,318,105,1
瀚林世家,2室2厅, 102.16,117463,1200,7,1
静鼎安邦府邸(公寓),4室2厅, 268.24,99911,2680,42,4
静安枫景苑,2室2厅, 105.43,128996,1360,27,1
海防村,1室1厅, 35.32,175538,620,5,3
静安康寓,3室2厅, 159.7,99437,1588,11,1
爱俪轩,2室2厅, 130.16,63000,820,21,1
达安城,2室1厅, 93.97,100032,940,12,1
康定大厦,2室2厅, 111.93,71474,800,44,3
景华新村,2室1厅, 61.93,117553,728,45,1
华业小区,3室2厅, 144.64,94718,1370,24,2
永昌大厦,2室2厅, 110.39,73377,810,7,1
森凯苑,3室2厅, 121.51,85590,1040,52,1
华商名邸,4室2厅, 229.06,124422,2850,25,3
姚西小区,2室0厅, 56.68,75512,428,42,3
怡乐花园,3室2厅, 158.65,88245,1400,5,3
康定大楼(公寓),3室2厅, 123.4,79417,980,6,2
京安大楼,2室0厅, 70.67,89147,630,26,1
南阳小区,2室1厅, 69.5,103598,720,6,2
四和花园,3室1厅, 94.63,89824,850,43,3
静安豪景苑,3室2厅, 138.52,126336,1750,32,3
新福康里(公寓),1室1厅, 61.3,116314,713,18,1
胶州路274弄,2室1厅, 53.41,121701,650,11,1
武泰公寓,2室2厅, 101.44,93652,950,3,3
新福康里(公寓),1室2厅, 59.68,113942,680,33,3
晋元里,3室0厅, 42.49,82373,350,42,1
江宁路906弄,2室1厅, 63.78,84667,540,21,2
又一村(静安),2室2厅, 52,125000,650,1,2
静安丽舍,2室2厅, 103.42,96694,1000,32,3
光明小区,2室1厅, 55.46,88352,490,11,2
延平路461弄,2室1厅, 58.11,80882,470,8,1
新都城公寓,2室1厅, 103.35,85148,880,13,1
新福康里(公寓),2室2厅, 104.41,92903,970,34,1
茂名公寓,2室1厅, 67.8,110620,750,42,4
句容小区,1室0厅, 33.04,89286,295,13,7
静安紫苑,2室2厅, 101.32,93763,950,111,0
达安锦园,2室2厅, 94.35,127187,1200,23,0
远中风华园(公寓),2室2厅, 125.67,141641,1780,55,0
和一大厦,2室2厅, 131.13,72448,950,31,0
达安花园,2室2厅, 102.92,83561,860,56,0
康定大厦,3室2厅, 112,72322,810,34,0
远中风华园(公寓),2室2厅, 125.67,141641,1780,55,0
长乐路930弄,1室1厅, 37.13,110962,412,42,0
西康公寓,2室1厅, 82.2,80292,660,6,0
四方新城,2室2厅, 109.01,105495,1150,7,0
达安城,1室2厅, 72.25,105191,760,6,0
华山路734号,1室2厅, 52,102000,530.4,7,0
达安锦园,2室2厅, 97.82,132898,1300,0,0
四和花园,3室0厅, 74.13,95778,710,12,0
瀚林世家,2室2厅, 115.26,108451,1250,2,0
丽致公寓,3室2厅, 137.37,106283,1460,53,0
静安长华公寓,2室2厅, 145.54,65962,960,17,0
蓝朝部落,1室1厅, 45.25,99448,450,26,0
君悦静安,1室1厅, 44.9,105791,475,23,31
静安兴海城,2室2厅, 102.58,97485,1000,17,68
中凯城市之光(静安),1室1厅, 59.69,110572,660,58,29
恒丰大楼(静安),1室1厅, 61.16,72760,445,31,9
昌平路984弄,2室0厅, 47.73,89043,425,10,1
大华公寓(静安),2室1厅, 38.9,102828,400,6,1
姚西小区,2室0厅, 56.38,90458,510,0,0
骏豪国际,1室1厅, 40.5,93828,380,26,0
华纺小区,2室2厅, 84.36,82386,695,5,0
天香公寓,2室2厅, 120.4,76412,920,3,0
康乐大楼(静安),2室0厅, 58.04,94763,550,4,0
静安紫苑,1室2厅, 76.49,82364,630,143,0
四和花园,2室1厅, 81.06,87590,710,63,23
又一村(静安),2室1厅, 64.39,93183,600,41,31
振安广场,4室2厅, 165.37,76193,1260,18,37
香樟花园,3室2厅, 123.33,97300,1200,38,38
云海苑,3室2厅, 172.21,116138,2000,17,31
曼克顿豪庭,1室2厅, 61.93,122720,760,22,53
四和花园,3室0厅, 74.14,89021,660,26,21
静安枫景苑,3室2厅, 132.91,109849,1460,152,141
天鼎花园,3室2厅, 128.21,84237,1080,30,27
静鼎安邦府邸(别墅),联排别墅, 5室,134111,4600,114,24
姚西小区,2室0厅, 47.99,93770,450,11,21
海防村,1室0厅, 38.18,154532,590,25,16
云海苑,4室2厅, 193.99,87634,1700,27,24
昌平大楼,2室2厅, 80.01,79991,640,65,26
南长苑,1室0厅, 35.65,100982,360,42,34
贤居天下,3室2厅, 136.17,110157,1500,39,59
静安均泰丽轩,3室2厅, 144.54,103778,1500,34,39
泰府名邸,2室2厅, 118.19,116762,1380,51,58
永昌大厦,2室2厅, 77.63,70849,550,200,66
汇众康定小区,2室1厅, 61.11,96548,590,3,20
上海壹街区,2室2厅, 97.86,95034,930,46,32
静安丽舍,3室2厅, 141.55,95373,1350,42,25
中凯城市之光(静安),2室1厅, 81.09,99890,810,591,26
泰府名邸,3室2厅, 169.84,114814,1950,20,29
蓝朝部落,1室1厅, 56.46,86788,490,103,20
静安长华公寓,3室2厅, 150.3,69861,1050,24,21
静安新格公寓,2室1厅, 48.26,128471,620,56,77
恒丰大楼(静安),3室1厅, 105.64,64370,680,140,29
安西小区,2室0厅, 39.6,77021,305,1,0
东海园,1室1厅, 47.14,159101,750,19,15
天鼎花园,1室2厅, 78.65,82645,650,39,19
爱俪轩,1室0厅, 50.19,76709,385,223,38
君悦静安,1室1厅, 44.96,129004,580,8,4
静安恬园,3室2厅, 137.25,61931,850,209,8
静安风华苑,2室2厅, 122.77,83897,1030,56,14
华通公寓,2室1厅, 75.29,77036,580,34,21
达安花园,1室2厅, 66.29,87495,580,42,25
华通公寓,2室1厅, 75.29,77036,580,34,21
静安枫景苑,3室2厅, 126.63,118456,1500,28,22
江宁路906弄,1室1厅, 37.49,90425,339,19,8
新都城公寓,1室1厅, 72.32,85731,620,34,9
远中风华园(公寓),2室2厅, 129.48,111987,1450,48,14
四和花园,1室0厅, 32.72,145172,475,15,7
东海园,3室2厅, 106.68,117173,1250,28,6
达安花园,2室2厅, 106.97,89745,960,53,25
长城小区,2室0厅, 39.94,86380,345,39,17
康定大厦,3室2厅, 119.41,68671,820,62,19
嘉园,3室2厅, 120.74,85308,1030,8,8
