CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
南园小区,2室1厅, 64.52,73621,475,98,93
马当小区,2室1厅, 57.5,118261,680,18,25
海华花园,3室2厅, 115.22,77244,890,94,117
雅州公寓,3室2厅, 150.97,91409,1380,39,41
华润外滩九里,4室2厅, 270.94,143206,3880,33,82
明日星城,2室2厅, 93.31,85200,795,98,52
打浦路480弄,2室0厅, 48.53,63879,310,162,32
六角大楼,2室1厅, 80.36,82131,660,52,36
海洲国际华园,3室2厅, 129.94,84655,1100,52,52
士林华苑,3室2厅, 143.24,94946,1360,37,36
翠湖天地御苑,3室2厅, 182.46,145238,2650,42,43
上海滩新昌城,1室1厅, 60.9,110345,672,91,31
汇龙新城,3室2厅, 158.3,94757,1500,62,43
太阳都市花园,3室2厅, 153.52,76863,1180,130,72
上海滩新昌城,3室2厅, 137.71,101300,1395,150,93
金瓯万国大厦,2室2厅, 108.45,96819,1050,21,19
佳日公寓,3室2厅, 140.92,70892,999,13,20
东物公寓,1室1厅, 66.66,78008,520,45,29
新家坡园景苑,3室2厅, 125.61,85981,1080,53,34
东淮海公寓,3室2厅, 126.63,86868,1100,19,34
上海滩新昌城,2室2厅, 107.9,116590,1258,4,23
太阳都市花园,3室2厅, 225,80000,1800,143,30
新家坡园景苑,2室2厅, 94.75,85489,810,43,34
黄浦新苑(公寓),3室2厅, 145.71,95395,1390,34,44
黄浦新苑(公寓),2室2厅, 117.96,78841,930,148,24
豫景公寓,2室1厅, 107.84,75112,810,52,64
中福花苑,1室1厅, 42.46,110693,470,71,27
幸运福邸,3室2厅, 135.98,72070,980,119,35
黄浦新苑(公寓),2室2厅, 100.26,98744,990,98,117
黄浦新苑(公寓),2室2厅, 100.26,98744,990,98,117
耀江花园,3室2厅, 136.89,122727,1680,38,30
幸运福邸,3室2厅, 135.98,72070,980,119,35
陆家浜路413弄,1室1厅, 41.42,86915,360,3,8
中辉新苑,3室2厅, 120.18,77384,930,14,8
江南造船大厦(公寓),3室2厅, 157.05,68132,1070,51,16
惠祥公寓,2室1厅, 73.45,93942,690,40,24
瞿溪坊,2室1厅, 69.97,82893,580,87,26
绿地名人坊,2室2厅, 101.56,97480,990,163,30
老西门新苑,3室2厅, 154.19,103769,1600,27,25
精文苑,3室2厅, 120.72,95262,1150,23,19
昭通路17-73号,2室1厅, 53.91,82545,445,40,11
瞿中小区,1室0厅, 34.83,80391,280,65,13
中福花苑,2室2厅, 101.44,82611,838,58,11
瞿溪新村,1室0厅, 29.8,79195,236,9,21
黄浦丽园,3室2厅, 127.64,109684,1400,32,19
黄浦新苑(公寓),2室2厅, 105.62,97520,1030,24,17
新地苑,3室2厅, 155.12,70269,1090,118,23
中福花苑,2室2厅, 79.98,100026,800,63,18
丽园新村,2室0厅, 49.16,77299,380,11,16
黄浦新苑(公寓),3室2厅, 132.88,97833,1300,44,16
百花公寓,2室2厅, 91.62,90046,825,20,19
同济蓬莱家园,3室2厅, 134.74,94256,1270,25,26
白玉兰家园,2室2厅, 113.87,107140,1220,13,15
老西门新苑,3室2厅, 197.24,94302,1860,32,26
金外滩花园,1室2厅, 81.06,117198,950,26,20
汝南街小区,2室0厅, 54.94,91009,500,12,4
斜土路486弄,2室1厅, 50.26,77597,390,44,17
惠德公寓,2室2厅, 89,80899,720,42,19
翠湖天地御苑,3室2厅, 187.46,159928,2998,32,21
惠祥公寓,2室2厅, 103.02,87362,900,57,9
康绥公寓,1室1厅, 70.68,121676,860,31,3
斜土新村,2室1厅, 54.6,91209,498,16,12
黄浦众鑫城,3室2厅, 158,88608,1400,39,17
东方苑,2室2厅, 109.14,78798,860,21,11
南陆大厦,2室1厅, 86.52,83218,720,17,13
松柏公寓,2室1厅, 68.18,79203,540,47,9
桥一小区,2室1厅, 44.5,86517,385,35,12
佳日公寓,2室2厅, 104.93,84819,890,36,11
东淮海公寓,2室2厅, 118.69,96049,1140,17,12
蒙西小区,2室1厅, 61.85,93776,580,23,18
江南新苑,3室2厅, 130.66,85719,1120,49,11
蒙自路440弄,2室1厅, 57.82,76099,440,44,10
中福花苑,1室1厅, 56.99,92999,530,13,11
滨江名人苑,2室2厅, 102.5,96586,990,28,17
名盛苑,3室2厅, 136.16,102821,1400,30,11
锦凯华苑,3室2厅, 123.84,92862,1150,23,15
国际广场(卢湾),3室2厅, 153.19,65279,1000,51,13
滨江名人苑,2室2厅, 130.57,90373,1180,28,14
银南大厦,1室1厅, 48.67,89378,435,13,13
瑞雪大楼,1室0厅, 39.14,114972,450,3,2
连云大楼,1室1厅, 58.39,102758,600,21,7
上海滩新昌城,2室2厅, 107.69,116074,1250,10,1
金中苑,3室1厅, 85.41,94252,805,34,9
卢湾都市花园,2室1厅, 94.66,95078,900,24,6
瞿四小区,2室2厅, 64.04,71831,460,150,11
西凌新邨,1室0厅, 34.44,92916,320,11,9
汇龙新城,2室2厅, 97.82,110407,1080,57,7
黄浦新苑(公寓),3室2厅, 128,89844,1150,43,12
紫荆新苑,2室2厅, 90,88889,800,24,8
惠国公寓,2室1厅, 76.51,92799,710,50,13
新闸路278号,1室1厅, 33.27,87166,290,88,11
蒙自路601弄,2室2厅, 78.57,77638,610,70,15
西凌新邨,2室1厅, 73.97,87874,650,36,8
海潮新村,1室1厅, 35.54,95667,340,16,14
西凌新邨,1室0厅, 34.44,92916,320,11,9
蓬莱路252弄,1室1厅, 53.14,71510,380,83,12
明珠家园(黄浦),2室2厅, 96.86,92402,895,32,13
新中苑,2室2厅, 116.01,93096,1080,28,10
汇龙新城,2室2厅, 97.82,110407,1080,57,7
黄浦新苑(公寓),3室2厅, 128,89844,1150,43,12
瞿四小区,2室2厅, 64.04,71831,460,150,11
益元大楼,2室1厅, 62.3,82665,515,11,6
绿地名人坊,3室2厅, 129.73,104834,1360,25,6
开元坊,3室2厅, 149.02,90592,1350,36,8
海华花园,3室2厅, 115.22,85055,980,29,8
百花公寓,2室1厅, 74,93919,695,11,13
紫荆新苑,2室2厅, 90,88889,800,24,8
南陆大厦,2室1厅, 70.48,87969,620,32,11
南花苑,2室1厅, 87.51,91419,800,21,6
上海滩花园,2室2厅, 104.77,135535,1420,20,10
鲁班公寓,3室2厅, 133.51,88383,1180,37,8
思南路115弄,2室1厅, 46.76,82336,385,45,7
郁金香花苑,4室2厅, 190.27,84092,1600,29,7
西凌新邨,2室1厅, 68.85,88599,610,10,5
金外滩花园,3室2厅, 164.6,118470,1950,34,8
中福花苑,2室1厅, 42.46,91852,390,68,8
五岭小区,2室1厅, 48.6,85391,415,17,9
兴林公寓,3室2厅, 163.49,67283,1100,10,7
益元大楼,1室1厅, 44.51,84251,375,8,11
汝南街小区,1室1厅, 37.62,74429,280,139,4
金色黄浦,2室2厅, 87.28,109991,960,107,5
老西门新苑,2室2厅, 114.94,99618,1145,94,8
济南路8号,1室2厅, 82.74,119411,988,85,5
翠湖天地嘉苑,2室2厅, 130.81,157481,2060,16,1
海潮新村,2室0厅, 47.85,94044,450,12,9
中山南一路1043弄,1室1厅, 46.52,75237,350,50,4
茂名南路134号,3室0厅, 109.97,100028,1100,6,7
黄浦众鑫城,2室2厅, 119.98,95850,1150,27,7
黄浦众鑫城,6室4厅, 284.34,84406,2400,26,8
河畔明珠,2室2厅, 102,95000,969,13,2
瞿溪坊,2室1厅, 53.27,83537,445,24,7
南园新村,1室0厅, 34.76,79114,275,72,5
海珀日晖,3室2厅, 241.51,124178,2999,18,4
东方苑,3室2厅, 124.77,76141,950,24,5
车站支路30-40号,2室1厅, 44.9,91315,410,18,2
金中苑,2室1厅, 79.59,94233,750,75,5
开元坊,4室2厅, 177.64,88944,1580,31,4
百汇大厦,2室1厅, 94.16,88148,830,7,4
新华南园大厦,1室1厅, 54.59,75472,412,18,3
永明大厦,2室2厅, 113.69,78987,898,15,5
康瞿小区,1室1厅, 35,81429,285,42,1
东淮海公寓,3室2厅, 136.25,92478,1260,14,5
弘辉名苑,3室2厅, 140.84,70293,990,170,5
瑞福小区,1室1厅, 53.46,87917,470,3,1
瞿溪路1032弄,2室1厅, 71.42,75610,540,11,5
西凌新邨,2室2厅, 87.73,74091,650,11,5
中山南一路1043弄,2室1厅, 53.76,79986,430,13,5
金瓯万国大厦,3室2厅, 143.86,87586,1260,14,3
北蒙三小区,2室0厅, 54.9,78325,430,35,6
中山南一路1043弄,2室1厅, 53.76,79986,430,13,5
金瓯万国大厦,3室2厅, 143.86,87586,1260,14,3
北蒙三小区,2室0厅, 54.9,78325,430,35,6
海南西弄,2室0厅, 54.52,88959,485,10,6
翠湖天地嘉苑,2室2厅, 130.81,157481,2060,16,1
海潮新村,2室0厅, 47.85,94044,450,12,9
中山南一路1043弄,1室1厅, 46.52,75237,350,50,4
东方苑,3室2厅, 124.77,76141,950,24,5
茂名南路134号,3室0厅, 109.97,100028,1100,6,7
黄浦众鑫城,2室2厅, 119.98,95850,1150,27,7
