CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
祁连二村,3室1厅, 91.92,42211,388,188,60
丰翔新城,2室2厅, 85.48,38138,326,75,56
祁连二村,2室1厅, 77.49,43232,335,65,53
锦龙苑,3室1厅, 76.6,45040,345,29,24
当代高邸,2室2厅, 91.26,49968,456,175,46
锦秋花园(别墅),3室2厅, 148.77,49742,740,52,25
上大阳光乾静园,2室2厅, 89.73,51043,458,27,38
经纬阳光水岸家园(一期),2室2厅, 88.65,46250,410,56,33
上大聚丰园,3室2厅, 123.6,41667,515,93,22
经纬观澜弘郡家园(三期),2室2厅, 91.1,51043,465,38,48
祁连四村,2室2厅, 74.41,49053,365,34,26
祁连一村,2室1厅, 66.69,42736,285,35,26
上大聚丰园,2室2厅, 112.6,45471,512,35,19
上大聚丰园,4室2厅, 163.96,36595,600,64,19
锦秋花园(公寓),3室2厅, 127.49,44553,568,184,20
葑润华庭,2室2厅, 75.16,50559,380,43,19
祁连二村,2室2厅, 67.01,43278,290,123,18
经纬阳光水岸家园(一期),3室2厅, 132.02,41282,545,109,21
经纬阳光水岸家园(一期),3室2厅, 104.65,49212,515,30,56
上大阳光乾静园,2室2厅, 90.03,52205,470,39,29
经纬学府涵青花园(二期),3室2厅, 114.93,49596,570,15,17
经纬阳光水岸家园(一期),3室2厅, 133.01,50373,670,12,19
上大阳光乾泽园,4室2厅, 110.13,52484,578,68,17
祁连一村,2室1厅, 58.98,46626,275,54,23
经纬学府涵青花园(二期),3室2厅, 116.24,52048,605,12,14
上大阳光乾宁园,2室2厅, 95.9,50053,480,25,16
上大阳光乾静园,2室2厅, 89.78,52128,468,29,17
上大阳光乾宁园,3室2厅, 133.4,43479,580,58,20
上大阳光乾清园,2室2厅, 86.22,49873,430,20,12
经纬学府涵青花园(二期),2室2厅, 100.65,49678,500,34,23
经纬观澜弘郡家园(三期),3室2厅, 136.62,58923,805,20,20
经纬观澜弘郡家园(三期),4室2厅, 157.85,54356,858,14,11
经纬阳光水岸家园(一期),3室2厅, 125.03,55187,690,4,4
经纬学府涵青花园(二期),3室2厅, 134,47015,630,13,13
上大聚丰园,2室2厅, 112.53,46033,518,17,11
祁连二村,2室2厅, 77.5,38710,300,65,10
聚丰景都,2室2厅, 121.82,42686,520,27,10
祁连一村,3室1厅, 85.81,39623,340,58,13
金地艺境(宝山),3室2厅, 95.87,50068,480,18,12
星福家园,1室2厅, 65.1,46851,305,43,12
经纬观澜弘郡家园(三期),1室1厅, 60.07,63260,380,8,2
锦龙苑,2室2厅, 76.6,45692,350,3,1
锦秋花园(公寓),1室1厅, 63.97,52369,335,35,8
经纬观澜弘郡家园(三期),2室2厅, 86.43,52066,450,46,8
锦龙苑,2室2厅, 90.08,47736,430,5,4
聚丰景都,2室2厅, 92.92,49505,460,38,9
锦秋花园(公寓),3室2厅, 127.87,45359,580,46,6
经纬阳光水岸家园(一期),3室2厅, 146.55,44354,650,5,1
祁连一村,2室1厅, 66.69,44985,300,66,1
上大聚丰园,4室2厅, 139.71,42803,598,35,4
经纬学府涵青花园(二期),6室2厅, 217.88,53700,1170,28,5
锦龙苑,3室2厅, 104.71,45841,480,34,5
经纬学府涵青花园(二期),2室2厅, 93.96,53002,498,5,2
上大阳光乾静园,2室2厅, 89.97,53352,480,0,3
锦龙苑,1室1厅, 48.05,48908,235,61,3
祁连一村,4室2厅, 72.08,55494,400,20,3
经纬观澜弘郡家园(三期),4室2厅, 158,58861,930,5,1
上大阳光乾静园,2室2厅, 88.86,53455,475,10,3
成事高邸,2室2厅, 95.1,55731,530,7,1
