CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金沙嘉苑,2室2厅, 103.34,54191,560,47,18
金丰新村,2室1厅, 70.98,49310,350,30,17
金鼎香樟苑,3室2厅, 112.64,54599,615,74,29
丰庄一村,2室1厅, 80.25,45483,365,16,23
金沙嘉苑,2室2厅, 103.4,50774,525,61,17
丽景新苑,2室2厅, 75.18,51743,389,92,18
嘉利坊,2室1厅, 61.39,48868,300,10,11
丰庄十二街坊,2室1厅, 44.43,58520,260,64,13
丰庄十二街坊,2室1厅, 71.85,49409,355,7,0
家旺新苑,3室2厅, 113,56638,640,4,6
丰庄四村,2室1厅, 65.96,47757,315,16,3
丰庄十二街坊,2室1厅, 52.18,49061,256,47,8
金鼎香樟苑,2室2厅, 91.72,52334,480,9,11
嘉和坊,2室1厅, 69.16,49162,340,8,11
逸香园,5室3厅, 220.8,50725,1120,20,11
嘉秀坊,2室1厅, 76.3,46527,355,13,13
明日新苑,2室2厅, 86.5,52024,450,18,16
栅桥小区,2室1厅, 60.18,44866,270,4,7
丰庄十四街坊,3室1厅, 90.8,41851,380,52,6
丰庄二村,2室1厅, 71.64,48158,345,6,7
丰庄一村,1室1厅, 46.4,47414,220,5,7
家旺新苑,2室1厅, 66.85,56844,380,13,8
丰庄十二街坊,2室1厅, 47.99,47927,230,22,5
汇丰佳苑,4室3厅, 140,46072,645,50,8
汇丰佳苑,3室2厅, 107,55141,590,12,8
安盛苑,3室2厅, 98.87,48549,480,9,3
嘉和坊,2室1厅, 70,50715,355,2,4
逸香园,3室2厅, 121.38,55199,670,5,4
嘉利坊,2室1厅, 55.15,49865,275,3,5
金鼎香樟苑,2室2厅, 87.26,54092,472,21,7
嘉和坊,2室2厅, 77.69,47626,370,9,5
嘉利坊,2室1厅, 55.15,49865,275,3,5
逸香园,3室2厅, 134.89,54119,730,12,6
嘉美坊,2室2厅, 86.01,47669,410,9,2
嘉秀坊,2室1厅, 55.79,59151,330,5,1
嘉和坊,2室1厅, 70,50715,355,2,4
金丰新村,2室1厅, 68.3,46853,320,47,1
丰庄四村,1室1厅, 43.82,46783,205,28,1
嘉秀新苑,2室2厅, 89.5,55866,500,9,3
逸香园,3室2厅, 121.38,55199,670,5,4
振鑫花苑,2室2厅, 106,49057,520,1,0
嘉利坊,1室1厅, 55.16,52575,290,3,2
金鼎香樟苑,4室2厅, 136.98,56943,780,5,4
丰庄四村,2室1厅, 66,46213,305,4,1
三元及地苑,2室2厅, 107.13,53207,570,10,3
丰庄四村,2室1厅, 65.96,47757,315,11,2
嘉善坊,3室1厅, 79.29,44773,355,41,2
丰庄二村,1室1厅, 47.08,50978,240,3,1
安盛苑,3室2厅, 120.6,44777,540,13,4
丰庄十三街坊,3室1厅, 65.9,49318,325,39,1
嘉秀新苑,2室2厅, 91.8,54467,500,5,1
丰庄一村,2室1厅, 81,45062,365,8,3
逸香园,4室2厅, 146.78,42241,620,22,4
嘉善坊,2室2厅, 76.87,49435,380,4,2
嘉和坊,1室1厅, 48,48959,235,1,0
丰庄一村,2室2厅, 80.18,44276,355,2,0
丰庄十二街坊,2室1厅, 79.1,44248,350,13,0
金丰新村,2室1厅, 63.1,50714,320,23,0
丰庄一村,2室1厅, 66.6,46547,310,3,0
丰庄十二街坊,2室1厅, 79.1,44248,350,13,0
金丰新村,2室1厅, 63.1,50714,320,23,0
丰庄一村,2室2厅, 80.18,44276,355,2,0
丰庄一村,2室1厅, 66.6,46547,310,3,0
金鼎香樟苑,2室2厅, 86.93,51766,450,37,108
金鼎香樟苑,3室2厅, 129.13,51886,670,14,63
金祥坊,2室1厅, 57.94,50915,295,30,11
泰宸景苑,3室2厅, 98.36,59984,590,78,22
丰庄十二街坊,3室1厅, 76.69,46291,355,32,38
嘉秀坊,1室1厅, 49.28,54789,270,0,0
丰庄十四街坊,2室2厅, 65.85,44799,295,75,24
丰庄四村,2室1厅, 66.37,47462,315,0,0
金鼎香樟苑,2室2厅, 87.36,49794,435,14,22
丽景新苑,2室1厅, 60,55000,330,2,15
丰庄十四街坊,1室1厅, 50.02,45982,230,10,3
嘉秀坊,2室1厅, 58.64,50990,299,3,4
金鼎香樟苑,2室2厅, 95.33,47729,455,7,46
金鼎香樟苑,1室2厅, 69.4,53315,370,27,23
嘉秀坊,2室1厅, 69.16,46270,320,10,4
丰庄十二街坊,1室1厅, 47.47,46346,220,21,14
嘉善坊,2室1厅, 69,50580,349,11,10
栅桥小区,2室1厅, 65.2,42945,280,12,14
丰庄四村,2室1厅, 58.23,47227,275,14,13
嘉秀新苑,2室2厅, 91,55605,506,8,9
嘉利坊,2室1厅, 61,42623,260,45,8
丰庄二村,2室1厅, 72.3,36653,265,44,9
丰庄一村,2室1厅, 64.44,47797,308,7,8
嘉宝都市港湾,2室2厅, 84.72,60199,510,18,8
嘉宝都市港湾,3室2厅, 132.2,61271,810,14,9
金祥坊,1室1厅, 50.68,51303,260,57,9
丰庄二村,2室1厅, 72.3,36653,265,44,9
嘉秀新苑,2室2厅, 91,55605,506,8,9
嘉利坊,2室1厅, 61,42623,260,45,8
金鼎香樟苑,2室2厅, 91.72,47973,440,47,11
金鼎香樟苑,2室1厅, 66.9,55307,370,1,1
泰宸景苑,2室2厅, 97.33,60105,585,8,2
泰宸景苑,3室2厅, 95,57895,550,17,6
丰庄十四街坊,2室1厅, 70,50000,350,10,1
丰庄一村,3室1厅, 83.6,44259,370,10,5
丰庄十二街坊,2室0厅, 56.73,44598,253,15,4
明日新苑,2室2厅, 105,50477,530,2,4
金鼎香樟苑,2室2厅, 87.42,55480,485,6,6
泰宸新苑,2室2厅, 89.69,55191,495,49,1
丰庄十二街坊,1室0厅, 35.22,56786,200,33,5
金祥坊,1室1厅, 50.68,49330,250,7,4
丽景新苑,2室1厅, 64,46875,300,103,3
嘉宝都市港湾,2室2厅, 105,60000,630,12,2
嘉善坊,2室1厅, 60.68,48122,292,13,3
丽景新苑,2室2厅, 75.18,49216,370,91,7
丽景新苑,3室2厅, 108.88,44086,480,19,7
嘉美坊,1室1厅, 48.31,44505,215,9,6
泰宸景苑,3室2厅, 116.93,59780,699,5,0
丰庄十二街坊,1室1厅, 45.63,50406,230,3,0
嘉泰花园公寓,2室2厅, 98.98,56578,560,2,1
家旺新苑,4室2厅, 169,40237,680,13,2
嘉德坊,2室2厅, 75.64,56188,425,12,2
安盛苑,2室2厅, 71.68,46875,336,6,1
丽景新苑,2室1厅, 60.98,53297,325,46,3
嘉善坊,2室2厅, 79,43671,345,15,2
嘉和坊,2室1厅, 69.16,49017,339,3,1
嘉宝都市港湾,2室2厅, 112.37,63185,710,2,1
嘉秀坊,2室3厅, 77.88,51105,398,15,4
嘉利坊,2室1厅, 60.96,50854,310,4,3
丰庄十四街坊,2室1厅, 74,51352,380,7,1
丰庄六街坊,1室1厅, 45.48,48373,220,19,3
逸香园,2室2厅, 106.47,46962,500,14,2
嘉利坊,3室1厅, 55.15,51315,283,13,4
金鼎香樟苑,2室2厅, 83.74,54932,460,16,7
嘉善坊,2室1厅, 77.48,40656,315,2,1
嘉善坊,2室1厅, 61.15,52331,320,3,1
安盛苑,4室2厅, 164.54,38289,630,14,2
嘉秀新苑,1室2厅, 57.56,59069,340,43,1
真建七街坊,2室1厅, 67.59,48085,325,8,0
嘉泰花园公寓,3室2厅, 136.49,51286,700,1,0
嘉尚坊,1室1厅, 59.97,48358,290,2,0
泰宸新苑,6室2厅, 112.73,69192,780,10,0
逸香园,3室2厅, 134.89,55601,750,10,2
嘉善坊,2室1厅, 64.3,48212,310,22,1
丰庄十二街坊,2室2厅, 78.92,47517,375,30,1
丰庄四村,2室1厅, 68.29,49202,336,5,2
嘉秀坊,2室1厅, 71.55,51713,370,4,4
嘉秀新苑,2室2厅, 93.76,55461,520,21,1
三元及地苑,4室2厅, 140.1,59958,840,3,1
嘉秀新苑,5室2厅, 202.45,51865,1050,3,1
丰庄一村,2室2厅, 80.26,47347,380,20,2
逸香园,4室2厅, 141.67,47999,680,22,0
东珠苑,3室2厅, 122.73,49296,605,3,0
嘉利坊,2室2厅, 82.96,47011,390,12,0
丰庄二村,1室1厅, 48.66,38019,185,69,64
丰庄十二街坊,2室1厅, 60.07,49110,295,38,58
金沙嘉苑,2室2厅, 103.61,53084,550,3,1
泰宸景苑,2室2厅, 96.92,54685,530,1,1
丰庄十四街坊,1室1厅, 47.8,48536,232,5,28
丰庄十四街坊,1室1厅, 50.02,45982,230,25,4
丰庄十四街坊,2室1厅, 64.3,46035,296,24,49
丽景新苑,1室1厅, 53,51887,275,22,30
丽景新苑,2室1厅, 66.77,52419,350,33,50
金沙嘉苑,3室2厅, 125.55,53366,670,5,3
住嘉佳园,2室2厅, 94.25,49868,470,4,3
泰宸景苑,2室2厅, 86.64,63482,550,3,2
