CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金地格林世界(卢尔公寓),2室2厅, 99.17,44369,440,223,98
德华一村,2室1厅, 58.6,40103,235,34,32
金地格林世界(卢尔公寓),3室2厅, 120.6,48093,580,62,27
德华一村,2室1厅, 68.26,39995,273,108,67
德华一村,2室1厅, 74.12,37777,280,151,33
南华小区,3室1厅, 76.99,31173,240,45,11
红翔新村,2室2厅, 74.95,36025,270,12,10
金地格林世界(卢尔公寓),3室2厅, 120.49,48137,580,61,12
民主街495弄,3室2厅, 129,41861,540,9,7
金地格林世界(卢尔公寓),2室1厅, 98.41,44711,440,19,13
德华路301号,2室1厅, 73.45,41934,308,13,4
银翔新村,2室1厅, 60.67,40877,248,9,2
金地格林世界(高尔夫公馆),3室2厅, 135.38,49491,670,10,14
上隽嘉苑(公寓),2室2厅, 86.58,40426,350,70,10
民主街24弄,2室1厅, 55,42728,235,26,12
上隽嘉苑(公寓),2室2厅, 87.6,41096,360,77,10
上隽嘉苑(公寓),2室2厅, 86.59,45040,390,10,9
华润中央公园陈翔公路1588弄,3室2厅, 104.83,51512,540,105,99
华润中央公园陈翔公路1588弄,2室2厅, 85.24,48100,410,133,96
嘉宝小区,2室1厅, 79.16,37898,300,13,4
嘉宝新园,3室2厅, 122.23,43361,530,11,1
漪园新村,2室2厅, 72.86,36783,268,36,8
红翔新村,3室1厅, 100.8,37203,375,21,7
绿洲古猗新苑,2室2厅, 105.47,44089,465,12,5
翔华新村,2室1厅, 74.12,36428,270,22,6
森林公馆,1室2厅, 69.08,44876,310,18,8
银翔新村,2室2厅, 72.93,39353,287,19,6
金地格林世界(卢尔公寓),2室2厅, 97.45,47204,460,57,11
嘉宝小区,2室2厅, 90.22,41011,370,12,5
银翔新村,2室2厅, 72.93,39353,287,19,6
金地格林世界(格林公馆),3室2厅, 87.66,55328,485,25,15
红翔新村,2室1厅, 75.12,33946,255,46,9
中冶翔腾,3室0厅, 84.53,53236,450,25,4
德华一村,2室2厅, 71.48,41970,300,18,4
德华二村,2室1厅, 57,42106,240,26,6
森林公馆,4室2厅, 175,42858,750,43,5
金地格林世界(城市公馆),2室2厅, 85.65,47870,410,48,4
民主街495弄,3室2厅, 129.11,41825,540,0,1
嘉宝小区,3室2厅, 97.67,40443,395,11,2
漪园新村,3室2厅, 110.94,37859,420,7,1
银翔新村,2室2厅, 86,38954,335,7,3
漪园新村,2室1厅, 83.45,38347,320,3,2
德华三村,2室2厅, 79.92,42543,340,22,7
金地格林世界(高尔夫公馆),3室2厅, 137,45986,630,16,3
银南翔佳苑,3室1厅, 86,37210,320,70,6
德华四村,3室1厅, 100.54,32823,330,22,6
森林公馆,2室2厅, 86.63,43865,380,53,2
南华小区,2室1厅, 63.63,36147,230,14,1
嘉宝小区,2室1厅, 77.81,39199,305,0,2
