CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
中信泰富又一城,2室2厅, 89.62,40505,363,130,53
保利家园(公寓),2室2厅, 87.39,40051,350,11,25
保利家园(公寓),2室2厅, 83.54,37108,310,53,28
好世皇马苑,3室2厅, 99.24,44136,438,30,19
马陆清水湾,3室2厅, 140.37,33341,468,39,5
新城金郡,2室2厅, 88.71,38328,340,94,17
保利家园(公寓),2室2厅, 83.54,38904,325,6,7
中信泰富又一城,2室2厅, 89.56,43323,388,40,56
绿地秋霞坊(公寓),2室2厅, 82.8,39856,330,83,60
好世皇马苑,2室2厅, 82.43,44887,370,36,10
育兰二村,2室2厅, 92.85,31234,290,64,8
新城金郡,2室2厅, 82.66,36294,300,193,4
好世皇马苑,1室2厅, 67.45,43440,293,97,6
马陆清水湾,3室2厅, 140.74,33395,470,26,7
保利家园(公寓),2室2厅, 88,38637,340,16,7
育兰二村,3室1厅, 109,27065,295,26,3
好世皇马苑,3室2厅, 100.38,43635,438,58,7
新城金郡,3室2厅, 138,38406,530,29,6
荷花新村,2室2厅, 90.71,30096,273,60,2
保利家园(公寓),2室1厅, 68.5,43796,300,30,5
马陆清水湾,3室2厅, 139.46,35136,490,34,2
保利湖畔阳光苑,3室2厅, 138,38044,525,21,2
马陆街248弄,3室2厅, 103.86,28789,299,20,3
嘉宝紫提湾(公寓),1室2厅, 70.11,40651,285,31,0
新城金郡,2室2厅, 89.53,39094,350,3,0
好世皇马苑,2室1厅, 83.55,45243,378,15,0
中信泰富又一城,2室2厅, 97.42,36441,355,46,39
龙湖郦城,2室2厅, 97.1,41092,399,39,19
中信泰富又一城,3室2厅, 139.74,40791,570,63,32
保利湖畔阳光苑,2室2厅, 89.04,34816,310,10,7
龙湖郦城,3室2厅, 137.91,39519,545,76,56
盘古天地,3室2厅, 89.05,36946,329,119,56
保利湖畔阳光苑,2室2厅, 90.49,38679,350,31,27
龙湖蔚澜香醍,3室2厅, 121.12,33026,400,311,53
嘉宝紫提湾(别墅),联排别墅, 4室,44831,940,34,53
新城金郡,3室2厅, 95.5,40838,390,35,29
龙湖郦城,2室2厅, 95.67,40243,385,47,28
盘古天地,2室2厅, 88.42,35060,310,48,33
嘉宝紫提湾(公寓),2室2厅, 91.7,39259,360,39,33
风荷丽景尚城,2室2厅, 88.74,37188,330,53,45
龙湖郦城,3室2厅, 138.25,44123,610,44,37
新城香溢璟庭(一期),3室1厅, 92,46740,430,35,23
保利星海屿,3室2厅, 131.18,42690,560,34,18
新城金郡,3室2厅, 124.3,40869,508,45,40
保利天鹅语(公寓),2室2厅, 90.77,37458,340,53,25
绿地颐景嘉园,3室2厅, 89.09,43552,388,101,39
新城金郡,2室2厅, 89.53,37977,340,50,20
盘古天地,3室2厅, 147.79,36539,540,34,16
好世皇马苑,2室2厅, 80.44,43387,349,44,21
龙湖蓝湖郡(别墅),4室2厅, 333.92,26953,900,13,18
新城金郡,2室2厅, 81.41,39308,320,20,20
新城金郡,2室2厅, 81.47,38420,313,74,27
保利湖畔阳光苑,2室2厅, 90.33,36533,330,25,16
新城金郡,3室2厅, 95.72,40744,390,27,23
新城香溢澜庭,3室2厅, 112.72,38592,435,71,19
中信泰富又一城,2室2厅, 97.48,38880,379,19,6
保利天鹅语(公寓),3室2厅, 118.78,40411,480,25,12
盘古天地,2室1厅, 69.86,41226,288,134,21
保利天鹅语(公寓),2室2厅, 89.59,37728,338,22,11
保利天鹅语(公寓),3室1厅, 89.57,33382,299,101,7
常发豪庭国际,3室2厅, 137.85,36272,500,10,7
新城香溢澜庭,3室2厅, 112.72,39035,440,69,16
龙湖郦城,2室2厅, 88.75,43381,385,42,11
保利天鹅语(公寓),4室2厅, 168.42,40970,690,50,15
保利湖畔阳光苑,2室2厅, 88.75,34930,310,45,17
风荷丽景尚城,3室2厅, 140,37143,520,58,16
龙湖蔚澜香醍,4室3厅, 201.59,37701,760,26,8
龙湖郦城,2室2厅, 92.49,42167,390,28,10
盘古天地,3室2厅, 89.65,41049,368,67,10
盘古天地,2室2厅, 88.33,38266,338,23,10
绿地颐景嘉园,3室2厅, 89.26,43693,390,67,8
中信泰富又一城,2室1厅, 74.67,40177,300,184,9
佳兆业壹号,2室2厅, 75.22,43872,330,193,10
臻品嘉园(公寓),3室2厅, 138.72,45272,628,34,8
常发豪庭国际,1室1厅, 53.44,46033,246,26,9
臻品嘉园(公寓),3室2厅, 95.18,40975,390,43,11
