CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
南苑一村,2室1厅, 59.68,30161,180,104,26
清水颐园,3室2厅, 129.06,30994,400,36,22
民乐社区南苑六村,2室1厅, 72.66,28902,210,24,13
清水颐园,3室2厅, 89.85,34280,308,49,21
南苑七村,2室1厅, 80.69,27265,220,37,9
南苑十村,3室2厅, 122,29099,355,13,8
浦发香舍(公寓),3室2厅, 91.7,34897,320,31,5
塔城路800弄,2室1厅, 60.06,31636,190,45,10
民乐社区南苑六村,2室1厅, 82.51,27876,230,60,14
李园一村,2室1厅, 58.61,32418,190,27,10
桃园新村(嘉定),2室1厅, 67.8,29499,200,63,10
李园二村,1室1厅, 44.57,30963,138,42,8
汇城公寓,2室1厅, 85.21,31100,265,110,12
城南新村,2室1厅, 66.37,35408,235,20,10
小囡桥小区,2室0厅, 47.18,31370,148,54,5
温宿路42弄,1室0厅, 35.89,39566,142,31,6
嘉宝公寓,3室2厅, 105,31429,330,11,6
人民小区,2室1厅, 67.86,25052,170,112,4
南苑七村,2室1厅, 80.82,28459,230,17,5
塔城路800弄,2室2厅, 95.6,25628,245,145,9
嘉丰佳苑,2室2厅, 104.48,30150,315,13,5
李园一村,2室1厅, 68.68,30286,208,6,6
桃园新村(嘉定),2室1厅, 46.32,33463,155,63,4
南苑四村,2室1厅, 68.8,29797,205,10,2
嘉丰大厦,2室2厅, 87.2,25803,225,7,1
金地格林世界(春岸城),3室2厅, 131,33207,435,5,3
李园二村,2室1厅, 59.01,31860,188,22,4
南苑八村,2室2厅, 79.92,27278,218,23,3
人民小区,2室1厅, 47,31915,150,69,3
人民小区,2室1厅, 47,31915,150,69,3
金沙小区,3室2厅, 133,31579,420,1,2
叶城五街坊,2室1厅, 91,30770,280,22,6
金地格林世界(春岸城),3室2厅, 136.75,33639,460,22,3
南苑七村,2室1厅, 80.69,30735,248,8,4
高昌路105弄,2室2厅, 81.23,25853,210,25,0
金地格林世界(春岸城),3室2厅, 129.88,33108,430,31,1
城中路216弄,2室1厅, 62,33871,210,3,3
南苑九村,1室1厅, 54.7,31079,170,55,2
李园二村,2室1厅, 88.87,26444,235,72,1
嘉丰佳苑,2室2厅, 104.48,30628,320,12,2
叶城五街坊,3室2厅, 129.6,30093,390,4,3
叶城二街坊,3室2厅, 113.09,26086,295,12,1
南苑五村,2室2厅, 91.39,28450,260,4,1
清水颐园,3室2厅, 137.1,31364,430,3,2
李园二村,3室1厅, 97.44,29762,290,40,2
中下塘街小区,2室1厅, 64.51,31779,205,16,2
南苑二村,3室1厅, 95.76,27152,260,8,1
李园二村,2室1厅, 57.87,31969,185,3,1
金地格林世界(春岸城),2室2厅, 101.12,37085,375,3,1
南苑九村,2室1厅, 80.38,27619,222,45,2
梅园新村(嘉定),2室1厅, 62.7,36683,230,27,0
中下塘街小区,3室2厅, 128.5,28016,360,2,0
疁南小区,2室1厅, 68.25,33114,226,34,0
北大街280弄,3室2厅, 107,31776,340,8,0
桃园公寓(嘉定),2室2厅, 96.78,30482,295,10,0
银杏小区,2室1厅, 65.7,30442,200,11,0
疁南小区,2室1厅, 52.34,32480,170,40,0
塔城路685弄,3室2厅, 116.74,30410,355,6,0
塔城小区,1室1厅, 39.98,40021,160,6,0
南苑七村,2室1厅, 80.96,28410,230,7,0
叶城五街坊,4室2厅, 186.76,26773,500,15,0
桃园新村(嘉定),1室1厅, 39.77,36460,145,29,0
梅园新村(嘉定),2室1厅, 62.7,36683,230,27,0
南北周,1室1厅, 62.4,35257,220,26,7
城中路112弄,2室0厅, 41.01,34139,140,38,3
梅园新村(嘉定),2室1厅, 59.95,30860,185,88,28
南苑七村,2室1厅, 80.65,28519,230,28,38
高昌路105弄,2室1厅, 73.5,25579,188,69,20
南苑七村,2室1厅, 72.22,29771,215,45,34
三皇桥小区,2室0厅, 53.66,27954,150,4,1
南苑五村,2室1厅, 91.62,26087,239,5,0
李园二村,2室1厅, 62.56,30371,190,14,17
城南新村,1室1厅, 51,34314,175,13,16
南苑七村,2室1厅, 80.62,27289,220,23,10
叶城三街坊,2室1厅, 89.55,27918,250,15,10
塔城小区,1室1厅, 39.98,36519,146,5,4
南苑二村,3室1厅, 80.75,29103,235,19,10
塔城路800弄,2室1厅, 70,30715,215,40,13
桃园新村(嘉定),2室1厅, 67.92,29447,200,30,18
桃园新村(嘉定),1室1厅, 43.43,33388,145,102,19
高昌路105弄,2室1厅, 81.23,28561,232,10,6
张马路38弄,3室1厅, 82.84,33197,275,15,3
城中路216弄,2室0厅, 51.4,32685,168,42,5
梅园新村(嘉定),1室1厅, 40.12,38635,155,62,6
桃园新村(嘉定),2室1厅, 67,27165,182,10,9
嘉丰佳苑,3室2厅, 130.3,31850,415,11,9
李园二村,1室1厅, 50.45,30328,153,32,8
金地格林世界(春岸城),3室2厅, 144.62,33191,480,9,10
城中路153弄,2室1厅, 76,28685,218,33,7
城中路153弄,2室1厅, 76,28685,218,33,7
金地格林世界(春岸城),3室2厅, 144.62,33191,480,9,10
清水颐园,3室2厅, 105.49,31947,337,30,15
梅园新村(嘉定),2室1厅, 63.62,33009,210,48,5
清水颐园,3室2厅, 128,32032,410,4,4
民乐社区南苑六村,1室1厅, 58.76,31995,188,12,5
人民小区,2室1厅, 54.45,29385,160,22,7
李园一村,2室1厅, 62.24,30527,190,44,8
沪宜公路3758弄,2室2厅, 87.7,30559,268,49,8
南苑五村,2室1厅, 68.96,31178,215,8,3
叶城三街坊,3室2厅, 117.25,29851,350,7,5
民乐路100弄,3室2厅, 89.9,27809,250,24,3
南苑二村,2室1厅, 71.32,30567,218,18,5
小囡桥小区,2室1厅, 65.8,29332,193,23,1
塔城小区,2室0厅, 47.76,33501,160,11,3
叶城三街坊,3室2厅, 120.33,28672,345,17,6
李园一村,2室1厅, 72,32639,235,3,2
汇城公寓,3室2厅, 126.4,28482,360,51,6
塔城小区,2室0厅, 47.76,35595,170,6,1
北大街105弄,2室1厅, 66.96,30168,202,15,4
李园二村,1室1厅, 44.99,33786,152,17,4
