CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
外冈新苑,3室2厅, 122.6,20555,252,30,16
外冈佳苑,2室2厅, 80.4,23384,188,159,73
河畔艺墅(别墅),4室2厅, 192,25000,480,57,29
外冈佳苑,3室2厅, 122,18853,230,33,12
外冈新苑,3室2厅, 128.7,19426,250,52,30
外冈新苑,1室1厅, 60,25000,150,35,9
外冈佳苑,2室2厅, 80,24375,195,13,8
外冈新苑,2室2厅, 93.99,23407,220,62,14
兰郡九里澜溪谷,5室3厅, 213.54,33718,720,2,9
外冈佳苑,1室1厅, 59.34,24099,143,64,9
上海villa,3室2厅, 131.14,34315,450,17,1
外冈新苑,1室1厅, 67,24627,165,32,14
河畔艺墅(公寓),2室1厅, 88.11,25537,225,17,7
富兴华庭,2室2厅, 92.96,23129,215,54,11
上海villa,4室2厅, 224.47,30294,680,14,4
外冈新苑,2室1厅, 66,23940,158,0,3
外冈新苑,3室2厅, 122.73,21185,260,25,4
外冈新苑,4室2厅, 160.82,21142,340,1,1
外冈新苑,3室2厅, 122.8,24023,295,3,1
顺驰兰郡名苑,3室2厅, 114.83,30480,350,9,0
顺驰兰郡名苑,3室2厅, 103.81,28899,300,2,0
外冈新苑,2室2厅, 80,26250,210,5,0
外冈新苑,2室1厅, 67.23,23056,155,26,0
河畔艺墅(公寓),2室1厅, 80.09,24473,196,29,0
上海villa,4室2厅, 259.61,33897,880,13,0
外冈新苑,6室3厅, 229.78,15232,350,2,2
上海villa,联排别墅, 5室,28852,480,66,25
河畔艺墅(别墅),2室2厅, 165.95,30733,510,58,27
顺驰兰郡名苑,5室2厅, 228.11,27180,620,30,18
上海院子,3室2厅, 192.88,34219,660,31,10
兰郡九里澜溪谷,4室3厅, 224.29,27197,610,45,18
上海villa,4室2厅, 224.48,29402,660,8,1
上海villa,联排别墅, 4室,27240,586,18,15
上海院子,3室2厅, 150.26,45255,680,2,0
上海villa,4室2厅, 230.39,28214,650,31,5
兰郡九里澜溪谷,5室3厅, 231.86,35798,830,2,4
兰郡九里澜溪谷,5室2厅, 213.54,28098,600,26,6
上海院子,3室2厅, 189.03,34387,650,16,0
兰郡九里澜溪谷,6室3厅, 213,42254,900,0,0
外冈新苑,2室1厅, 67,25374,170,6,12
兰郡九里澜溪谷,5室2厅, 245,30613,750,2,0
外冈壹号,4室2厅, 137,21168,290,15,0
上海villa,4室2厅, 220,36364,800,0,0
顺驰兰郡名苑,5室3厅, 232.11,32313,750,0,0
河畔艺墅(公寓),2室2厅, 88.27,27190,240,2,0
