CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
芙蓉新村,2室2厅, 109.41,26963,295,17,18
嘉实上城名都(公寓),2室2厅, 85.42,33365,285,73,8
安亭新镇风苑,3室2厅, 98.31,36416,358,28,10
紫荆四村,2室2厅, 72.99,28087,205,92,13
芙蓉新村,2室2厅, 85.1,30553,260,12,5
安亭新镇雅苑,2室2厅, 98.23,31559,310,35,8
博泰景苑,2室2厅, 100.27,30917,310,7,10
红梅小区(嘉定),1室1厅, 42,35715,150,75,8
芙蓉金厢园,3室2厅, 134.46,31980,430,7,5
玉兰三村,2室1厅, 80.21,28675,230,64,3
润渡佳苑,3室2厅, 103,26991,278,17,3
沁富佳苑,2室2厅, 89,30899,275,18,2
安亭新镇赋苑,2室1厅, 107.72,32492,350,22,3
嘉实上城名都(公寓),2室2厅, 91.3,33407,305,44,3
新里米兰公寓,3室2厅, 91.61,34931,320,31,2
新城尚上城,2室2厅, 89,35394,315,33,7
西上海名邸,2室2厅, 88.1,36323,320,18,3
澳丽映象,2室2厅, 101.74,30962,315,11,4
西上海名邸,2室2厅, 92,34783,320,2,4
大众春盛苑,3室2厅, 141.62,21537,305,35,2
大众春盛苑,3室2厅, 102.61,29043,298,37,1
大众春盛苑,2室2厅, 81.84,30548,250,53,1
新里米兰公寓,2室2厅, 79,34178,270,52,3
魏玛原墅(公寓),3室2厅, 163.49,35477,580,5,1
安亭新镇赋苑,2室2厅, 107.72,33420,360,20,2
大众春盛苑,2室2厅, 89.77,32082,288,11,2
金桂一村,2室2厅, 83,29519,245,28,3
兴苑,2室2厅, 119.44,30811,368,26,3
泰东公寓,3室2厅, 123.54,24689,305,14,0
玉兰二村,3室2厅, 160.45,28981,465,5,0
泰东公寓,3室2厅, 123.54,24689,305,14,0
莱英北郡(公寓),2室2厅, 94.16,31330,295,15,44
新城尚上城,2室2厅, 88.36,31123,275,195,69
玉兰一村,2室1厅, 67.7,29543,200,38,60
新里米兰公寓,2室1厅, 78.36,34457,270,56,20
嘉实上城名都(公寓),2室2厅, 87.98,31826,280,17,21
嘉亭菁苑,3室2厅, 136.9,37838,518,31,21
西上海名邸,2室2厅, 90.45,31841,288,166,90
大众春盛苑,2室1厅, 60.17,31578,190,223,42
新城尚上城,2室2厅, 88.36,33387,295,47,84
紫荆四村,2室1厅, 60.64,34301,208,31,41
紫荆三村,3室1厅, 105.5,26541,280,88,29
新里米兰公寓,2室2厅, 78.73,34549,272,178,29
西上海名邸,2室2厅, 90.15,33833,305,37,29
安亭新镇赋苑,2室2厅, 129.19,29415,380,11,11
澳丽映象,3室2厅, 137.58,30892,425,9,7
安亭新镇宾根花园(公寓),2室2厅, 108,31297,338,13,8
澳丽映象,2室2厅, 104,28366,295,7,6
大众春盛苑,1室1厅, 57.02,31568,180,55,18
新城尚上城,2室2厅, 81.65,33068,270,242,17
新城尚上城,2室2厅, 82.84,33801,280,93,16
安亭新镇宾根花园(公寓),2室2厅, 97.4,30596,298,11,3
协通公寓,4室3厅, 195.41,24820,485,32,3
绿地海域苏河源(一期),2室2厅, 82,37805,310,24,10
红梅小区(嘉定),1室1厅, 60.04,28315,170,72,9
水仙小区,1室1厅, 39.89,32590,130,41,10
澳丽映象,2室2厅, 97.74,29671,290,12,9
莱茵郡,联排别墅, 4室,30530,880,47,14
魏玛原墅(别墅),独栋别墅, 6室,37582,900,43,17
龙安佳苑,3室2厅, 132,29394,388,25,4
嘉亭菁苑,2室2厅, 99.5,40202,400,25,9
路劲上海派,3室2厅, 86.68,32880,285,94,6
嘉实上城名都(公寓),2室2厅, 91.29,31767,290,18,5
澳丽映象,3室2厅, 131.35,27028,355,22,7
和亭佳苑,2室2厅, 97.07,27506,267,16,7
紫荆四村,2室2厅, 73.66,32990,243,42,9
玉兰四村,3室2厅, 93.94,29807,280,38,6
大众春盛苑,1室2厅, 56.39,35468,200,2,5
新城尚上城,3室2厅, 94.35,33917,320,14,9
大众春盛苑,2室1厅, 72.24,31839,230,28,12
新城尚上城,3室2厅, 92.75,31267,290,60,9
