CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
绿洲香格丽花园(公寓),4室2厅, 186.91,28356,530,13,4
天居玲珑湾(公寓),4室2厅, 146.73,27261,400,13,6
绿洲香格丽花园(别墅),4室4厅, 288,26737,770,18,7
泰宸家园,3室2厅, 123.5,25507,315,4,7
天居玲珑湾(公寓),2室2厅, 91.89,28295,260,11,9
天居玲珑湾(公寓),2室2厅, 85.03,27638,235,40,11
泰宸家园,3室2厅, 121.83,22163,270,18,3
天居玲珑湾(公寓),2室2厅, 91.89,28839,265,6,1
天居玲珑湾(公寓),3室2厅, 119.24,27676,330,4,0
天居玲珑湾(公寓),2室1厅, 90.21,29598,267,10,4
天居玲珑湾(公寓),2室1厅, 66,31819,210,8,1
泰宸家园,2室1厅, 81.93,26853,220,4,1
首创旭辉城(公寓),3室2厅, 85.12,27726,236,41,63
天居玲珑湾(公寓),2室2厅, 91.68,28360,260,40,48
天居玲珑湾(公寓),2室2厅, 90.21,29931,270,8,36
首创旭辉城(公寓),3室1厅, 87,27587,240,77,110
首创旭辉城(别墅),联排别墅, 4室,41993,500,13,3
天居玲珑湾(公寓),1室2厅, 65.48,31308,205,1,5
首创旭辉城(公寓),2室2厅, 75,28667,215,33,14
绿洲香格丽花园(公寓),2室2厅, 94,28192,265,41,15
天居玲珑湾(公寓),2室2厅, 84.7,27155,230,60,15
天居玲珑湾(公寓),1室1厅, 65.64,32755,215,5,1
天居玲珑湾(公寓),2室2厅, 91.89,29383,270,2,5
天居玲珑湾(公寓),2室1厅, 84,30358,255,13,8
泰宸家园,2室1厅, 81.77,26294,215,20,5
天居玲珑湾(公寓),2室2厅, 91.89,29383,270,0,1
天居玲珑湾(公寓),3室2厅, 119.83,30043,360,5,2
泰宸家园,2室2厅, 81.8,26895,220,13,1
天居玲珑湾(公寓),3室2厅, 120.55,31523,380,8,1
天居玲珑湾(公寓),3室2厅, 119.83,30043,360,5,2
天居玲珑湾(公寓),3室2厅, 120.55,31523,380,8,1
天居玲珑湾(公寓),3室2厅, 120,28250,339,8,0
绿洲香格丽花园(公寓),4室2厅, 186,28495,530,3,0
绿洲香格丽花园(公寓),5室2厅, 230,26087,600,2,0
天居玲珑湾(公寓),2室2厅, 91,30220,275,1,0
天居玲珑湾(公寓),1室2厅, 65.48,31308,205,10,0
大成名庭,4室2厅, 138,39856,550,2,0
泰宸家园,3室2厅, 108,26852,290,4,0
碧桂园嘉誉,3室2厅, 89.45,34657,310,1,0
天居玲珑湾(别墅),4室3厅, 187.81,44460,835,4,3
天居玲珑湾(公寓),2室2厅, 82.43,30329,250,2,0
天居玲珑湾(别墅),4室2厅, 152.79,51051,780,0,0
绿洲香格丽花园(别墅),5室2厅, 311.32,35334,1100,0,0
碧桂园嘉誉,3室2厅, 89.65,37926,340,0,0
