CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
嘉源小区,3室2厅, 134.72,28207,380,22,7
新成三坊四坊,2室1厅, 74.53,28177,210,20,1
嘉星小区,2室1厅, 69.89,28474,199,50,4
东润舒庭,1室2厅, 70.66,34674,245,12,3
嘉源小区,3室2厅, 129.27,25915,335,18,3
新成三坊四坊,2室2厅, 80.34,27135,218,13,4
新成三坊四坊,2室1厅, 60.31,30675,185,41,2
迎园新村十坊,2室1厅, 67.77,30250,205,1,1
迎园新村四坊,2室1厅, 75.6,28440,215,9,0
南陈小区,1室1厅, 51.88,32383,168,58,24
南陈小区,2室1厅, 64.79,31641,205,40,25
爱里舍花园(别墅),联排别墅, 4室,45033,780,15,10
新成六坊,2室1厅, 71.69,29991,215,10,8
东润舒庭,2室2厅, 88.1,36096,318,6,1
迎园新村十三坊,2室1厅, 71.9,29903,215,11,8
迎园一坊,2室1厅, 69.7,29843,208,19,5
西村小区,2室1厅, 58,31035,180,14,7
东润舒庭,2室1厅, 86,36977,318,1,3
鸿达嘉苑,2室2厅, 94.5,30688,290,6,1
南陈小区,1室1厅, 51.88,31805,165,8,3
钜凯馨园,1室1厅, 64.84,33159,215,11,1
爱里舍花园(别墅),联排别墅, 4室,45270,780,6,1
迎园新村二坊,2室1厅, 69.5,30936,215,4,1
迎园新村五坊,2室1厅, 66.36,30139,200,4,0
鸿达嘉苑,3室1厅, 94.37,30519,288,2,1
西村小区,2室1厅, 73.19,30059,220,1,1
迎园新村五坊,2室1厅, 66.7,30735,205,13,12
嘉星小区,3室2厅, 118.75,26527,315,1,0
嘉乐花园,2室2厅, 90.25,28809,260,5,0
南陈小区,2室1厅, 63.56,30680,195,13,13
南陈小区,2室1厅, 76.56,27430,210,24,16
迎园新村五坊,2室1厅, 54,27778,150,30,13
南陈小区,2室1厅, 63.03,29828,188,7,0
迎园路351弄,2室2厅, 92.21,30366,280,4,10
迎园新村五坊,2室1厅, 66.37,27423,182,84,16
迎园新村五坊,2室1厅, 53.91,30051,162,8,1
迎园一坊,2室1厅, 57.17,30611,175,1,3
迎园新村七坊,1室1厅, 43.11,35955,155,2,0
迎园一坊,2室1厅, 69.27,30028,208,0,0
嘉星小区,3室2厅, 120.79,31460,380,7,1
迎园三坊,2室1厅, 68.7,29840,205,14,9
迎园路351弄,4室2厅, 94.64,26628,252,16,11
迎园新村五坊,2室1厅, 66.4,29820,198,10,10
新成五坊,2室1厅, 49.92,32452,162,9,4
迎园新村十坊,2室1厅, 67.77,28037,190,6,5
迎园新村五坊,2室1厅, 58,31035,180,7,1
新成三坊四坊,2室1厅, 69.01,29706,205,2,0
新成五坊,2室1厅, 68.79,29801,205,3,0
迎园新村十二坊,2室1厅, 77.8,26993,210,7,12
嘉源小区,3室2厅, 106.7,30928,330,22,5
南陈小区,2室1厅, 64.79,29326,190,10,2
迎园新村四坊,2室1厅, 69.07,30404,210,7,2
南陈小区,2室1厅, 63.48,28356,180,38,2
迎园新村五坊,2室1厅, 54,32408,175,18,1
嘉宝花园(公寓),3室2厅, 141.47,33930,480,7,3
新望花园,3室2厅, 122,33197,405,1,2
迎园新村五坊,2室1厅, 66.79,28448,190,14,3
嘉星小区,2室2厅, 73.04,30121,220,5,4
鸿达嘉苑,2室2厅, 98,31123,305,5,3
鸿达嘉苑,2室2厅, 94.5,31535,298,9,2
上海之春,3室2厅, 143.18,30591,438,19,4
南陈小区,2室1厅, 62.13,33479,208,9,5
东润舒庭,2室2厅, 87.26,33808,295,21,2
嘉宝花园(公寓),3室2厅, 141.47,33930,480,7,3
迎园新村五坊,2室1厅, 66.79,28448,190,14,3
嘉星小区,2室2厅, 73.04,30121,220,5,4
鸿达嘉苑,2室2厅, 98,31123,305,5,3
嘉源小区,3室2厅, 124,33065,410,2,2
嘉源小区,3室2厅, 129,33334,430,1,1
迎园路351弄,2室1厅, 86,27907,240,0,5
