CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
盐湖新居,2室2厅, 83.19,41472,345,62,101
盐湖新居,2室2厅, 82.85,42246,350,43,80
宁兴上尚湾,3室2厅, 89.72,47927,430,25,33
江桥二村,2室1厅, 58.51,40506,237,44,121
嘉城新航域,2室2厅, 86.37,39945,345,47,36
万达城市公寓,2室1厅, 83.91,53629,450,39,33
江桥二村,2室1厅, 65.33,39798,260,41,27
万达城市公寓,2室2厅, 82.19,54752,450,31,28
中房公寓,1室1厅, 59.73,44367,265,24,29
嘉城新航域,2室2厅, 86.7,40370,350,24,31
华江景城,2室2厅, 97,40207,390,47,47
嘉城新航域,2室2厅, 82.49,46067,380,21,26
家旺景苑,3室2厅, 123,41464,510,17,32
水岸金桥苑,1室2厅, 57,44737,255,176,13
恒嘉花园,2室1厅, 58.22,38647,225,108,27
曹江公寓,2室1厅, 68.39,43574,298,5,7
缘圆宝邸,2室2厅, 73.41,51765,380,27,20
富友嘉园,3室2厅, 91.75,39238,360,28,21
申江花苑,2室2厅, 89.23,38665,345,57,22
中星海兰苑,1室1厅, 57.71,45400,262,27,25
富友嘉园,2室2厅, 72.12,39518,285,46,10
嘉城雅颂湾,1室1厅, 53.05,46183,245,10,17
盐湖新居,2室2厅, 82.96,41587,345,8,7
江桥一村,2室1厅, 61.9,41196,255,15,10
富友嘉园,3室2厅, 91.77,34325,315,79,8
江桥三村,2室1厅, 74.47,36928,275,71,7
吴杨雅苑,3室2厅, 119.61,36787,440,51,11
泰辰复兴苑,3室2厅, 94.17,47786,450,112,11
天际蓝桥,1室1厅, 57.7,51994,300,25,10
水岸金桥苑,2室1厅, 73.61,46869,345,115,14
澜茵华庭,2室1厅, 56.45,48362,273,219,13
绿地新江桥城,2室2厅, 77,44156,340,92,146
缘圆宝邸,2室2厅, 76.55,47029,360,194,209
金华新村,2室1厅, 71.09,40794,290,21,2
金华新村,1室1厅, 44,40910,180,127,4
华江景城,2室2厅, 96.81,45450,440,13,7
金帝城市岸泊(公寓),3室2厅, 125.54,41023,515,29,8
富友嘉园,1室1厅, 60.05,39135,235,40,7
金帝城市岸泊(公寓),3室2厅, 100,40000,400,45,9
绿地新江桥城,2室2厅, 76.65,41749,320,2,6
华江景城,3室2厅, 114,47369,540,3,1
金帝城市岸泊(公寓),2室2厅, 85.79,40798,350,8,4
江桥二村,2室1厅, 65.89,40219,265,22,7
嘉城新航域,3室2厅, 123.13,44669,550,6,5
嘉城香馥湾,4室2厅, 87,71265,620,8,6
华江一村,2室1厅, 60.64,42052,255,32,7
华江一村,2室1厅, 60.76,41969,255,60,5
金帝城市岸泊(公寓),2室2厅, 86.48,40472,350,54,5
富友嘉园,3室2厅, 92.15,35269,325,39,2
嘉城爱琴海,3室2厅, 110.64,41396,458,12,5
嘉旺苑,2室2厅, 96,41667,400,0,4
华江景城,2室2厅, 99,40405,400,21,5
水岸金桥苑,2室2厅, 75.49,43715,330,89,1
汇丰沁苑,3室2厅, 123.86,41176,510,18,2
华江景城,3室2厅, 114.73,47939,550,7,3
嘉城新航域,2室1厅, 62.43,44851,280,18,4
大宅风范城,2室2厅, 92.68,46397,430,88,3
天际蓝桥,2室2厅, 97.17,49913,485,5,4
嘉城新航域,2室2厅, 86.37,46313,400,11,4
嘉城新航域,2室2厅, 86.37,46313,400,11,4
嘉城新航域,1室1厅, 48.74,49241,240,2,1
天际蓝桥,2室2厅, 97.17,49913,485,5,4
大宅风范城,2室2厅, 92.68,46397,430,88,3
华江景城,3室2厅, 114.73,47939,550,7,3
中虹华苑,2室2厅, 73.27,42037,308,109,1
江桥二村,3室1厅, 137.46,38193,525,5,2
绿地新江桥城,2室2厅, 76,43422,330,98,69
丰华苑,2室1厅, 74.94,48039,360,1,0
丰华苑,2室2厅, 75.33,46463,350,30,0
嘉城新航域,1室1厅, 59.8,45151,270,8,0
丰华苑,2室2厅, 75,46667,350,12,0
水岸金桥苑,2室2厅, 73.61,46190,340,23,0
水岸金桥苑,2室2厅, 74.57,42243,315,18,0
富友嘉园,2室2厅, 72.34,40089,290,9,0
江桥三村五街坊,3室1厅, 95.92,41702,400,5,0
富友嘉园,2室1厅, 72.61,40629,295,5,0
