CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新城枫景,2室2厅, 88.8,33784,300,49,28
保利海上五月花(公寓),1室1厅, 56.15,37400,210,11,8
新城枫景,4室2厅, 144.7,33173,480,12,6
竹园公寓,2室2厅, 81.2,30789,250,19,7
住友嘉馨名园,3室2厅, 125,35200,440,12,4
嘉富小区,2室1厅, 69.52,31646,220,20,5
日月光伯爵天地,3室2厅, 93,41398,385,6,5
保利海上五月花(公寓),3室2厅, 88.2,40817,360,1,1
嘉富小区,3室1厅, 94.68,29574,280,9,0
新城悠活城,2室2厅, 90.45,36485,330,27,0
合景叠翠峰苑,3室2厅, 89.99,36116,325,0,0
合景叠翠峰苑,3室2厅, 91,34946,318,31,25
合景叠翠峰苑,3室2厅, 91.7,33588,308,99,61
万科金色领域,3室2厅, 89.9,40045,360,38,25
嘉宝梦之湾(公寓),1室2厅, 67.19,41673,280,0,0
万科金色领域,3室2厅, 90.09,34966,315,20,2
嘉宝梦之湾(公寓),2室1厅, 67.45,40030,270,6,8
万科金色领域,3室2厅, 89.5,36872,330,20,7
练祁佳苑,1室2厅, 71,34648,246,47,7
新城悠活城,2室2厅, 85,35295,300,42,22
合景叠翠峰苑,2室2厅, 79.57,37452,298,77,18
保利海上五月花(公寓),4室3厅, 87,44828,390,12,8
日月光伯爵天地,3室2厅, 103.95,38962,405,66,10
嘉宝梦之湾(公寓),4室2厅, 137.03,40138,550,6,8
保利海上五月花(公寓),3室2厅, 92,35870,330,24,12
日月光伯爵天地,3室2厅, 90.73,39789,361,19,12
保利海上五月花(公寓),2室2厅, 91.83,34739,319,13,7
新城悠活城,3室2厅, 134.19,36888,495,28,4
合景叠翠峰苑,3室2厅, 91.46,36082,330,26,13
合景叠翠峰苑,3室2厅, 89.66,35691,320,7,1
嘉富小区,3室2厅, 111.17,28335,315,33,5
汇丰荷苑,1室2厅, 59.65,37888,226,27,5
合景叠翠峰苑,3室2厅, 91.1,36224,330,33,5
怡华家园,3室2厅, 129,29845,385,11,2
嘉宝梦之湾(公寓),3室2厅, 98.13,39744,390,11,4
日月光伯爵天地,3室2厅, 89.82,40081,360,11,4
万科金色领域,3室2厅, 92.35,37900,350,16,1
住友嘉馨名园,2室2厅, 99,35859,355,10,2
嘉宝梦之湾(公寓),2室1厅, 73.97,43261,320,2,3
宝菊新家园,2室2厅, 96.21,31806,306,6,4
新城悠活城,2室2厅, 86.74,34587,300,16,1
万科金色领域,3室1厅, 89.26,35851,320,20,1
