CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
共富一村,2室1厅, 83.41,38965,325,75,12
共富一村,3室1厅, 89.97,45016,405,43,14
共富一村,1室1厅, 51.01,44109,225,45,11
共富一村,2室1厅, 72.38,44212,320,29,16
共富二村,3室2厅, 98.38,44522,438,89,18
共富一村,2室2厅, 93.66,34700,325,75,14
共富四村,1室1厅, 55,45819,252,20,10
富都园,4室3厅, 190.86,34319,655,30,10
共富二村,2室2厅, 79.74,42639,340,76,10
共富四村,2室1厅, 78.21,41555,325,31,13
富弘苑,2室2厅, 94.1,46228,435,27,5
共富二村,2室1厅, 76.39,43200,330,3,1
共富二村,3室1厅, 90.5,40332,365,51,3
共富三村,2室1厅, 83.49,43119,360,14,8
共富二村,1室2厅, 60.21,43681,263,32,4
共富一村,2室2厅, 93.21,45060,420,3,1
富隆苑,2室2厅, 90.05,47752,430,5,1
共富二村,2室1厅, 83.15,38485,320,32,3
共富二村,3室2厅, 124.72,40090,500,35,1
共富二村,2室2厅, 98.89,41461,410,11,1
共富花园,1室1厅, 45.06,46161,208,6,0
共富二村,2室2厅, 83.56,43083,360,4,0
共富二村,2室1厅, 83.45,40144,335,5,0
富隆苑,3室2厅, 119.07,44092,525,8,0
共富二村,3室2厅, 109.85,40965,450,572,40
共富二村,2室1厅, 79,43671,345,35,17
富隆苑,2室2厅, 90.05,41422,373,10,9
共富二村,2室2厅, 92,44566,410,1,6
共富二村,3室2厅, 117.74,40344,475,55,14
共富二村,3室2厅, 117.93,36463,430,31,11
共富一村,1室1厅, 49.65,44311,220,18,11
共富四村,3室1厅, 80.46,45738,368,221,17
共富二村,2室1厅, 77.83,46255,360,47,7
共富四村,3室2厅, 116.6,41167,480,24,5
共富一村,1室1厅, 51.01,41169,210,112,4
富隆苑,2室2厅, 90.28,42646,385,73,5
共富一村,2室1厅, 71,44367,315,21,9
富弘苑,2室2厅, 94.3,45600,430,3,2
共富一村,2室1厅, 82.62,38732,320,66,3
共富四村,2室1厅, 78.21,40916,320,37,5
共富一村,2室1厅, 70.94,42290,300,20,3
共富三村,2室2厅, 87.51,46852,410,16,3
共富二村,1室2厅, 68,47059,320,32,4
共富四村,3室2厅, 139.72,40653,568,75,13
共富二村,2室2厅, 95.15,42039,400,6,0
共富二村,2室1厅, 63.17,40368,255,43,1
鑫鑫花园,2室2厅, 94.66,45954,435,12,3
共富二村,3室2厅, 117.97,40265,475,9,1
共富四村,3室2厅, 121.58,36191,440,44,4
共富一村,2室1厅, 72.29,40117,290,125,0
鑫鑫花园,2室2厅, 94.51,47403,448,3,0
富弘苑,2室2厅, 93.29,46093,430,1,0
共富二村,3室1厅, 94.41,38662,365,24,0
富隆苑,3室2厅, 119.07,47032,560,5,0
共富二村,2室1厅, 68.77,45078,310,19,30
共富一村,2室1厅, 70.23,43144,303,34,39
共富一村,1室1厅, 60.3,40631,245,48,28
共富四村,2室1厅, 75.64,46272,350,7,0
共富一村,3室1厅, 86.59,42153,365,103,25
富隆苑,2室2厅, 104.27,45076,470,1,0
共富二村,3室2厅, 101.86,41234,420,11,0
共富四村,2室1厅, 70,42143,295,30,14
共富一村,1室2厅, 59.12,42287,250,32,14
大唐花园,2室1厅, 70.35,35821,252,31,22
大唐花园,2室1厅, 76.43,34280,262,41,29
共富一村,2室1厅, 70.94,44827,318,27,31
大唐花园,2室1厅, 64.49,32564,210,47,18
共富一村,3室1厅, 96.09,43189,415,42,22
共富四村,2室1厅, 57.51,46253,266,267,17
大唐花园,2室1厅, 77.18,34984,270,5,0
共富二村,1室1厅, 62.06,45118,280,3,0
共富花园,2室1厅, 106,40567,430,35,10
共富二村,2室1厅, 59.84,39773,238,74,12
共富一村,2室1厅, 74.02,42557,315,1,2
共富一村,5室3厅, 138.95,35985,500,28,7
共富四村,1室1厅, 57.63,48586,280,58,12
共富一村,3室2厅, 99,38384,380,59,16
共富二村,2室2厅, 78.84,43126,340,73,9
共富二村,1室1厅, 61.79,43697,270,4,7
共富一村,1室2厅, 63.16,41957,265,71,8
共富一村,3室2厅, 101,40595,410,27,11
共富一村,1室1厅, 51.37,43606,224,1,1
共富二村,2室1厅, 77.78,43456,338,9,3
共富一村,3室2厅, 93.21,46133,430,73,8
鑫鑫花园,4室2厅, 151.09,35079,530,72,14
共富四村,2室1厅, 57.5,46609,268,34,14
大唐花园,2室1厅, 67,38806,260,34,10
共富一村,1室1厅, 50.97,42182,215,23,8
共富一村,1室1厅, 47.8,45607,218,23,12
大唐花园,2室1厅, 67,38806,260,34,10
共富四村,2室1厅, 57.5,46609,268,34,14
共富二村,3室1厅, 95.27,43561,415,4,4
鑫鑫花园,4室3厅, 150.21,33953,510,88,3
共富四村,2室1厅, 69.42,44512,309,2,0
共富四村,3室2厅, 123.51,37244,460,9,8
共富四村,3室2厅, 107,43926,470,25,10
富弘苑,2室2厅, 96.18,45540,438,1,6
共富二村,2室1厅, 79.78,44498,355,20,9
共富二村,3室1厅, 93.67,43771,410,22,7
共富一村,2室1厅, 68.64,41521,285,228,4
共富一村,2室1厅, 68.61,43726,300,2,1
共富一村,2室1厅, 74.81,39434,295,47,2
共富一村,3室2厅, 97.85,40368,395,34,4
共富三村,3室2厅, 126.21,34071,430,16,4
鑫鑫花园,2室2厅, 93.83,45828,430,9,2
共富二村,2室1厅, 75.5,45299,342,15,5
共富一村,2室1厅, 69.69,41613,290,1,3
鑫鑫花园,2室2厅, 93.27,46103,430,4,2
共富四村,2室1厅, 59.69,45234,270,47,5
共富一村,2室2厅, 80.3,38606,310,34,1
共富一村,2室2厅, 97,42269,410,5,3
鑫鑫花园,5室2厅, 163.84,33570,550,2,1
大唐花园,2室1厅, 70,38572,270,40,4
共富二村,3室2厅, 94.04,43599,410,5,1
共富花园,2室2厅, 93.91,40465,380,41,2
富隆苑,3室2厅, 131.84,43235,570,4,1
大唐花园,3室2厅, 123.32,32436,400,37,1
富隆苑,3室2厅, 135.34,41378,560,8,1
共富二村,2室1厅, 67.43,46716,315,21,1
共富二村,2室1厅, 67.43,46716,315,21,1
共富二村,2室2厅, 99,41415,410,10,2
共富三村,2室1厅, 73.62,43603,321,6,1
共富二村,2室1厅, 63.32,40746,258,153,1
共富二村,2室2厅, 99.94,45028,450,15,3
共富一村,2室2厅, 88.4,39593,350,0,1
富都园,3室2厅, 133,41354,550,5,1
共富二村,2室1厅, 63.24,44276,280,2,3
共富二村,2室2厅, 99.68,41132,410,10,3
共富二村,3室2厅, 116.49,39918,465,60,2
共富三村,2室2厅, 86.67,44999,390,0,0
共富一村,1室1厅, 51,46079,235,1,0
富都园,2室2厅, 97,46392,450,9,0
共富二村,2室1厅, 83.5,40719,340,6,0
大唐花园,3室2厅, 130.4,33743,440,12,0
大唐花园,1室1厅, 52,33654,175,56,9
共富二村,1室1厅, 59.55,41142,245,1,0
大唐花园,1室1厅, 33.3,50751,169,12,7
大唐花园,2室1厅, 67.33,35646,240,0,0
共富三村,3室1厅, 126.21,39617,500,0,0
共富二村,2室1厅, 64.42,41602,268,12,6
共富二村,2室2厅, 80.61,39698,320,7,0
共富二村,1室1厅, 65.02,47678,310,17,13
共富一村,2室1厅, 74.18,44487,330,7,14
共富二村,4室2厅, 114,42544,485,55,4
共富二村,2室1厅, 75.5,41060,310,10,1
富都园,2室2厅, 97,46392,450,33,2
富都园,3室2厅, 135.41,44310,600,2,0
大宁北玉兰公馆,3室2厅, 124,66936,830,1,0
大唐花园,2室1厅, 80.74,36538,295,0,0
共富一村,2室1厅, 82.88,44040,365,13,1
共富一村,3室2厅, 116.54,38614,450,0,0
大唐花园,2室1厅, 83.12,35491,295,27,7
共富四村,3室2厅, 103.82,40455,420,11,0
共富四村,3室2厅, 102.31,43007,440,0,0
