CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新梅绿岛苑,2室2厅, 91.24,56993,520,27,21
中环国际公寓(一期),4室2厅, 169.33,56104,950,26,16
共康八村,2室1厅, 64.2,45951,295,22,24
宝宸怡景园,2室1厅, 65.5,64123,420,47,20
共康六村,2室1厅, 66.34,55774,370,22,26
九英里,2室1厅, 69.68,59989,418,41,33
馨康苑,2室2厅, 101.1,64293,650,17,10
共康七村,2室1厅, 68.49,48183,330,21,11
新梅绿岛苑,3室2厅, 84.35,55721,470,39,10
共康七村,2室1厅, 68.81,47959,330,31,18
中环国际公寓(一期),2室2厅, 67.75,72030,488,31,14
宝宸共和家园,2室2厅, 97.7,58138,568,44,15
共康六村,1室1厅, 51.59,54275,280,9,7
宝宸怡景园,3室2厅, 130.7,68095,890,10,7
共康五村,1室1厅, 43.69,48066,210,8,2
九英里,2室2厅, 108.91,53255,580,29,11
宝宸共和家园,3室2厅, 130.03,65370,850,33,12
共康五村,1室1厅, 54.89,46457,255,65,8
共康六村,2室1厅, 75.36,51752,390,38,0
屹立家园,2室2厅, 88.63,53594,475,53,8
共康公寓,2室2厅, 88.76,57459,510,12,8
宝宸共和家园,2室2厅, 98.28,63086,620,16,9
宝宸共和家园,3室2厅, 125.94,64317,810,11,11
共康六村,1室1厅, 44.91,54554,245,18,9
艺康苑,2室2厅, 96.48,59598,575,8,1
新梅绿岛苑,3室2厅, 100.42,52779,530,24,2
宝宸怡景园,2室2厅, 84.55,69782,590,12,2
九英里,2室2厅, 108.89,55102,600,5,1
和欣国际花园,4室2厅, 152,43422,660,75,4
和欣国际花园,4室2厅, 152,43422,660,75,4
共康七村,2室1厅, 66.45,48157,320,28,4
和欣国际花园,2室2厅, 99.3,63445,630,11,1
和欣国际花园,2室2厅, 101.98,63738,650,9,2
共康公寓,2室2厅, 97,57217,555,8,1
新梅绿岛苑,3室2厅, 103.1,56257,580,8,1
和欣国际花园,1室1厅, 50,76400,382,18,4
宝宸共和家园,4室4厅, 99.19,86703,860,4,2
宝宸共和家园,2室2厅, 93.59,69452,650,6,1
共康公寓,2室2厅, 93.47,58308,545,16,2
共康八村,1室1厅, 52.91,45361,240,29,0
新梅绿岛苑,2室1厅, 67.61,62121,420,76,0
共康八村,2室1厅, 52.91,48763,258,21,0
宝宸共和家园,3室2厅, 118.64,65324,775,11,0
共和新苑,3室2厅, 115.07,59964,690,12,0
共康路400弄,4室2厅, 148.42,43795,650,5,0
共康八村,2室1厅, 61.31,48932,300,3,0
共康七村,2室1厅, 68.81,53045,365,6,0
共康公寓,2室1厅, 75.2,61171,460,3,0
共康八村,1室1厅, 46.97,47265,222,6,8
九英里,2室2厅, 133,40602,540,53,24
中环国际公寓(二期),1室1厅, 55.8,61828,345,27,75
九英里,2室2厅, 80,58125,465,48,51
宝宸怡景园,3室2厅, 88.82,69917,621,40,49
宝宸怡景园,2室2厅, 90.08,64388,580,10,18
九英里,3室2厅, 95.71,56943,545,54,28
中环国际公寓(一期),3室2厅, 112.19,61503,690,41,25
宝宸怡景园,2室2厅, 88.49,68370,605,55,21
中环国际公寓(一期),2室2厅, 83.72,60321,505,47,44
共康八村,2室1厅, 60.65,48640,295,7,20
宝宸怡景园,2室2厅, 90.12,66356,598,35,59
宝宸共和家园,2室2厅, 99.2,56956,565,68,50
中环国际公寓(一期),3室2厅, 126,58731,740,16,16
共康六村,1室1厅, 60.5,48761,295,3,6
新梅绿岛苑,2室2厅, 85.36,58576,500,7,14
屹立家园,2室2厅, 96.32,46720,450,36,19
宝宸怡景园,2室2厅, 90,64445,580,18,10
共康八村,2室1厅, 52.91,45361,240,42,28
新梅绿岛苑,3室2厅, 106,58491,620,32,16
共康五村,2室1厅, 65.83,51649,340,17,14
中环国际公寓(二期),2室1厅, 70,64286,450,17,11
中环国际公寓(二期),1室1厅, 56.76,61664,350,39,13
宝宸共和家园,2室2厅, 97.38,55453,540,54,8
和欣国际花园,2室1厅, 79.3,68096,540,27,12
宝宸共和家园,2室2厅, 88.48,57415,508,37,14
九英里,2室1厅, 72.9,61729,450,17,15
和欣国际花园,3室2厅, 124.3,61143,760,17,13
和欣国际花园,2室2厅, 97,64743,628,25,14
中环国际公寓(二期),1室1厅, 56.8,57219,325,19,7
共康六村,2室1厅, 79.87,50332,402,23,8
共康六村,3室1厅, 71.5,50070,358,23,12
共康八村,1室1厅, 44.13,49853,220,38,11
宝宸共和家园,2室2厅, 99.2,63005,625,30,10
和欣国际花园,4室2厅, 146,68494,1000,12,6
屹立家园,2室1厅, 88.83,52911,470,10,8
共康公寓,2室2厅, 84.74,55464,470,19,7
宝宸共和家园,2室2厅, 102.91,63162,650,37,8
宝宸怡景园,3室2厅, 122.04,65553,800,6,3
共康路400弄,1室1厅, 53.79,41830,225,70,4
宝宸怡景园,2室1厅, 75.86,68548,520,11,6
宝宸怡景园,2室1厅, 75.86,68548,520,11,6
共康六村,2室1厅, 64.64,54147,350,9,4
共康五村,2室1厅, 63.31,49756,315,18,6
和欣国际花园,3室2厅, 121.99,68039,830,7,6
宝宸怡景园,2室2厅, 87.2,64221,560,28,4
宝宸怡景园,2室2厅, 89.16,61687,550,11,4
和欣国际花园,5室2厅, 145,75863,1100,15,4
共康七村,2室1厅, 80.17,49770,399,10,2
和欣国际花园,2室1厅, 97,68042,660,4,3
艺康苑,2室2厅, 108.13,58079,628,13,2
新梅绿岛苑,3室2厅, 106.19,58386,620,21,3
新梅绿岛苑,3室2厅, 100.86,52449,529,74,4
中环国际公寓(一期),2室2厅, 83.72,63904,535,33,4
共康公寓,2室2厅, 88.39,59962,530,14,5
中环国际公寓(二期),2室2厅, 82.59,65384,540,8,1
共康五村,1室1厅, 52.98,43413,230,6,3
共康六村,2室1厅, 69.45,51116,355,7,2
共康六村,9室3厅, 168.68,45649,770,18,1
新梅绿岛苑,3室2厅, 100.17,59899,600,8,2
共康七村,3室1厅, 111.2,46313,515,7,0
新梅绿岛苑,2室2厅, 82.36,53424,440,31,0
艺康苑,2室2厅, 101.67,62949,640,5,0
馨康苑,2室2厅, 101.08,64306,650,2,2
共康八村,3室1厅, 82.19,49885,410,15,1
共康七村,2室1厅, 66.74,45700,305,34,45
九英里,3室2厅, 123.93,58905,730,3,2
和欣国际花园,2室2厅, 99.3,65459,650,6,1
中环国际公寓(一期),2室2厅, 81.35,60234,490,12,19
共康五村,2室1厅, 71.19,48462,345,6,9
中环国际公寓(一期),2室2厅, 81.61,61268,500,2,11
新梅绿岛苑,3室2厅, 106.67,52968,565,27,6
和欣国际花园,2室1厅, 88.31,65112,575,34,49
和欣国际花园,2室2厅, 99.64,63027,628,22,48
和欣国际花园,2室2厅, 77.04,64902,500,7,2
屹立家园,4室2厅, 164.5,49241,810,1,0
馨康苑,2室2厅, 100.57,64632,650,2,0
宝宸怡景园,2室2厅, 88.52,61004,540,22,22
中环国际公寓(二期),3室2厅, 124.82,56882,710,83,22
新梅绿岛苑,1室2厅, 67.61,53987,365,54,21
