CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
大华二村,2室1厅, 59.19,58287,345,40,75
文华苑(宝山),1室1厅, 55.22,56140,310,40,46
久华佳苑,2室2厅, 98.97,70729,700,6,1
中环一号(三期),3室2厅, 96.02,63529,610,31,38
中环一号(一期),3室2厅, 120.47,56114,676,79,22
梧桐城邦(二期),2室2厅, 89.72,59073,530,47,29
复星新苑,3室2厅, 119.86,52979,635,83,24
文华苑(宝山),2室1厅, 69.13,57862,400,49,53
梧桐城邦(二期),2室2厅, 91.76,59722,548,38,29
梧桐城邦(一期),2室2厅, 89.69,51288,460,40,13
滨江雅苑,3室2厅, 132.21,62023,820,46,25
大华二村,2室1厅, 70.16,57013,400,62,29
梧桐城邦(二期),2室2厅, 96.68,62061,600,96,33
水韵华庭,3室2厅, 142.23,61872,880,75,18
大华一村,2室1厅, 72.72,56381,410,41,21
怡华苑,1室1厅, 58.25,62661,365,4,7
大华一村,1室1厅, 46.44,49527,230,50,14
大华三村二街坊,2室0厅, 45.48,53870,245,40,12
大华公园世家康华苑,3室2厅, 117.41,56214,660,17,7
北华苑,2室1厅, 68.75,55273,380,36,11
梧桐城邦(一期),2室2厅, 83.5,59881,500,103,24
文华苑(宝山),2室2厅, 88.89,56700,504,31,14
文华苑(宝山),2室1厅, 69.15,56400,390,35,27
复星花园(行知路569弄),2室2厅, 87.53,48555,425,52,16
大华公园世家康华苑,3室2厅, 114.81,57313,658,39,20
中环一号(一期),2室2厅, 97.38,56994,555,26,15
水岸蓝桥(公寓),1室2厅, 71.85,70982,510,18,24
康泰新城,3室2厅, 102.11,50926,520,31,9
梧桐城邦(一期),3室2厅, 117.32,50972,598,129,22
康泰新城,2室2厅, 86.62,51374,445,80,22
大华一村,3室2厅, 84.12,56467,475,20,1
复星花园(行知路569弄),2室1厅, 82.5,47273,390,266,10
中环一号(一期),3室2厅, 132.53,52064,690,80,12
梧桐城邦(二期),2室2厅, 85.55,60784,520,8,3
中环一号(二期),1室2厅, 51.5,66020,340,25,7
"枫庭丽苑,",3室2厅, 128.19,52891,678,21,9
梧桐城邦(一期),2室2厅, 95.63,59605,570,27,13
中环一号(一期),2室2厅, 94.5,56085,530,43,11
中环一号(一期),3室2厅, 101.79,56981,580,73,9
大华三村二街坊,2室1厅, 62,58871,365,21,11
远景佳苑,3室2厅, 103.25,60049,620,62,10
大华二村,2室1厅, 66.27,51306,340,101,13
嘉华苑(宝山),3室2厅, 98.06,64247,630,32,11
水岸蓝桥(公寓),1室2厅, 71.85,73765,530,22,10
"枫庭丽苑,",3室2厅, 100.41,56768,570,67,8
远景佳苑,2室2厅, 85.09,64638,550,20,10
梧桐城邦三期,1室2厅, 62.41,72104,450,70,12
大华二村,2室1厅, 65.18,54465,355,15,11
馨华苑,2室2厅, 90.56,62942,570,38,11
水岸蓝桥(公寓),2室2厅, 90.36,67508,610,26,9
北华苑,2室2厅, 80.45,62151,500,37,18
玉华苑,2室1厅, 65.09,62222,405,22,17
复星花园(行知路50弄),2室2厅, 83.93,54808,460,21,13
南华苑,2室2厅, 100.53,54711,550,4,8
大华二村,2室1厅, 63.39,56792,360,18,5
复星花园(行知路50弄),1室1厅, 54.63,65898,360,18,13
大华一村,1室1厅, 49.91,53096,265,18,5
好旺花苑,2室1厅, 65,58462,380,21,9
复星花园(行知路50弄),1室1厅, 54.63,53085,290,117,9
大华二村,2室1厅, 61.93,52479,325,15,9
大华公园世家康华苑,3室2厅, 125.28,48691,610,46,8
南华苑,1室2厅, 55.51,63052,350,8,12
大华一村,2室1厅, 62.4,54488,340,47,14
南华苑,2室1厅, 92.88,55448,515,46,16
大华公园世家康华苑,3室2厅, 127.19,59754,760,15,7
文华苑(宝山),3室2厅, 109.13,54064,590,69,7
水岸蓝桥(公寓),1室2厅, 67.98,70610,480,32,17
玉华苑,3室2厅, 95.93,56813,545,5,6
康泰新城,3室2厅, 114.96,52193,600,29,7
梧桐城邦(一期),2室2厅, 91.8,55556,510,28,8
大华二村,1室1厅, 41.46,59817,248,82,14
大华一村,2室2厅, 68.93,53678,370,55,12
梧桐城邦(二期),1室1厅, 54.54,62340,340,44,5
康泰新城,3室2厅, 124.96,44815,560,36,9
文华苑(宝山),1室2厅, 57.87,58753,340,19,10
大华公园世家康华苑,2室2厅, 105.07,59770,628,4,5
大华二村,2室2厅, 85.96,54677,470,6,6
玉华苑,3室2厅, 115.47,58890,680,8,6
