CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
联建新村(宝山),2室0厅, 52.1,43379,226,19,25
南大路180弄,2室1厅, 66.91,41848,280,11,9
上大阳光乾龙苑,2室1厅, 81.46,42966,350,42,13
上大阳光乾龙苑,2室1厅, 75.12,43930,330,26,3
乾溪新村,2室1厅, 70,49858,349,53,19
乾溪新村,2室1厅, 64.17,49868,320,34,18
上大阳光乾和园,2室2厅, 83.18,48690,405,118,9
环镇北路400弄,3室1厅, 78.5,39491,310,68,3
上大阳光乾心园,3室2厅, 146.99,38098,560,89,11
骏华苑,2室1厅, 70,55715,390,111,10
环镇北路400弄,2室1厅, 59.08,43162,255,18,1
和泰苑,2室2厅, 90.55,37549,340,27,6
上大阳光乾龙苑,2室1厅, 72.3,45644,330,19,5
上大阳光乾龙苑,2室1厅, 78.51,45855,360,24,3
上大阳光乾澄园,2室2厅, 96.1,48388,465,36,2
环镇北路600弄,3室1厅, 92.19,40135,370,19,2
上大阳光乾和园,2室2厅, 99.31,48334,480,3,0
同济城市阳光,2室2厅, 82.2,51095,420,104,123
同济城市阳光,3室2厅, 105.05,52357,550,59,35
南大路86弄,2室2厅, 64.16,42550,273,222,35
上大阳光乾和园,2室2厅, 84.25,48072,405,18,19
南大路190弄,1室1厅, 41.6,40866,170,47,21
上大阳光乾和园,2室2厅, 84.17,49900,420,47,27
同济城市阳光,2室1厅, 84.79,54252,460,37,29
南大路180弄,2室1厅, 58.18,39189,228,81,20
上大阳光乾和园,2室2厅, 94.83,47454,450,21,6
上大阳光乾龙苑,1室1厅, 54.3,41989,228,26,13
和泰苑,2室2厅, 90.44,38700,350,33,11
上大阳光乾龙苑,1室1厅, 54.3,38675,210,62,10
和泰苑,1室1厅, 57.86,50121,290,15,9
和泰苑,1室2厅, 63.89,44608,285,13,6
乾溪新村,2室1厅, 54.58,48003,262,13,12
上大阳光乾龙苑,1室1厅, 49.53,46437,230,10,8
上大阳光乾龙苑,2室1厅, 78.51,44581,350,16,6
同济城市阳光,2室2厅, 80.71,55756,450,30,5
祥泰苑,2室1厅, 60.17,53183,320,50,4
上大阳光乾龙苑,2室1厅, 74.99,45340,340,11,4
聚丰福邸,2室1厅, 89.56,53596,480,1,3
环镇北路600弄,3室1厅, 92,44566,410,7,1
骏华苑,1室1厅, 52.79,52851,279,32,1
同济城市阳光,2室2厅, 81.9,56167,460,15,0
环镇北路600弄,2室1厅, 71.55,40532,290,42,14
美好家小区,2室2厅, 89.9,49500,445,27,2
美好家小区,3室2厅, 105.7,55819,590,13,0
乾溪新村,2室1厅, 58,48104,279,38,49
同济城市阳光,2室2厅, 84.79,50714,430,113,102
和泰苑,1室1厅, 57.83,49283,285,1,1
上大阳光乾龙苑,1室1厅, 49.53,41995,208,11,7
乾溪新村,1室1厅, 45.39,42962,195,28,35
环镇北路600弄,1室1厅, 67.89,38298,260,28,26
骏华苑,1室1厅, 52.76,46437,245,62,27
南大路8弄,1室1厅, 39.37,46991,185,50,20
环镇北路500弄,2室1厅, 61,46722,285,16,24
