CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
共和小区,2室1厅, 76.19,51188,390,106,30
岭南雅苑,2室2厅, 91.2,53180,485,26,25
民悦苑,2室1厅, 74.42,49046,365,52,13
民主紫竹苑,2室2厅, 86.35,53272,460,22,19
泗塘七村,2室0厅, 48.01,41658,200,83,6
呼玛一村,2室1厅, 55.51,44677,248,12,12
共和小区,2室1厅, 47.48,54339,258,23,11
三湘盛世花园,3室2厅, 136.5,56264,768,37,16
岭南雅苑,2室2厅, 91.09,52696,480,26,24
岭南家园,2室1厅, 72.49,46628,338,22,7
民悦苑,1室1厅, 41.49,51820,215,9,9
共和五村,1室1厅, 36.16,52545,190,1,4
民悦苑,2室1厅, 71.33,54676,390,9,9
呼玛一村,2室1厅, 57.51,43123,248,14,7
惠民公寓,1室1厅, 57.61,48603,280,10,7
呼玛五村,2室2厅, 65.27,45963,300,58,7
美树铭家,4室2厅, 123.44,44557,550,59,11
通河一村,1室1厅, 45.37,45846,208,32,9
呼玛三村,3室1厅, 100.51,46762,470,36,9
共和一村,2室1厅, 74.77,46811,350,3,12
呼玛五村,2室1厅, 59.99,47508,285,17,7
美树铭家,3室2厅, 99.12,53471,530,23,5
泗塘四村,2室1厅, 69.66,38473,268,41,5
呼玛五村,1室1厅, 43.25,48555,210,27,5
城投世纪名城,3室2厅, 108.09,50884,550,18,7
盛达家园,1室2厅, 67,55971,375,5,5
共和小区,3室2厅, 92.4,48702,450,36,5
呼玛五村,2室1厅, 57.55,45179,260,197,7
龙缘花园,2室2厅, 94.84,59047,560,7,5
呼玛三村,1室1厅, 41.26,50897,210,9,1
呼玛四村,2室1厅, 66.59,47755,318,44,2
民主花园,1室1厅, 49.6,53428,265,21,1
呼玛二村,1室1厅, 42.39,46710,198,14,2
呼玛一村,2室1厅, 55.7,41832,233,16,0
呼玛二村,1室1厅, 42.3,46809,198,6,1
呼玛一村,2室1厅, 53.22,45096,240,28,5
呼玛四村,2室1厅, 58.73,47676,280,8,2
通河一村,2室1厅, 59.68,46917,280,6,4
共和五村,2室1厅, 66.71,41973,280,22,1
共和一村,1室1厅, 52.85,45412,240,7,5
共和五村,2室1厅, 67.74,42811,290,12,3
呼玛三村,3室2厅, 69.58,48865,340,18,3
城投世纪名城,2室2厅, 91.87,52792,485,15,1
冶金小区(宝山),2室1厅, 67.03,53708,360,2,1
民主花园,2室1厅, 79.55,52797,420,31,3
呼玛一村,2室1厅, 43.23,48578,210,3,1
泗塘八村,2室0厅, 48,48959,235,0,2
通河一村,1室1厅, 46.7,47110,220,13,1
民主花园,2室1厅, 79.86,45705,365,23,1
呼玛四村,2室1厅, 58,48276,280,7,3
泗塘四村,2室2厅, 75,42667,320,3,1
共和二村,2室2厅, 91.75,44687,410,1,1
呼玛二村,2室1厅, 57.18,46870,268,2,1
呼玛三村,2室1厅, 67.86,50104,340,33,1
呼玛二村,1室1厅, 42,47143,198,6,2
泗塘四村,2室1厅, 60.49,46289,280,10,1
美树铭家,2室2厅, 92.51,51887,480,3,0
共和小区,1室1厅, 47.48,50548,240,5,0
共和八村,1室1厅, 49.17,48811,240,7,0
美树铭家,2室2厅, 92.51,51887,480,3,0
泗塘八村,1室1厅, 46.74,47069,220,5,0
共和小区,3室1厅, 96,55209,530,1,0
呼玛三村,1室1厅, 45.35,47630,216,9,0
城投世纪名城,3室2厅, 126.52,51376,650,2,0
泗塘三村,1室1厅, 33.98,48558,165,7,27
呼玛一村,1室1厅, 41.6,46395,193,24,24
呼玛二村,2室1厅, 54.55,46747,255,22,4
泗塘四村,1室1厅, 35.35,45828,162,11,2
呼玛三村,2室1厅, 58.65,48594,285,25,40
泗塘二村,1室1厅, 35.6,46349,165,8,2
民主花园,3室2厅, 159.93,37517,600,56,26
共和小区,1室1厅, 58.58,52578,308,4,33
民悦苑,2室1厅, 72.77,52907,385,49,24
呼玛三村,2室1厅, 50.55,51039,258,17,26
呼玛三村,2室1厅, 59.58,51360,306,34,31
民主敦发小区,1室1厅, 61.58,43846,270,189,9
盛达家园,1室1厅, 52.78,53051,280,7,11
城投世纪名城,3室2厅, 111.77,45630,510,41,10
共和小区,2室1厅, 72.7,54746,398,11,17
昌鑫时代绿园,3室2厅, 124.29,43447,540,69,12
呼玛一村,2室1厅, 43.48,47839,208,14,5
呼玛三村,1室1厅, 45.35,49615,225,5,5
泗塘七村,2室1厅, 72.61,39251,285,16,5
民主花园,2室1厅, 77.06,53206,410,9,4
富浩花园,3室2厅, 116.21,41735,485,24,7
共和二村,2室2厅, 110,50000,550,3,5
呼玛四村,2室1厅, 64.1,45242,290,11,7
盛达家园,2室2厅, 80.73,49548,400,26,6
城投世纪名城,3室2厅, 111.64,46579,520,31,10
城投世纪名城,3室2厅, 111.64,46579,520,31,10
泗塘五村,2室1厅, 53.76,48364,260,4,5
呼玛一村,2室1厅, 57.59,44800,258,11,14
共和小区,2室2厅, 86.28,53315,460,6,0
呼玛二村,2室1厅, 56.84,47502,270,24,11
民主花园,3室1厅, 83,50000,415,13,1
呼玛一村,1室1厅, 35.47,52439,186,15,2
民主花园,2室1厅, 76.98,54560,420,2,2
泗塘三村,2室0厅, 50.99,40204,205,10,3
泗塘二村,2室0厅, 47.74,49225,235,7,1
通河一村,2室1厅, 55.06,45042,248,19,4
龙缘花园,2室2厅, 99,60607,600,3,2
共和五村,2室1厅, 58.58,41994,246,35,3
共和五村,2室1厅, 58.99,43228,255,9,5
呼玛一村,2室1厅, 52.91,46873,248,16,8
共和二村,2室1厅, 67.13,44690,300,4,1
冶金小区(宝山),1室1厅, 53.3,52533,280,7,8
呼玛一村,2室1厅, 55,43273,238,13,3
通河一村,2室1厅, 57.35,46557,267,14,5
呼玛五村,2室1厅, 60.63,47832,290,24,7
共和一村,2室1厅, 65.27,46729,305,13,3
岭南家园,2室2厅, 72.8,46704,340,24,1
城投世纪名城,2室2厅, 92.9,50054,465,26,1
通河一村,2室1厅, 70.04,49972,350,8,1
呼玛一村,1室1厅, 42,45953,193,5,1
共和小区,3室1厅, 86.28,49838,430,14,1
呼玛一村,1室1厅, 40.32,45139,182,6,1
美树铭家,2室1厅, 68.94,58022,400,6,1
通河一村,1室1厅, 55.26,50670,280,6,3
共和八村,2室1厅, 66.66,47255,315,2,2
岭南家园,2室2厅, 72.8,46704,340,24,1
民主紫竹苑,3室2厅, 104,56731,590,5,6
共和三村,2室1厅, 74.15,43156,320,13,1
住嘉新苑,3室2厅, 127,58268,740,3,0
共和三村,2室1厅, 73.62,46184,340,24,0
昌鑫时代绿园,3室2厅, 131.13,51857,680,1,0
岭南雅苑,3室2厅, 107.47,52573,565,0,0
岭南家园,1室1厅, 58.1,43030,250,16,0
泗塘八村,2室0厅, 48,47917,230,1,0
泗塘三村,1室1厅, 35.7,47059,168,14,56
共和小区,1室1厅, 48.2,51453,248,8,6
泗塘二村,2室1厅, 50.11,47895,240,4,5
民主花园,2室1厅, 64.93,51595,335,22,39
民悦苑,2室1厅, 79.84,50727,405,64,46
共和八村,3室1厅, 84.53,45546,385,1,0
昌鑫时代绿园,2室1厅, 72.73,53348,388,16,7
呼玛三村,2室1厅, 59.54,48371,288,23,24
共和小区,2室1厅, 63.2,53007,335,14,1
泗塘二村,1室0厅, 34.05,52864,180,5,1
通河一村,2室1厅, 58.33,49718,290,0,0
泗塘四村,1室1厅, 34,50589,172,3,0
呼玛一村,2室1厅, 53.27,45993,245,18,25
泗塘二村,1室0厅, 34.23,49665,170,1,0
泗塘二村,2室1厅, 50.1,45909,230,4,1
通河一村,1室1厅, 45.52,50088,228,1,1
通河一村,1室1厅, 43,48838,210,4,19
呼玛四村,2室1厅, 62.33,46848,292,12,4
民悦苑,2室1厅, 71.73,54371,390,47,22
城投世纪名城,2室2厅, 92.9,53822,500,2,0
呼玛二村,2室1厅, 54.68,45172,247,3,1
