CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
月浦八村,2室1厅, 55.03,34164,188,27,25
乐业五村,3室1厅, 74.74,32781,245,32,17
月浦七村,2室0厅, 49.22,32508,160,55,12
月浦七村,1室0厅, 32.81,40232,132,8,6
新丰花苑,3室1厅, 122,20082,245,16,3
四元路20弄,2室1厅, 57.38,37470,215,33,14
四元路20弄,2室1厅, 61.81,35593,220,54,11
月浦八村,2室1厅, 50.15,33899,170,24,9
德都路165弄,2室1厅, 60.18,37388,225,4,4
庆安一村,2室1厅, 55.66,37730,210,122,9
乐业五村,2室1厅, 56.22,36464,205,15,10
德都路165弄,3室1厅, 72.2,36704,265,23,11
月浦五村,2室1厅, 49.79,33140,165,10,9
月浦七村,2室1厅, 54.7,32907,180,10,5
乐业五村,2室1厅, 58.28,33460,195,15,3
月浦三村,2室1厅, 67.16,31269,210,44,6
庆安一村,3室1厅, 66.71,38226,255,5,3
月浦九村,2室1厅, 61.2,32353,198,52,6
月浦八村,1室1厅, 39.37,36831,145,4,3
乐业五村,2室1厅, 56.1,38325,215,23,1
宝华北岸郡庭(公寓),2室2厅, 68.67,34950,240,17,2
四元路20弄,2室2厅, 72.61,37874,275,11,7
庆安苑,2室1厅, 76.23,36600,279,13,6
四元路20弄,2室1厅, 56.06,33893,190,12,2
月浦八村,3室1厅, 71.69,37384,268,26,4
宝华盛世花园,3室2厅, 105,31429,330,3,3
新月丽苑,3室2厅, 125.93,37720,475,5,1
乐业二村,2室1厅, 71.85,36883,265,18,1
月浦十村,2室1厅, 58,33621,195,13,2
乐业五村,2室1厅, 56.26,33772,190,124,1
乐业五村,3室1厅, 86.65,34046,295,9,1
德都路165弄,2室2厅, 74.88,32720,245,8,1
月浦八村,2室1厅, 55.03,33619,185,43,2
中冶祥腾宝月花园,2室1厅, 75.7,36989,280,3,1
德都路165弄,3室1厅, 75.69,34219,259,10,1
嘉城国际花园,2室2厅, 75.64,42042,318,5,3
月浦六村,2室1厅, 52.59,34037,179,19,1
庆安一村,2室1厅, 57,38597,220,8,2
富锦苑,3室2厅, 159.16,26703,425,7,1
