CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
海尚明城,3室2厅, 115.63,35891,415,54,49
海尚明城,2室2厅, 96.7,39814,385,93,66
万业紫辰苑,2室1厅, 68.23,38840,265,57,37
荣域飘鹰锦和花园(公寓),2室2厅, 91.36,41594,380,78,32
柏丽华庭,3室2厅, 128.64,41589,535,81,35
世华佳苑,3室2厅, 135,46519,628,11,39
天馨花园(公寓),3室2厅, 113.86,41279,470,25,24
天馨花园(公寓),2室2厅, 85.52,43265,370,40,36
天馨花园(公寓),2室2厅, 92.29,39550,365,114,21
荣域飘鹰锦和花园(公寓),2室2厅, 89.41,46975,420,103,70
海尚明城,1室2厅, 60.16,42387,255,31,25
杨泰二村,2室1厅, 73.86,37639,278,30,28
天馨花园(公寓),2室2厅, 75.06,40635,305,122,44
海尚明城,3室2厅, 115.63,37188,430,73,28
天馨花园(公寓),2室2厅, 89.6,42076,377,37,49
丽景翠庭,3室3厅, 87.07,50535,440,90,20
杨泰二村,2室1厅, 70.97,38749,275,25,24
万科四季花城,2室2厅, 91.29,43817,400,141,29
天馨花园(公寓),3室2厅, 115.65,40640,470,12,35
天馨花园(公寓),1室1厅, 59.57,45325,270,74,7
康桥水都(公寓),2室2厅, 74.39,45437,338,57,11
天馨花园(公寓),2室2厅, 81.73,45272,370,26,15
柏丽华庭,4室2厅, 149.03,41603,620,29,14
天馨花园(公寓),3室2厅, 110.84,42404,470,64,20
万科四季花城,3室2厅, 130.13,42266,550,32,17
康桥水都(公寓),2室2厅, 75.28,47822,360,38,15
海尚明城,1室2厅, 63.2,39557,250,15,17
天馨花园(公寓),2室2厅, 95.34,40907,390,24,10
天馨花园(公寓),2室2厅, 90.22,40457,365,21,12
海尚明城,3室2厅, 105.9,38716,410,17,8
天馨花园(公寓),2室2厅, 88.7,41714,370,14,8
万科四季花城,3室1厅, 84.21,46313,390,32,13
海尚明城,1室2厅, 62.23,39371,245,49,11
柏丽华庭,3室2厅, 139.78,40779,570,44,8
万科四季花城,2室2厅, 82.27,44731,368,16,8
海尚明城,2室2厅, 98.8,38968,385,13,9
东方丽都,3室2厅, 110.75,40181,445,25,12
宝启公寓,2室1厅, 75,38667,290,53,16
万科四季花城,3室2厅, 84.21,43938,370,50,8
天馨花园(公寓),2室2厅, 86,45349,390,31,11
柏丽华庭,3室2厅, 138.52,44398,615,20,7
天馨花园(公寓),2室2厅, 91.66,42549,390,33,9
世华佳苑,2室2厅, 99.5,48242,480,9,4
杨泰二村,3室1厅, 85.55,39743,340,9,8
宝地绿洲城,3室2厅, 107.08,40157,430,4,6
杨泰二村,2室1厅, 71.33,40657,290,9,9
万科四季花城,3室2厅, 120.36,41958,505,21,8
宝地绿洲城,3室2厅, 108.32,39236,425,32,9
杨泰三村,1室1厅, 39.98,43772,175,41,6
香逸湾,4室2厅, 134.89,47447,640,13,5
