CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新三小区,2室1厅, 51.84,59028,306,12,20
久久公寓,3室2厅, 157.23,63602,1000,43,17
学府花苑,2室1厅, 72.77,57717,420,30,18
万安路356号,2室1厅, 54.6,49085,268,48,4
新海城,3室2厅, 127.18,55434,705,62,19
胜利小区(虹口),2室1厅, 64.52,58122,375,56,8
江杨家园,2室1厅, 77.86,62292,485,18,13
新市南路561弄,2室1厅, 68.56,64907,445,20,12
纪念小区,2室2厅, 69.23,55612,385,33,11
上地公寓,3室2厅, 117.4,68144,800,21,2
久久公寓,3室2厅, 149.99,65338,980,3,11
新南小区,2室1厅, 63.86,57940,370,39,11
荣振馨苑,2室2厅, 90.49,70727,640,79,8
一品新筑苑,3室2厅, 126.01,68249,860,34,6
逸仙小区,1室1厅, 37.75,56954,215,15,6
良辰美景公寓,2室2厅, 111.26,63815,710,2,1
万东小区,3室1厅, 71.27,58230,415,34,2
忠烈小区,2室1厅, 61.89,50089,310,15,1
新电小区,2室1厅, 80.1,59926,480,29,5
江杨名苑,2室1厅, 74.74,60209,450,23,3
海湾新苑,3室1厅, 92.01,64993,598,30,3
三门二小区,3室1厅, 72.19,51254,370,126,6
胜利小区(虹口),2室2厅, 65.33,58167,380,14,3
纪念小区,1室1厅, 43.98,54571,240,44,4
文新小区,2室1厅, 64.37,66802,430,5,3
江杨家园,2室1厅, 76,56579,430,157,4
丰景湾名邸,3室1厅, 100.04,75770,758,41,3
望隆苑,3室2厅, 119.16,70914,845,36,7
东方公寓(虹口),1室1厅, 49.37,58538,289,16,3
文新小区,2室1厅, 64.37,66802,430,5,3
丰景湾名邸,3室1厅, 100.04,75770,758,41,3
良辰美景公寓,2室2厅, 86.47,67654,585,2,3
沽源路111弄,2室1厅, 48.44,54707,265,48,2
学府花苑,2室1厅, 86.2,58005,500,14,2
虹北公寓,2室1厅, 71.51,55937,400,20,2
江杨家园,1室2厅, 67.97,60321,410,29,5
