CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
逸居苑,2室2厅, 77.56,56731,440,216,95
淞南八村,3室1厅, 106.84,50075,535,0,1
逸兴家园,4室2厅, 124.16,45506,565,221,47
逸居苑,2室2厅, 88.11,53910,475,82,54
宝景苑,2室2厅, 88.3,55493,490,19,35
新城尚景,3室2厅, 114.78,54888,630,17,18
盛世宝邸(一期),2室2厅, 91.03,68110,620,69,45
鎏园,3室2厅, 117.37,56233,660,55,16
淞南四村,1室1厅, 42.88,41978,180,98,19
锦通苑,7室3厅, 114.95,51762,595,11,10
新梅淞南苑,2室2厅, 75.96,61875,470,43,21
淞南八村,2室1厅, 66.63,43524,290,13,14
淞南二村,2室1厅, 61.2,45099,276,12,10
淞南九村,1室1厅, 47.97,40859,196,24,6
淞南七村,2室1厅, 64.36,41952,270,36,14
淞南十村,1室1厅, 49.31,44819,221,16,14
盛世宝邸(一期),2室2厅, 89.23,70605,630,16,12
长江路68弄,2室1厅, 60.15,38238,230,77,7
淞南九村,2室1厅, 65.3,49005,320,11,17
淞南五村,2室1厅, 76.08,49948,380,35,5
淞南五村,1室1厅, 50.18,49821,250,34,10
淞南十村,2室1厅, 68.38,46505,318,5,6
淞南二村,2室1厅, 59.62,45287,270,27,5
淞南一村,2室1厅, 55.9,47407,265,44,5
盛世宝邸(一期),2室2厅, 91.8,66449,610,55,7
淞南三村,1室1厅, 42.63,44570,190,33,9
淞南七村,2室1厅, 70.48,47532,335,12,9
鎏园,2室2厅, 95.15,59906,570,15,6
盛世宝邸(一期),3室2厅, 120.72,66270,800,65,6
万临家园,4室3厅, 160.16,44956,720,27,8
淞南八村,3室1厅, 82.14,41393,340,32,8
盛世宝邸(一期),2室2厅, 91,63517,578,67,7
盛世宝邸(一期),2室2厅, 85,68236,580,62,10
盛世宝邸(一期),3室2厅, 120.72,66270,800,65,6
淞南九村,1室1厅, 41.06,51145,210,5,4
淞南二村,2室1厅, 59.62,44449,265,42,8
逸兴家园,3室2厅, 118.11,53764,635,21,6
逸兴家园,4室2厅, 169.01,49702,840,6,8
嘉骏香山苑,2室2厅, 88.64,54152,480,30,10
新逸仙公寓,2室2厅, 102.74,45260,465,11,7
淞南七村,2室1厅, 66.7,44228,295,16,8
新城尚景,2室2厅, 97.99,51536,505,7,5
盛世宝邸(一期),2室2厅, 85.88,71030,610,11,3
长宏新苑,2室2厅, 85.61,50462,432,12,1
淞南三村,2室1厅, 53.4,44944,240,18,1
嘉骏香山苑,3室2厅, 77.8,62340,485,18,7
淞南五村,3室1厅, 87.61,45429,398,28,3
淞南十村,2室1厅, 68.38,46798,320,14,2
淞南五村,2室1厅, 70.94,42995,305,16,5
锦通苑,2室2厅, 86.61,57731,500,10,7
都市花苑,1室2厅, 63.26,60070,380,7,2
长江路848弄,2室0厅, 50.42,44626,225,4,3
逸兴家园,2室2厅, 91.07,53805,490,9,4
逸兴家园,2室1厅, 91.21,49337,450,19,6
淞浦苑,3室2厅, 147.72,42649,630,49,5
嘉骏香山苑,3室1厅, 100.79,58538,590,8,6
新逸仙公寓,2室2厅, 102.74,49640,510,16,6
都市花苑,2室2厅, 82.16,58667,482,1,0
尚城汇景园,2室2厅, 88.11,49938,440,19,2
淞南一村,2室1厅, 59.62,46965,280,11,1
华浜新村,1室1厅, 42.73,43296,185,26,1
淞南六村,2室1厅, 67.57,46175,312,5,2
都市花苑,2室2厅, 87.19,51612,450,6,1
淞浦苑,3室2厅, 147.72,40618,600,16,1
尚城汇景园,2室2厅, 88.11,49938,440,19,2
淞南八村,2室1厅, 68.86,42115,290,10,3
长江路780弄,3室1厅, 86.7,41523,360,37,1
逸兴家园,3室2厅, 118.11,53341,630,8,2
长江路68弄,2室1厅, 65.14,39915,260,62,2
新逸仙公寓,2室2厅, 91.47,50290,460,20,4
宝景苑,2室2厅, 102.06,53400,545,12,1
淞南八村,3室1厅, 79.08,47421,375,6,1
淞南十村,2室1厅, 79,49368,390,10,4
逸兴家园,3室2厅, 126.07,55129,695,11,1
淞南九村,1室1厅, 49.25,50762,250,4,2
锦通苑,2室2厅, 91.6,57861,530,0,3
锦通苑,3室2厅, 124.83,53273,665,5,1
长宏新苑,3室2厅, 145.8,50069,730,1,1
逸兴家园,6室1厅, 148.48,48492,720,4,0
枫桥湾名邸,5室3厅, 122,63935,780,16,0
长江路30弄,1室1厅, 37.41,49453,185,19,0
逸兴家园,2室2厅, 91.21,53723,490,7,0
淞南九村,2室1厅, 62.11,45887,285,3,0
华浜二村,2室1厅, 64.6,40248,260,2,0
淞南十村,3室1厅, 103,43690,450,4,0
尚城汇景园,2室1厅, 71.66,60006,430,18,0
淞南八村,1室1厅, 48.5,44330,215,1,0
逸兴家园,6室2厅, 163,49080,800,14,0
逸兴家园,2室1厅, 91.21,57560,525,48,0
逸兴家园,6室1厅, 148.48,48492,720,4,0
淞南九村,2室1厅, 62.11,45887,285,3,0
逸兴家园,2室1厅, 91.21,57560,525,48,0
嘉骏香山苑,2室2厅, 84.44,56846,480,7,0
淞南九村,1室1厅, 49.6,44960,223,8,0
华浜二村,2室1厅, 64.6,40248,260,2,0
淞南八村,2室1厅, 65.47,43532,285,46,40
淞南五村,1室1厅, 44.84,46611,209,2,3
宝景苑,2室2厅, 88.04,51682,455,15,27
淞南五村,2室1厅, 62.33,50538,315,8,0
淞南九村,1室1厅, 36.66,47191,173,10,28
嘉骏香山苑,2室2厅, 77.1,55124,425,15,34
尚城汇景园,2室2厅, 104.36,47912,500,155,37
淞南七村,2室1厅, 67.23,44623,300,18,36
鎏园,2室2厅, 109.4,53931,590,46,31
淞南九村,2室1厅, 62.21,44045,274,14,35
盛世宝邸(一期),2室2厅, 80.85,66791,540,53,29
淞南五村,1室1厅, 39.74,45295,180,49,17
新梅淞南苑,2室2厅, 75.25,62193,468,13,28
淞南八村,1室1厅, 48.88,47055,230,28,22
宝景苑,2室2厅, 102.42,50772,520,25,20
鎏园,3室2厅, 150.84,41767,630,35,14
长江路20弄,2室1厅, 54.06,39771,215,18,5
淞南三村,3室1厅, 73.38,41701,306,41,18
尚城汇景园,3室2厅, 121.2,45380,550,64,21
长宏新苑,3室2厅, 111.42,47120,525,45,10
淞南五村,1室1厅, 39.74,47811,190,1,6
淞南三村,1室1厅, 42.08,42776,180,52,15
三湘海尚城(公寓),2室2厅, 89.48,59232,530,31,9
华浜二村,1室1厅, 41,45854,188,20,13
新梅淞南苑,2室1厅, 66.53,64483,429,12,10
鹏程花苑,2室2厅, 92.67,57193,530,53,13
华浜二村,1室1厅, 41,45854,188,20,13
盛世宝邸(一期),2室2厅, 87.77,71779,630,13,14
新梅淞南苑,1室1厅, 54.42,65234,355,6,9
三湘海尚城(公寓),3室2厅, 116.76,62522,730,10,12
盛世宝邸(一期),2室2厅, 84.4,68721,580,34,14
盛世宝邸(一期),2室2厅, 85.59,64260,550,69,10
淞南七村,1室1厅, 47.91,42789,205,5,0
淞南二村,2室1厅, 59.62,41597,248,32,20
淞南九村,2室1厅, 60.92,55811,340,3,0
淞南五村,2室1厅, 66.77,41187,275,94,6
长江路848弄,2室0厅, 45.35,44102,200,37,7
长江路20弄,2室1厅, 59.97,41688,250,135,9
