CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金泰园,1室1厅, 48.22,40440,195,247,44
宝钢九村,2室1厅, 63,42064,265,38,30
宝林一村,2室1厅, 53.97,49102,265,3,2
永清新村,2室1厅, 58.97,38155,225,1,2
永清二村,2室1厅, 57.08,41171,235,35,25
宝林五村,2室1厅, 58.14,40936,238,21,17
宝山三村,1室1厅, 52.47,47647,250,4,8
宝林三村,3室1厅, 67.2,49108,330,6,23
华能城市花园,2室2厅, 107,54206,580,17,23
宝山一村,2室1厅, 75.94,46748,355,12,17
宝山十村,2室1厅, 76.6,49870,382,12,18
宝林一村,3室1厅, 90.64,55164,500,5,10
密山二村,2室1厅, 56.38,48777,275,1,1
永清二村,2室1厅, 53.7,39107,210,22,13
牡丹锦苑,2室2厅, 102.51,52678,540,26,14
宝山八村,2室2厅, 104.75,40096,420,17,13
宝钢八村,2室0厅, 44.3,46276,205,12,12
宝林一村,2室1厅, 51.95,51974,270,20,7
华能城市花园,2室2厅, 117.27,59692,700,0,4
双城路650弄,2室1厅, 73.28,45033,330,6,0
海滨三村,2室0厅, 46.7,46467,217,4,9
宝钢二村,2室1厅, 48.43,48111,233,8,10
海滨三村,2室1厅, 50.97,42771,218,8,9
淞滨支路40弄,2室2厅, 89.15,42625,380,26,10
海滨八村,1室1厅, 37,47298,175,11,13
宝山八村,2室2厅, 91.82,44653,410,12,13
宝林一村,2室1厅, 68.7,49491,340,3,8
宝林六村,2室1厅, 51.19,44736,229,20,5
宝山七村,2室1厅, 70.29,44957,316,20,7
宝林六村,2室1厅, 51.19,44736,229,20,5
海滨八村,2室0厅, 50.77,39394,200,15,17
密山二村,1室1厅, 45.89,43147,198,1,5
宝林一村,2室1厅, 77.04,42186,325,39,2
海滨四村,2室1厅, 60,41667,250,9,6
海滨二村(宝山),2室0厅, 46.72,42809,200,22,24
密山二村,1室1厅, 40.95,45178,185,7,1
宝山三村,3室1厅, 72.53,47981,348,15,1
宝林二村,2室1厅, 65.3,49771,325,4,5
宝城一村,2室1厅, 72.5,48276,350,6,8
海江新村,3室1厅, 95.05,41032,390,8,6
宝林六村,2室1厅, 51.19,42001,215,13,5
临江二村,2室1厅, 72.75,41925,305,19,2
宝林新苑,3室2厅, 114.27,45944,525,24,5
海江二村,2室1厅, 66.42,41404,275,44,5
泗东新村,3室0厅, 64.95,36952,240,14,4
同济路60弄,2室1厅, 67.8,44248,300,7,5
华能时代花园,4室3厅, 132,51516,680,28,3
泗东新村,2室1厅, 46.44,41344,192,11,5
密山新村,3室2厅, 125.47,44633,560,1,0
密山二村,2室1厅, 51.47,42744,220,2,0
淞滨路70弄,2室1厅, 55.99,42865,240,40,3
宝山九村,3室2厅, 111.7,44763,500,13,2
宝钢五村,2室1厅, 93.27,44495,415,5,1
宝山十村,3室2厅, 104.83,46743,490,9,4
团结路58号,2室1厅, 73.89,46015,340,17,2
永清二村,1室1厅, 41.92,39838,167,108,2
宝城一村,2室1厅, 76.74,48215,370,4,5
宝山八村,3室2厅, 100.95,48539,490,11,1
宝林五村,1室1厅, 45.49,45065,205,3,2
双城路2弄,2室2厅, 98.45,39615,390,7,2
宝钢四村,2室0厅, 44.4,52928,235,7,3
宝林九村,2室1厅, 75.83,44178,335,1,2
海滨三村,2室1厅, 51.37,40880,210,60,1
宝林一村,2室1厅, 53.97,50955,275,5,3
淞滨路70弄,3室1厅, 78,43334,338,6,2
宝林六村,2室2厅, 82.97,40979,340,14,3
宝钢三村,3室1厅, 108.17,39938,432,15,3
宝山十村,3室2厅, 104.83,46743,490,9,4
祥瑞公寓,2室2厅, 115.26,45116,520,10,3
白玉兰花园,3室2厅, 130,56154,730,16,4
临江四村,1室1厅, 45.87,47962,220,10,3
永清新村,2室1厅, 56.53,39802,225,16,2
海滨新村,3室2厅, 110,31819,350,24,2
宝林二村,2室1厅, 55.63,45839,255,19,1
宝城一村,2室1厅, 56.75,48106,273,14,1
淞滨支路120弄,1室1厅, 44,45455,200,27,2
宝钢二村,1室1厅, 43.95,40956,180,24,3
海江公寓,2室2厅, 100,47000,470,5,3
永清新村,2室1厅, 58.85,39933,235,8,3
淞滨路70弄,2室1厅, 55.99,42865,240,40,3
宝钢三村,2室2厅, 80.05,41849,335,2,3
宝山二村,2室1厅, 66.42,42909,285,6,2
宝林九村,1室1厅, 58.05,37899,220,0,1
宝山九村,2室1厅, 79.85,47965,383,8,2
宝城二村,1室1厅, 48.53,47394,230,24,1
团结路58号,2室1厅, 73.89,46015,340,17,2
二纺新工房,2室2厅, 113.13,39778,450,1,0
同济公寓,2室2厅, 101.5,45813,465,5,0
华能城市花园,5室3厅, 213.69,56157,1200,2,0
二纺新工房,2室2厅, 113.13,39778,450,1,0
宝山七村,1室1厅, 49.5,44445,220,6,0
吴淞三村,1室1厅, 48.7,44148,215,8,0
宝城一村,2室2厅, 100.26,45383,455,2,0
海滨二村(宝山),2室1厅, 49.23,42657,210,10,0
同济公寓,2室2厅, 101.5,45813,465,5,0
宝林路462弄,2室2厅, 87.32,45809,400,14,0
宝钢二村,2室0厅, 49.78,45199,225,2,0
宝林春天苑,3室2厅, 140.96,54981,775,9,0
临江二村,2室1厅, 58.62,46060,270,1,0
宝林二村,1室1厅, 41.42,44665,185,3,0
祥瑞公寓,3室2厅, 141.17,60212,850,5,0
宝钢八村,2室0厅, 49.36,43558,215,3,0
泰和路678弄,2室1厅, 56.7,39683,225,3,0
泰和路678弄,2室0厅, 43.3,41571,180,44,0
淞青路64弄,2室1厅, 69,42754,295,0,0
海江二村,2室1厅, 61.6,44643,275,3,0
同济公寓,3室2厅, 133.38,41236,550,29,0
宝钢四村,1室1厅, 56.91,45687,260,2,0
宝钢四村,2室0厅, 50.14,46869,235,5,10
海江二村,1室0厅, 36.05,48544,175,14,6
泗东新村,1室0厅, 33.38,43440,145,23,3
海江二村,1室1厅, 28.43,49244,140,21,5
宝钢三村,1室0厅, 35.11,51268,180,2,2
海滨二村(宝山),2室0厅, 44.26,41799,185,22,2
宝林二村,2室1厅, 44.98,48911,220,8,1
宝山三村,2室2厅, 82.3,46902,386,5,0
密山二村,1室1厅, 42.38,47193,200,10,0
宝林二村,1室1厅, 38.38,46900,180,2,0
宝钢五村,2室2厅, 94.15,44610,420,39,24
宝钢五村,2室2厅, 94.15,44610,420,39,24
宝林八村,3室1厅, 98.77,38474,380,2,0
西朱新村,2室0厅, 62.33,36901,230,47,24
宝山十村,3室2厅, 99.99,48005,480,2,0
住友宝莲,2室2厅, 98.04,59670,585,11,25
宝林二村,1室1厅, 41.42,41043,170,35,19
宝钢三村,2室1厅, 50.88,47170,240,4,22
宝林一村,2室1厅, 72.79,49458,360,7,18
永清新村,2室1厅, 51.9,44316,230,10,21
宝林三村,3室1厅, 67.02,44763,300,0,0
海滨二村(宝山),2室1厅, 49.19,40659,200,140,24
永清二村,1室1厅, 41.74,44322,185,1,0
宝林七村,2室1厅, 56.56,38897,220,1,0
海江二村,2室1厅, 66.42,43361,288,7,17
华能城市花园,3室2厅, 126,59921,755,1,0
宝林九村,1室1厅, 39.7,44081,175,18,8
宝林五村,1室1厅, 46,46740,215,1,10
宝城二村,2室1厅, 70,45000,315,3,2
永清新村,2室1厅, 53.3,42777,228,5,3
泰和路678弄,2室1厅, 57.04,36817,210,2,4
永清二村,2室1厅, 57.41,40934,235,11,4
宝林一村,1室1厅, 44.65,49273,220,19,8
宝山十村,2室2厅, 104,44712,465,9,7
华能城市花园,3室2厅, 126,61905,780,1,6
长征新村,1室1厅, 38.66,40352,156,52,33
密山二村,2室0厅, 49.98,44018,220,10,21
海江新村,2室1厅, 61.55,43867,270,4,8
海江二村,3室1厅, 75.13,43259,325,16,13
宝山八村,2室1厅, 91.82,44653,410,10,13
宝钢六村,2室1厅, 51.13,43028,220,20,10
海江新村,2室1厅, 54.57,37567,205,28,8
宝钢二村,2室0厅, 44.61,47075,210,1,1
宝山十村,3室2厅, 99.69,49654,495,8,13
