CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
美兰湖岭域,4室2厅, 216.6,36012,780,94,54
美兰湖颐景园,3室2厅, 129.42,33998,440,52,26
美兰湖岭域,3室2厅, 142.86,31500,450,137,25
远洋7号,3室2厅, 102.34,41529,425,54,5
万科琥珀郡园,3室2厅, 99.21,44855,445,50,10
美兰湖颐景园,3室2厅, 111.61,34944,390,129,8
美兰湖颐景园,3室2厅, 123.71,37184,460,20,10
罗南二村,3室2厅, 119.97,31258,375,18,4
万科琥珀郡园,4室2厅, 117.42,50929,598,49,8
罗南二村,2室1厅, 69.83,32222,225,33,5
美兰湖颐景园,3室2厅, 121.56,34551,420,63,12
上置香岛原墅(公寓),2室2厅, 108.45,38267,415,11,2
罗南二村,2室1厅, 69.63,32314,225,41,2
祁南二村,2室1厅, 73.73,32280,238,18,6
罗南二村,3室1厅, 69.73,34419,240,44,1
罗南一村,2室1厅, 56.51,37162,210,10,1
罗南二村,3室1厅, 81.14,32660,265,15,1
富泰苑,2室2厅, 89,40450,360,0,1
罗南二村,3室2厅, 127,28977,368,5,1
金星绿苑,2室2厅, 83.4,31775,265,10,0
美兰湖中华园,2室1厅, 87.31,44096,385,7,0
罗南二村,2室0厅, 43.3,41571,180,271,31
万科琥珀郡园,2室2厅, 79.5,50315,400,32,37
顺驰美兰湖,3室2厅, 115.13,37350,430,44,23
金星绿苑,3室2厅, 126.49,25694,325,38,16
罗南二村,2室1厅, 72.4,32459,235,94,29
美兰湖岭域,3室2厅, 91.68,42540,390,46,27
金星绿苑,3室2厅, 127.14,25012,318,15,21
万科琥珀郡园,3室2厅, 89.11,50500,450,40,24
万科琥珀郡园,3室2厅, 80.52,59613,480,1,11
美兰湖中华园,2室2厅, 87.85,42687,375,9,31
上置香岛原墅(公寓),2室1厅, 111.24,37757,420,12,14
上置香岛原墅(公寓),2室2厅, 108.45,36792,399,17,6
美兰湖岭域,3室2厅, 91.61,43446,398,34,14
美兰湖颐景园,2室1厅, 83,39760,330,88,15
万科琥珀郡园,2室2厅, 89.52,45242,405,21,2
美兰湖岭域,4室2厅, 219.3,34656,760,10,7
美兰湖岭域,2室2厅, 92.04,41287,380,11,22
金辉兰湖美域,3室2厅, 142.98,44063,630,11,13
美兰湖颐景园,4室2厅, 180.48,32691,590,36,2
美兰湖岭域,3室2厅, 90.86,42373,385,20,17
万科琥珀郡园,2室1厅, 76.96,48077,370,42,11
顺驰美兰湖,3室2厅, 114.47,36691,420,32,8
美兰湖岭域,2室2厅, 92.43,44358,410,14,9
美兰湖岭域,2室2厅, 92.04,41287,380,7,12
美兰湖岭域,3室2厅, 91.03,46139,420,11,7
金星绿苑,2室1厅, 83.5,30659,256,2,0
富长苑,2室2厅, 91.55,31677,290,252,6
罗南二村,2室1厅, 67.5,34815,235,65,9
上置香岛原墅(公寓),2室2厅, 97.82,40381,395,3,5
罗南二村,2室2厅, 84.91,34154,290,42,10
美兰湖颐景园,3室2厅, 126.83,35481,450,7,13
美兰金邸,叠拼别墅, 4室,37843,800,76,15
万科琥珀郡园,3室1厅, 89.12,49372,440,8,3
美兰湖中华园,3室2厅, 89,42697,380,23,4
金辉兰湖美域,3室2厅, 139.5,41578,580,3,1
信达郡庭,2室2厅, 74.46,51035,380,13,7
远洋7号,3室2厅, 101.78,44214,450,11,1
远洋7号,3室2厅, 103.44,41570,430,92,5
上置香岛原墅(公寓),2室2厅, 101,39604,400,10,3
万科琥珀郡园,2室2厅, 76.96,51976,400,0,2
万科琥珀郡园,3室1厅, 89.12,49372,440,8,3
远洋7号,3室2厅, 101.23,45442,460,27,4
远洋7号,3室2厅, 97.73,45022,440,3,1
万科琥珀郡园,4室2厅, 89.12,54983,490,41,3
顺驰美兰湖,2室2厅, 95.18,37824,360,24,5
顺驰美兰湖,2室2厅, 96.31,34265,330,47,8
万科琥珀郡园,2室2厅, 109.48,49325,540,44,9
美兰湖中华园,2室2厅, 87.45,44026,385,6,1
东南弄村公寓,2室1厅, 81.96,31723,260,0,1
