CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
宝虹家园,2室1厅, 82.61,22395,185,97,13
旭辉澜悦湾,2室1厅, 67.37,30875,208,34,11
旭辉城,3室2厅, 89.86,32829,295,3,1
旭辉城,3室2厅, 106,27831,295,14,4
旭辉澜悦湾,2室1厅, 67.33,32675,220,29,6
旭辉城,2室1厅, 73.44,32408,238,3,3
旭辉澜悦湾,3室2厅, 88.85,28701,255,53,5
旭辉澜悦湾,2室1厅, 83.42,31168,260,4,1
旭辉澜悦湾,3室2厅, 102.25,31296,320,17,2
旭辉城,3室2厅, 90.19,27720,250,11,4
旭辉澜悦湾,2室2厅, 67.7,31020,210,7,1
旭辉澜悦湾,2室1厅, 65.67,33501,220,23,1
北郊一号,2室2厅, 88.45,28830,255,1,1
旭辉澜悦湾,3室2厅, 85.54,32734,280,8,3
宝通家园,2室2厅, 80.97,26554,215,52,3
美兰金色宝邸,2室2厅, 98.86,27312,270,8,0
旭辉澜悦湾,2室2厅, 80.41,35444,285,0,0
旭辉城,3室2厅, 90.33,26570,240,12,4
旭辉澜悦湾,3室2厅, 104,29808,310,1,0
旭辉澜悦湾,3室1厅, 83.42,25174,210,90,24
旭辉城,2室1厅, 70.87,29632,210,18,7
宝虹家园,2室1厅, 83.48,23719,198,20,1
旭辉澜悦湾,3室2厅, 96.56,27962,270,100,20
宝悦家苑,3室2厅, 124.07,20150,250,15,1
旭辉城,2室2厅, 71.07,33770,240,1,0
宝通家园,2室1厅, 79.66,23852,190,77,8
旭辉澜悦湾,2室1厅, 67,32239,216,22,8
旭辉城,2室2厅, 73.5,29252,215,0,6
旭辉城,3室2厅, 90.3,27132,245,15,5
旭辉澜悦湾,3室1厅, 91,30770,280,28,4
宝虹家园,4室2厅, 117.84,19943,235,67,4
旭辉城,2室2厅, 89.98,28896,260,2,3
旭辉城,2室2厅, 73.44,31999,235,1,4
旭辉澜悦湾,2室2厅, 90.23,29924,270,2,1
旭辉城,3室2厅, 89.86,27822,250,16,3
宝悦家苑,1室1厅, 62.8,29459,185,22,1
旭辉城,3室1厅, 90.2,29934,270,4,3
旭辉城,3室2厅, 106,28114,298,2,2
宝虹家园,3室2厅, 99.32,26179,260,8,1
旭辉澜悦湾,3室2厅, 85.86,30282,260,19,3
旭辉城,2室1厅, 70.87,32454,230,11,5
旭辉澜悦湾,2室1厅, 87,32759,285,4,0
旭辉城,3室2厅, 91.73,29435,270,2,0
旭辉澜悦湾,3室2厅, 90,32000,288,0,0
北郊一号,3室2厅, 111,31532,350,3,0
旭辉澜悦湾,3室2厅, 96.36,30096,290,30,0
北郊一号,2室2厅, 88,35228,310,5,0
宝虹家园,3室2厅, 99.84,23037,230,1,0
旭辉城,3室2厅, 106.01,31130,330,6,0
宝悦家苑,3室2厅, 120,23334,280,19,0
旭辉城,3室2厅, 106,29246,310,3,0
旭辉澜悦湾,3室2厅, 127,29922,380,5,1
北郊一号,2室1厅, 78.35,31909,250,1,3
宝悦家苑,2室2厅, 84.63,25996,220,9,6
旭辉澜悦湾,3室2厅, 100.42,28381,285,28,3
美兰金色宝邸,1室2厅, 66.33,28645,190,3,0
旭辉澜悦湾,3室2厅, 86,30233,260,1,0
旭辉城,2室1厅, 73.52,29244,215,0,0
宝虹家园,3室2厅, 99.32,25172,250,3,0
宝虹家园,2室1厅, 65,27693,180,3,1
