CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
通河六村,2室1厅, 52.34,44899,235,24,27
通河四村,2室1厅, 65.46,50107,328,34,20
通河六村,1室0厅, 31.64,51518,163,106,13
通河二村,2室1厅, 58.6,47441,278,26,5
通河六村,2室1厅, 70,49286,345,18,8
通河二村,2室1厅, 61.29,49438,303,40,10
通河八村,2室2厅, 89.28,48164,430,30,8
通河四村,2室1厅, 40.55,47596,193,106,13
好家园,3室2厅, 120.45,64758,780,50,12
通河八村,2室1厅, 67.91,45355,308,24,11
通河四村,2室1厅, 54,45371,245,11,3
通河八村,2室1厅, 67.91,47122,320,42,5
通河八村,2室1厅, 53.67,52171,280,53,6
通河四村,2室1厅, 67.7,42837,290,59,3
昌鑫家园,3室2厅, 127.52,49405,630,33,1
昌鑫协和园,4室2厅, 145.15,48089,698,10,1
锦辉绿园,3室2厅, 128.67,55569,715,23,4
通河八村,2室2厅, 76.98,51313,395,1,0
通河六村,1室1厅, 35.9,54318,195,5,2
通河二村,1室1厅, 39.41,50242,198,16,3
通河二村,1室1厅, 42.59,42264,180,53,22
通河八村,2室1厅, 41.57,46188,192,176,21
通河二村,1室1厅, 39.1,49873,195,23,26
通河四村,2室1厅, 54.77,47289,259,48,30
通河六村,2室1厅, 50.63,50761,257,30,15
通河六村,2室2厅, 70.27,49808,350,5,14
通河四村,1室1厅, 42.84,47853,205,7,24
通河四村,1室1厅, 40.63,52917,215,61,16
通河四村,2室1厅, 52.98,53983,286,30,10
昌鑫协和园,2室2厅, 92.53,56198,520,14,16
通河八村,1室0厅, 29.62,55706,165,69,62
通河八村,2室1厅, 54.21,44826,243,66,8
通河八村,2室1厅, 62.05,41902,260,54,5
通河四村,1室1厅, 44,48864,215,37,3
通河八村,1室1厅, 46.93,54976,258,3,2
通河六村,1室1厅, 45.46,47295,215,3,1
通河七村,1室1厅, 52.01,44992,234,32,2
通河二村,1室1厅, 42.5,49412,210,12,1
通河二村,1室1厅, 44.87,47471,213,4,1
通河二村,1室1厅, 45.09,49901,225,24,0
昌鑫世纪园,4室2厅, 163.28,50221,820,1,0
昌鑫家园,5室2厅, 176.72,41309,730,42,3
