CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
泰和新城,2室1厅, 78.94,32304,255,148,45
菊泉新城(菊泉街39弄),2室2厅, 74.45,42311,315,14,23
绿洲花园,2室2厅, 94.5,37672,356,19,42
保利叶上海(一期),3室2厅, 89.62,52444,470,20,29
文宝苑,2室2厅, 76.19,48563,370,157,94
保利叶语(一期)(公寓),4室2厅, 125,59600,745,38,57
菊泉新城(菊盛路50弄),2室2厅, 82.22,35272,290,381,63
泰和新城,1室1厅, 43.04,38337,165,51,28
菊泉新城(菊盛路50弄),2室2厅, 79.17,41051,325,50,26
文宝苑,2室2厅, 76.23,47226,360,64,36
泰和新城,1室1厅, 51.55,40738,210,27,22
馨佳园(韶山路418弄),3室2厅, 105.63,39383,416,39,22
采菊苑,2室1厅, 76.2,47245,360,33,33
东方帕堤欧,2室2厅, 74.76,47486,355,18,28
采菊苑,1室1厅, 59.38,45302,269,49,30
馨佳园(菊泉街1346弄),2室1厅, 75.78,40249,305,63,52
绿洲花园,2室2厅, 93.5,40107,375,21,32
馨佳园(菊盛路851弄),2室2厅, 74.4,45027,335,8,19
古北菊翔苑(菊联路233弄),2室1厅, 74.91,38447,288,189,37
保利叶上海(一期),2室2厅, 80,48750,390,49,22
古北菊翔苑(菊联路232弄),2室2厅, 73.98,45959,340,49,21
好日子大家园A区,3室2厅, 76.18,49882,380,30,14
成亿宝盛家苑,2室2厅, 96.68,39305,380,14,13
古北菊翔苑(菊联路233弄),2室1厅, 73.14,44436,325,30,16
泰和新城,2室1厅, 57.84,35443,205,39,10
丰水宝邸(东苑),2室2厅, 70.22,39448,277,54,12
古北菊翔苑(菊联路232弄),2室2厅, 74.13,44517,330,8,2
古北菊翔苑(菊联路233弄),3室2厅, 93.3,41265,385,39,6
菊泉新城(陆翔路358弄),1室1厅, 54.51,48615,265,70,2
好日子大家园C区,2室2厅, 76.06,42730,325,15,8
世纪非凡怡园,3室2厅, 89.77,45673,410,12,2
保利叶上海(三期),3室2厅, 83.96,50024,420,41,11
盛宅新村,2室1厅, 53.36,46852,250,23,9
绿洲花园,2室2厅, 94.25,39788,375,8,10
新顾村大家园A区,4室2厅, 75.76,50819,385,32,10
丰水宝邸(西苑),2室2厅, 98.11,33636,330,21,4
泰和新城,2室1厅, 71.58,33250,238,18,4
新天地荻泾花园,3室2厅, 123.48,44947,555,6,6
世纪非凡怡园,3室2厅, 77.44,48425,375,27,12
新天地荻泾花园,2室2厅, 90.22,42674,385,22,13
保利叶上海(一期),2室2厅, 82,48171,395,12,5
成亿宝盛家苑,3室2厅, 122.41,39213,480,4,8
