CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
三花现代城,2室2厅, 87.51,59994,525,40,27
逸仙二村,3室1厅, 85.6,44393,380,44,27
馨良苑,2室2厅, 82.49,58189,480,56,55
四季绿城,2室2厅, 90.24,56516,510,58,27
高境一村,2室1厅, 65.65,50267,330,34,29
吉浦路615弄,2室1厅, 58.45,49616,290,90,34
吉浦路615弄,1室1厅, 48.52,51526,250,10,27
高境一村,1室1厅, 42.54,48190,205,63,39
嘉骏花苑,2室1厅, 54.6,62272,340,34,14
嘉骏花苑,2室2厅, 87.66,50080,439,94,49
美岸栖庭(公寓),2室2厅, 97.63,60945,595,43,52
馨良苑,2室2厅, 82.61,52658,435,60,26
三花现代城,2室2厅, 94.7,61247,580,18,18
美岸栖庭(公寓),2室2厅, 95.08,65209,620,30,17
殷高小区,2室1厅, 62.54,49569,310,28,15
嘉骏花苑,3室2厅, 68.54,60549,415,85,17
美岸栖庭(公寓),3室2厅, 132.12,65093,860,18,19
三花现代城,1室1厅, 58.73,64022,376,25,10
高境一村,1室1厅, 42.54,46545,198,61,14
美岸栖庭(公寓),2室2厅, 97.24,63246,615,31,9
美岸栖庭(公寓),2室2厅, 97.39,64689,630,22,21
三门路489弄,2室1厅, 54.91,44619,245,36,1
高境一村,2室1厅, 73.8,50136,370,17,11
美岸栖庭(公寓),2室2厅, 73.68,64468,475,46,12
三花现代城,2室1厅, 88.83,61917,550,30,11
嘉骏花苑,2室2厅, 80.9,51916,420,33,3
嘉骏花苑,3室2厅, 103.82,53940,560,13,7
美岸栖庭(公寓),3室2厅, 113.75,63737,725,29,9
高境一村,2室1厅, 65,51693,336,12,6
四季绿城,3室2厅, 119.39,54695,653,29,13
三花现代城,1室1厅, 56.19,69052,388,13,11
高境二村,1室1厅, 57.77,50200,290,10,7
四季绿城,2室2厅, 101.41,56208,570,9,8
嘉骏花苑,2室2厅, 80.83,53199,430,41,13
三花现代城,3室2厅, 117.92,62755,740,12,10
逸仙一村,2室1厅, 57.16,52135,298,18,11
四季绿城,2室2厅, 87.27,56950,497,32,2
三花现代城,2室2厅, 100.52,59690,600,6,2
高境一村,1室1厅, 45.54,52701,240,20,3
象屿郦庭,3室2厅, 90.55,64054,580,36,7
高境一村,1室1厅, 41.41,50230,208,25,7
三花现代城,1室1厅, 55.6,71763,399,4,6
美岸栖庭(公寓),2室2厅, 95.72,63728,610,32,4
高境二村,2室1厅, 73.68,51575,380,15,4
殷高小区,2室1厅, 82.74,48345,400,34,4
嘉骏花苑,3室2厅, 102.76,50896,523,12,3
馨良苑,2室1厅, 75.37,55726,420,27,4
高境二村,2室1厅, 68.43,50417,345,12,3
逸仙二村,2室1厅, 56.98,54406,310,44,5
久千公寓,2室1厅, 70,50000,350,0,0
四季绿城,2室2厅, 88.52,59874,530,43,3
三花现代城,2室2厅, 104.78,61081,640,13,1
四季绿城,2室2厅, 87.44,57754,505,10,2
吉浦路615弄,2室1厅, 55.14,54407,300,27,4
逸仙二村,2室1厅, 64.73,45883,297,32,4
三门路485弄,3室2厅, 119.98,52509,630,8,1
殷高路149弄,2室2厅, 89.01,52804,470,26,1
美岸栖庭(公寓),2室2厅, 73.89,64285,475,77,2
高境二村,2室1厅, 80.5,50932,410,8,1
三门路485弄,3室2厅, 119.98,52509,630,8,1
逸仙路1321弄,1室1厅, 52.88,47277,250,5,3
高境一村,1室1厅, 47.37,49610,235,16,3
吉浦路615弄,1室1厅, 50.19,43834,220,27,0
馨良苑,2室2厅, 89.13,56098,500,8,0
四季绿城,2室2厅, 91.3,55313,505,44,0
三花现代城,2室2厅, 88.58,65478,580,27,84
四季绿城,2室2厅, 87.72,55632,488,2,0
吉浦路615弄,1室1厅, 44,52273,230,8,2
三花现代城,2室2厅, 87.79,67776,595,19,7
美岸栖庭(公寓),3室2厅, 113.11,64097,725,35,47
三花现代城,2室2厅, 91.35,63493,580,19,44
三花现代城,2室2厅, 89.89,66526,598,53,73
四季绿城,2室2厅, 88.8,59122,525,18,71
高境二村,1室1厅, 50.56,52413,265,14,58
三花现代城,2室2厅, 88.06,59051,520,88,30
四季绿城,1室2厅, 60.13,66523,400,76,24
三花现代城,2室2厅, 88.3,60589,535,37,32
象屿郦庭,4室2厅, 123.44,63189,780,2,0
四季绿城,2室2厅, 87.33,59545,520,8,24
四季绿城,2室2厅, 90.02,58321,525,41,38
高境一村,1室1厅, 42.54,49836,212,56,25
四季绿城,2室2厅, 89.95,55031,495,29,14
恒盛豪庭,2室2厅, 85.72,55997,480,31,13
象屿郦庭,2室2厅, 81.01,62338,505,6,9
三花现代城,2室2厅, 106.99,62249,666,10,13
泰禾红御,4室2厅, 128.5,69261,890,23,11
幸之苑,3室2厅, 110.42,54338,600,137,18
高境一村,2室1厅, 68.91,45712,315,32,20
馨良苑,2室2厅, 82.43,55199,455,40,21
高境一村,2室1厅, 68.9,50073,345,21,13
美岸栖庭(公寓),1室1厅, 46.61,62219,290,191,13
三花现代城,3室2厅, 119.39,61145,730,28,10
三花现代城,1室1厅, 54.9,70128,385,13,6
三花现代城,2室2厅, 88.06,55644,490,94,8
殷高路40弄,2室1厅, 56.81,50168,285,5,3
吉浦路615弄,2室2厅, 74.24,45798,340,40,18
殷高小区,2室1厅, 60.92,52528,320,21,10
逸仙二村,2室1厅, 60.19,49843,300,40,15
三花现代城,2室2厅, 88.82,61923,550,8,11
逸仙二村,2室1厅, 64.73,49437,320,19,14
四季绿城,2室2厅, 90.92,56974,518,41,11
三花现代城,2室2厅, 88.42,65370,578,31,14
三花现代城,2室2厅, 96.39,59965,578,9,7
三花现代城,2室2厅, 104.78,62512,655,32,7
四季绿城,2室2厅, 87.33,58972,515,2,5
四季绿城,2室2厅, 88.74,57472,510,23,7
三门路485弄,2室2厅, 87.17,47035,410,55,9
象屿郦庭,2室2厅, 78.18,61397,480,30,6
嘉骏花苑,2室2厅, 81.2,52956,430,42,8
高境二村,1室1厅, 42.54,50541,215,16,7
高境一村,2室1厅, 68.9,48622,335,17,4
幸之苑,4室3厅, 96,65625,630,37,10
吉浦路615弄,2室1厅, 55.52,47731,265,17,6
三花现代城,3室2厅, 128.67,67227,865,12,8
馨良苑,2室1厅, 82.02,58523,480,16,2
三花现代城,2室2厅, 88.06,61322,540,39,4
三花现代城,1室1厅, 58.05,68734,399,17,1
殷高路150弄,1室0厅, 32.67,55097,180,12,7
嘉骏花苑,3室2厅, 124.99,48804,610,4,4
吉浦路615弄,1室1厅, 36.8,48914,180,27,0
三花现代城,1室1厅, 55.6,66547,370,0,0
高境二村,1室1厅, 50.25,51742,260,31,0
杰圣家苑,2室2厅, 100.26,61840,620,9,0
三花现代城,1室1厅, 61.07,68774,420,7,0
美岸栖庭(公寓),2室2厅, 97.63,58384,570,37,4
高境欣苑,4室2厅, 136.54,54197,740,22,1
美岸栖庭(公寓),1室1厅, 45.67,60215,275,97,79
嘉骏花苑,2室1厅, 67.5,59260,400,4,3
美岸栖庭(公寓),2室2厅, 96.48,60117,580,7,1
高境一村,2室1厅, 74.52,50994,380,2,1
殷高小区,2室1厅, 48.3,46584,225,1,1
三花现代城,2室2厅, 94.43,66717,630,34,57
国权北路413弄,3室2厅, 96.47,51830,500,32,1
