CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
漕溪四村,3室1厅, 73.74,80011,590,96,31
龙吴路9弄,1室0厅, 33.82,75400,255,74,35
住友公寓,3室2厅, 110.77,70417,780,6,3
漕溪四村,2室1厅, 42.81,71246,305,56,31
龙山新村,2室1厅, 53.71,71682,385,8,12
漕溪四村,1室0厅, 35.48,78918,280,54,27
兆嘉园,2室2厅, 88.43,79159,700,108,8
天钥新村,1室1厅, 43.41,71873,312,51,15
凯翔小区,3室1厅, 81.9,76924,630,9,12
零陵路640号,1室1厅, 39.17,73526,288,61,11
金海大厦,2室2厅, 85.48,70192,600,17,7
漕溪四村,2室1厅, 57.58,78153,450,44,11
住友公寓,2室1厅, 88.71,67637,600,46,7
铭源大楼,2室2厅, 122,69673,850,25,2
金谷园,2室1厅, 72.88,75467,550,38,2
漕溪二村,2室2厅, 95.63,67971,650,52,1
精文公寓,3室2厅, 125.12,67935,850,46,3
科汇景苑,3室2厅, 139.93,75753,1060,103,4
漕溪四村,3室1厅, 73.74,77977,575,14,1
龙山新村,3室2厅, 97.58,74606,728,4,1
龙山新村,2室0厅, 48.32,68295,330,40,2
澳龙公寓,2室2厅, 102.97,80121,825,187,1
兆嘉园,2室1厅, 82.91,72368,600,32,0
龙山小区,2室1厅, 78.02,74340,580,14,0
龙山新村,3室1厅, 120.24,64871,780,16,0
华富小区,1室1厅, 48,72917,350,138,0
中山南二路960弄,1室1厅, 46.32,73403,340,9,0
龙山新村,2室0厅, 47.84,64800,310,30,16
住友公寓,3室1厅, 100.67,69535,700,73,80
龙山新村,2室0厅, 49.83,61209,305,16,0
漕溪四村,1室1厅, 35.22,78649,277,21,3
龙山公寓,3室2厅, 133,63158,840,52,36
天钥新村,2室1厅, 47.96,76106,365,35,28
龙吴路13弄,1室1厅, 39.59,71988,285,96,34
龙山新村,1室0厅, 32.6,70553,230,22,43
住友公寓,3室2厅, 102.04,56841,580,236,23
龙山新村,2室0厅, 51.92,67412,350,36,69
明佳苑,3室1厅, 106.32,73834,785,45,22
佳信徐汇公寓,2室2厅, 93.31,67517,630,60,23
龙山新村,2室1厅, 53.71,70751,380,20,17
