CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金牛苑,3室2厅, 103.47,57022,590,108,4
汇成五村,2室1厅, 52.8,61554,325,17,13
金牛苑,2室2厅, 74.51,61737,460,54,11
东荡小区,2室1厅, 60.74,64209,390,5,11
华东花苑,2室1厅, 71,59860,425,9,12
汇成五村,2室1厅, 60.7,68370,415,3,0
金牛苑,2室1厅, 62.45,62450,390,22,6
汇成四村,2室0厅, 56.17,57861,325,41,9
罗城小区,2室1厅, 69.16,58994,408,32,6
光华园,2室1厅, 66.25,87548,580,8,6
汇成五村,1室1厅, 38.5,74026,285,2,7
汇成五村,1室1厅, 39.4,73605,290,7,7
汇成一村,2室1厅, 59.1,57530,340,5,7
华东花苑,2室1厅, 75.14,55896,420,134,4
楼园小区,1室1厅, 52.15,64238,335,8,5
汇成一村,2室1厅, 60.7,60956,370,0,3
金牛苑,2室2厅, 82.96,67503,560,55,8
汇成一村,2室0厅, 52,58654,305,3,3
汇成一村,2室1厅, 56.7,65256,370,7,1
麦克花园(公寓),3室2厅, 116.67,66856,780,100,1
楼园小区,2室1厅, 75.36,61704,465,13,1
麦克花园(公寓),1室1厅, 55.24,68791,380,22,1
麦克花园(公寓),4室2厅, 162.28,62855,1020,21,1
光华苑北区,2室2厅, 101.77,86470,880,7,4
汇成五村,1室0厅, 33.5,78209,262,3,2
汇成三村,2室0厅, 53.5,64486,345,6,2
楼园小区,1室1厅, 52,67308,350,0,0
园南一村,3室1厅, 77.8,69152,538,8,0
老沪闵路709弄,1室1厅, 49.63,60448,300,52,0
园南一村,3室1厅, 77.8,69152,538,8,0
楼园小区,1室1厅, 48.38,64490,312,4,0
华东花苑,2室1厅, 75.14,59889,450,220,55
汇成一村,2室1厅, 63.1,57053,360,19,26
光华园,2室1厅, 74.62,76388,570,42,27
金牛苑,1室1厅, 38.56,68725,265,30,23
汇成一村,2室1厅, 53.5,57944,310,12,20
华东花苑,2室1厅, 71.4,53222,380,149,22
汇成三村,2室1厅, 59.3,60709,360,24,18
汇成二村,1室0厅, 33.3,60661,202,5,6
汇成五村,2室0厅, 59.1,65990,390,6,6
金牛苑,2室1厅, 69.09,62962,435,6,15
楼园小区,1室1厅, 54.72,59394,325,6,19
光华园,2室1厅, 58.03,82716,480,33,19
东荡小区,2室1厅, 61.14,57246,350,69,12
光华园,3室2厅, 98,79592,780,22,9
楼园小区,2室1厅, 70.34,62127,437,20,16
华东花苑,2室1厅, 75.14,61220,460,16,12
罗城小区,3室1厅, 73.2,62842,460,30,9
上海中学住宅区,2室1厅, 44,93182,410,21,11
汇成五村,1室0厅, 35.6,74439,265,2,0
光华园,2室1厅, 60.17,84760,510,6,9
汇成一村,2室1厅, 63.1,55468,350,10,5
东荡小区,2室1厅, 71.12,60462,430,8,13
幽澜苑,2室2厅, 105.8,74953,793,6,9
楼园小区,3室1厅, 89.36,66137,591,12,7
汇成四村,2室1厅, 67.7,57608,390,4,7
东荡小区,3室1厅, 86.87,57558,500,23,2
金牛苑,2室1厅, 67.92,63310,430,73,8
罗城小区,1室1厅, 50.61,61253,310,8,4
华东花苑,2室2厅, 84.46,67488,570,32,6
罗城小区,1室1厅, 50.61,61253,310,8,4
楼园小区,2室1厅, 72.85,58889,429,19,4
光华园,2室1厅, 59.6,87249,520,0,2
金牛苑,2室1厅, 67.92,60366,410,11,5
华东花苑,2室1厅, 72.58,57868,420,19,1
华东花苑,3室2厅, 103.21,51837,535,480,6
金牛苑,2室1厅, 74.35,63215,470,12,4
