CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
凌云新村,2室1厅, 61.7,55106,340,174,21
梅陇十村,2室1厅, 60.58,52823,320,50,22
梅陇五村,2室1厅, 71.38,60241,430,14,7
梅陇九村,1室1厅, 44.83,49075,220,80,7
金塘小区,1室1厅, 49.86,57762,288,107,8
梅陇三村,1室1厅, 42.5,61177,260,10,5
梅陇五村,2室1厅, 66.46,60187,400,14,11
梅陇六村,1室1厅, 43.41,59895,260,4,4
陇南小区,1室1厅, 50.7,48324,245,9,1
金塘小区,2室1厅, 64.75,57916,375,9,5
金塘小区,2室1厅, 49.5,61819,306,36,6
虹梅南路96弄,1室1厅, 49.48,58610,290,69,6
梅陇十一村,2室1厅, 51.59,58733,303,19,6
梅陇六村,2室0厅, 54.58,54599,298,31,8
陇南小区,1室1厅, 47.64,53527,255,11,10
梅陇十一村,3室0厅, 67.24,56514,380,8,4
华理苑,2室2厅, 91.02,56032,510,16,6
龙州小区,3室1厅, 86.34,52699,455,21,3
梅苑,2室1厅, 58.65,58824,345,20,5
梅陇七村,2室1厅, 66.7,56972,380,11,4
梅陇三村,1室1厅, 40,60000,240,9,1
阳光绿园,3室2厅, 131.05,82412,1080,10,3
梅陇五村,2室1厅, 72.38,58718,425,24,6
梅陇三村,1室1厅, 44.1,60091,265,9,1
春华苑,2室2厅, 83.11,57755,480,12,3
凌云新村,2室1厅, 61.7,58347,360,155,4
梅陇五村,2室1厅, 57,59650,340,11,5
阳光绿园,3室2厅, 131.05,74781,980,11,5
陇南小区,2室1厅, 69.08,47771,330,12,1
和平小区(徐汇),2室1厅, 67.31,57941,390,33,1
森陇家园,3室2厅, 126.73,67861,860,74,1
阳光绿园,2室2厅, 91.8,77343,710,27,4
梅陇六村,2室1厅, 66.07,55245,365,8,1
阳光绿园,2室2厅, 98.52,79172,780,15,1
舒乐小区,2室1厅, 83.85,56649,475,2,2
龙州小区,1室1厅, 54.92,54625,300,14,1
凌云新村,3室1厅, 82.21,58388,480,22,1
金塘小区,3室1厅, 81.01,56166,455,24,3
和平小区(徐汇),2室1厅, 75,60667,455,9,2
