CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
华建一街坊,2室1厅, 53.91,50084,270,20,7
中海瀛台,5室2厅, 166.51,90085,1500,26,21
东湾小区,1室1厅, 49.35,48633,240,19,7
名人花苑,2室1厅, 76.54,47035,360,18,3
东湾小区,1室1厅, 43,51163,220,4,4
华发小区,3室1厅, 88.89,49500,440,26,4
华欣家园,2室1厅, 54.61,53104,290,19,2
名人花苑,2室1厅, 69.77,45865,320,37,1
光华绿苑,2室2厅, 72.02,50681,365,66,3
名人花苑,2室1厅, 76.54,49648,380,5,2
徐汇华园,3室2厅, 109,62386,680,5,1
臻园(公寓)(徐汇),5室3厅, 186.85,67434,1260,31,3
紫阳花苑,2室1厅, 59.16,46992,278,13,1
紫阳花苑,1室1厅, 43.9,46698,205,17,4
东湾小区,2室2厅, 79.33,47902,380,26,3
中海瀛台,3室2厅, 150.25,84526,1270,14,1
华发小区,2室1厅, 61,50820,310,45,0
光华绿苑,2室1厅, 67.39,49414,333,79,0
光华绿苑,4室2厅, 145.19,47524,690,16,0
华泾五村,2室1厅, 62.32,47337,295,19,0
华泾五村,2室1厅, 63.48,50410,320,6,0
紫阳花苑,2室1厅, 55.29,47930,265,121,0
华发小区,2室1厅, 61.13,51530,315,17,0
名人花苑,6室3厅, 156,47116,735,14,0
紫阳花苑,2室1厅, 64.46,46541,300,38,28
盛华景苑,2室2厅, 89.73,53494,480,56,46
华发小区,2室1厅, 58.66,48927,287,23,17
印象欧洲(公寓),3室2厅, 93,67742,630,23,17
名人花苑,1室1厅, 47.21,49778,235,55,4
华泾四村,2室1厅, 66,43940,290,26,7
光华绿苑,2室2厅, 72.02,49987,360,26,15
中海瀛台,2室2厅, 88.52,100543,890,12,12
臻园(公寓)(徐汇),3室2厅, 112.28,63948,718,82,14
徐汇华园,2室2厅, 82.4,63714,525,17,6
华发小区,3室1厅, 101.72,49155,500,33,11
盛华景苑,3室2厅, 126.92,50426,640,102,7
盛华景苑,2室2厅, 88.35,44143,390,79,8
中海瀛台,2室2厅, 105.06,85666,900,31,9
紫阳花苑,2室1厅, 55.29,46121,255,23,8
盛华景苑,3室2厅, 133.88,50792,680,29,4
徐汇新干线,2室2厅, 87,63219,550,38,2
馨宁公寓,2室1厅, 62.4,60898,380,12,1
华发小区,1室1厅, 48.5,51547,250,10,1
中海瀛台,3室2厅, 119.71,90219,1080,111,5
华欣家园,2室1厅, 62.2,53055,330,10,2
馨宁公寓,2室1厅, 62.4,60898,380,60,7
盛华景苑,2室2厅, 85,46471,395,46,4
徐汇新干线,1室1厅, 56.27,59535,335,11,4
华发小区,2室1厅, 60.53,52867,320,10,8
华发小区,2室2厅, 84.82,50696,430,27,2
华发小区,2室2厅, 85.23,49279,420,58,2
盛华景苑,2室1厅, 80.74,48304,390,63,2
中海瀛台,2室2厅, 105.38,85406,900,49,4
华建二街坊,2室1厅, 63,56350,355,14,1
东湾小区,3室1厅, 82.04,51195,420,25,1
名人花苑,1室1厅, 47.21,50414,238,17,1
华发小区,1室1厅, 44.16,50952,225,24,1
华泾五村,2室1厅, 67.63,49535,335,25,1
东湾小区,2室1厅, 57,50527,288,17,1
东湾小区,2室1厅, 57,50527,288,17,1
华泾五村,2室1厅, 67.63,49535,335,25,1
华泾四村,1室1厅, 53.45,48644,260,21,0
华发小区,2室1厅, 62.26,48186,300,18,0
东湾小区,2室1厅, 57.41,49643,285,1,0
东湾小区,2室1厅, 56.16,49502,278,28,0
紫阳花苑,2室1厅, 66.18,42309,280,39,0
华泾五村,1室1厅, 49.35,48227,238,12,0
盛华景苑,2室2厅, 88.62,52472,465,37,0
徐汇华园,2室2厅, 82.4,63107,520,18,0
华泾五村,1室1厅, 48.37,49618,240,15,0
紫阳花苑,2室1厅, 59.2,47298,280,14,0
华泾五村,1室1厅, 48.65,45221,220,18,0
光华绿苑,3室1厅, 114.48,48044,550,68,0
东湾小区,1室0厅, 40.78,46592,190,50,2
东湾小区,1室1厅, 43.98,46613,205,10,3
臻园(公寓)(徐汇),2室2厅, 108.72,71744,780,0,0
光华绿苑,4室2厅, 130.17,47631,620,3,0
华泾四村,2室1厅, 68.05,44086,300,13,30
华发小区,2室1厅, 61.13,52348,320,53,47
华欣家园,2室1厅, 62.4,49680,310,75,19
盛华景苑,2室2厅, 89.73,50708,455,2,0
臻园(公寓)(徐汇),3室2厅, 139.88,67916,950,3,2
东湾小区,1室1厅, 49.03,46911,230,2,0
盛华景苑,2室1厅, 82.25,48633,400,54,46
华发小区,2室1厅, 64.62,49521,320,40,39
徐汇新干线,2室2厅, 84.97,61199,520,1,0
东湾小区,1室1厅, 44,47728,210,8,1
盛华景苑,3室2厅, 126.92,52002,660,31,22
馨宁公寓,2室1厅, 62.4,60898,380,27,13
馨宁公寓,2室1厅, 62.4,60898,380,27,13
东湾小区,1室1厅, 43.98,41383,182,73,13
紫阳花苑,2室1厅, 87.2,42776,373,10,1
华欣家园,1室1厅, 44.05,54030,238,47,15
沙家浜小区,1室1厅, 43,53489,230,1,0
馨宁公寓,2室1厅, 62.44,57656,360,29,12
紫阳花苑,1室1厅, 41,50000,205,12,8
东湾小区,2室2厅, 82.71,43526,360,97,9
紫阳花苑,2室1厅, 59,44068,260,10,9
华发小区,2室2厅, 63.56,48773,310,7,7
华泾五村,2室1厅, 65.45,46601,305,14,7
东湾小区,1室1厅, 41.9,44153,185,89,21
馨宁公寓,3室1厅, 101,61387,620,9,6
光华绿苑,2室1厅, 64.25,50584,325,10,3
徐汇新干线,2室2厅, 91.62,61123,560,15,12
华泾四村,2室1厅, 68.7,42213,290,38,14
馨宁公寓,3室1厅, 101.28,64673,655,1,1
中海瀛台,4室2厅, 216.35,87359,1890,14,1
紫阳花苑,2室1厅, 59.16,47330,280,9,0
紫阳花苑,2室1厅, 59.24,47266,280,0,0
