CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
梓树园,2室2厅, 111.29,70986,790,51,59
康健路120弄,2室1厅, 55.87,79650,445,25,50
徐汇公寓,3室2厅, 122.89,69982,860,35,29
寿昌坊,2室1厅, 50.78,61048,310,87,24
紫薇园,2室1厅, 58,74138,430,13,20
钦州路111弄,1室1厅, 49.92,90145,450,1,0
长丰坊,2室1厅, 64.3,66875,430,35,5
徐汇公寓,2室2厅, 95,71579,680,54,7
樱花园(徐汇),2室1厅, 57.89,66506,385,126,16
康强坊,2室1厅, 56.7,70195,398,14,18
寿德坊,1室1厅, 41.4,66426,275,14,4
梓树园,3室2厅, 157.59,76147,1200,5,2
中海馨园,3室2厅, 133.4,80960,1080,61,24
梓树园,2室2厅, 101.6,77756,790,26,22
中海馨园,2室2厅, 96.8,87810,850,231,12
薛家宅小区,3室1厅, 65.51,74798,490,14,9
康沁苑,3室2厅, 135,81482,1100,16,15
寿祥坊,2室1厅, 57.92,67335,390,9,8
杜鹃园,2室1厅, 64,72657,465,24,10
紫荆园,3室2厅, 110.86,83890,930,27,8
康兴花园,4室2厅, 161.48,82859,1338,26,7
康健路1号,2室1厅, 50.13,72811,365,10,10
康健路120弄,2室1厅, 57.33,65411,375,22,9
薛家宅小区,3室2厅, 109.65,79161,868,9,7
圣骊家园,3室2厅, 131.69,63027,830,107,6
紫薇园,3室1厅, 109.72,69997,768,91,7
欣园新邨,3室1厅, 76.69,71718,550,10,5
花苑村丁香园,1室1厅, 45,67778,305,6,5
薛家宅小区,3室2厅, 95.58,80038,765,13,5
薛家宅小区,3室2厅, 95.58,80038,765,13,5
海上名邸,1室1厅, 65,113847,740,23,3
桂梅别墅(公寓),3室2厅, 141.49,62902,890,10,1
花苑村丁香园,1室1厅, 45,67778,305,6,5
寿祥坊,2室1厅, 52.64,69909,368,18,3
长海坊,2室1厅, 54.86,72913,400,8,4
康兴花园,3室2厅, 112.03,107115,1200,1,2
月季园(徐汇),2室1厅, 88.39,57699,510,22,0
寿祥坊,2室1厅, 55.1,65336,360,45,1
金桂苑(徐汇),3室2厅, 155.16,56716,880,100,3
漕泾一村,2室1厅, 58.88,72861,429,4,1
长兴坊,1室1厅, 46.46,68446,318,69,4
寿益坊,2室1厅, 66.18,98217,650,13,2
寿祥坊,2室1厅, 61.24,62051,380,32,2
长顺坊,1室1厅, 59.45,79900,475,9,1
桂平小区,3室1厅, 94.89,65339,620,38,3
圣骊家园,2室2厅, 118.84,69842,830,20,1
桂平小区,2室1厅, 75.43,64299,485,34,1
紫薇园,2室1厅, 85.14,68124,580,6,1
寿益坊,1室1厅, 51.78,73388,380,8,1
梅花园,4室2厅, 156.2,54418,850,13,0
花苑村紫竹园,1室1厅, 42.08,76046,320,10,0
长兴坊,2室1厅, 58.1,67987,395,32,0
桂平小区,2室1厅, 75.31,69048,520,33,0
万象园,2室1厅, 76.08,72293,550,13,0
花苑村玉兰园,2室1厅, 63.2,60127,380,7,0
金桂苑(徐汇),3室2厅, 126.66,64741,820,8,0
钦州路111弄,2室1厅, 77.44,67149,520,51,0
桂莘小区,1室1厅, 43.08,71960,310,14,0
康乐小区(徐汇),1室0厅, 38.03,69682,265,10,0
桂莘小区,1室1厅, 43.08,71960,310,14,0
花苑村桂花园,2室1厅, 60.9,60756,370,37,16
康馨家园,3室2厅, 131.55,83619,1100,10,28
寿祥坊,2室1厅, 55.38,66812,370,10,60
中海馨园,3室2厅, 145.18,88167,1280,35,67
寿昌坊,2室1厅, 53.58,53192,285,15,1
康沁苑,2室2厅, 118.16,88863,1050,10,30
上海师大新村,3室0厅, 61.65,75913,468,57,43
健安坊,2室1厅, 64,71875,460,36,25
长丰坊,2室1厅, 54.74,67593,370,63,62
科苑新村,2室1厅, 74.15,75523,560,73,34
寿山坊,1室1厅, 40.49,69153,280,13,19
长顺坊,1室1厅, 59,78814,465,2,19
长海坊,1室1厅, 44.84,75826,340,21,28
长虹坊,2室1厅, 69.5,74821,520,1,18
寿德坊,1室1厅, 45.2,69691,315,4,10
梓树园,3室2厅, 157.59,73165,1153,10,6
长海坊,1室1厅, 45.83,75279,345,27,18
漕河景苑,3室2厅, 131.23,96777,1270,15,15
花苑村桂花园,2室1厅, 61.52,58518,360,20,19
长丰坊,2室1厅, 53.58,68123,365,14,17
欣园新邨,2室1厅, 65.81,69899,460,3,1
寿山坊,2室1厅, 59.9,63440,380,16,5
万象园,3室1厅, 98.64,74818,738,16,5
薛家宅小区,1室0厅, 36,88334,318,13,21
花苑村梅花园,2室1厅, 62.55,55956,350,93,17
梓树园,2室2厅, 108.49,71897,780,26,24
长兴坊,1室1厅, 46.13,71537,330,14,9
樱花园(徐汇),1室1厅, 45.01,61098,275,38,6
花苑茶花园,2室1厅, 59.16,65078,385,66,11
樱花园(徐汇),2室1厅, 73.52,56448,415,99,6
康健公寓,2室2厅, 107.31,64300,690,17,1
花苑村丁香园,2室1厅, 57,66667,380,43,11
寿祥坊,2室1厅, 58,67587,392,25,11
薛家宅小区,2室1厅, 56,75893,425,67,15
花苑村丁香园,2室1厅, 55.82,68076,380,9,9
康乐小区(徐汇),1室0厅, 38.93,70640,275,12,11
桂平小区,2室1厅, 54.22,66397,360,17,12
上海师大新村,2室1厅, 77.67,66950,520,20,14
花苑村玉兰园,1室1厅, 38.82,64400,250,23,11
长丰坊,1室1厅, 48.88,68536,335,15,12
寿益坊,2室1厅, 62.36,72162,450,16,12
康惠苑,2室2厅, 118,87289,1030,13,15
万象园,2室2厅, 73.04,71194,520,138,10
花苑村玉兰园,1室1厅, 48.9,67485,330,9,7
樱花园(徐汇),2室1厅, 69.88,67974,475,39,4
寿祥坊,2室1厅, 55.1,62614,345,14,48
寿益坊,2室1厅, 70.81,69623,493,5,1
花苑茶花园,3室1厅, 77.4,67184,520,6,4
樱花园(徐汇),2室1厅, 62.48,64981,406,21,4
漕泾一村,2室1厅, 46.96,78791,370,8,26
康健路77弄,1室1厅, 32,87500,280,36,21
康健路100弄,1室0厅, 37.71,74251,280,20,14
百合花苑,3室2厅, 126,64683,815,4,6
长海坊,3室1厅, 84,69048,580,16,6
花苑村丁香园,2室1厅, 57,65088,371,17,10
花苑茶花园,1室1厅, 39.47,78541,310,11,14
康乐小区(徐汇),1室1厅, 36.21,73185,265,27,9
上海师大新村,2室1厅, 83.87,69751,585,66,9
长兴坊,3室1厅, 70.06,71082,498,22,8
花苑村梅花园,1室1厅, 44,65000,286,2,12
海上名门公寓,3室2厅, 140.51,87539,1230,60,11
漕河景苑,3室2厅, 130.56,113358,1480,22,5
紫藤苑,3室2厅, 141,85107,1200,4,1
紫藤苑,4室2厅, 141,95745,1350,4,4
长丰坊,2室1厅, 53.14,68499,364,14,5
康乐小区(徐汇),1室0厅, 36.22,75925,275,1,2
康宁坊,2室1厅, 58,68966,400,24,5
寿祥坊,3室1厅, 75.48,64521,487,85,4
圣骊家园,3室2厅, 131.69,66065,870,16,8
康健公寓,3室1厅, 107.31,61505,660,46,6
长海坊,2室1厅, 58.28,74640,435,19,2
长虹坊,2室1厅, 69.9,66524,465,18,5
漕泾一村,2室1厅, 67.89,68936,468,22,7
玫瑰园,双拼别墅, 5室,89612,2700,40,11
玫瑰园,独栋别墅, 6室,98893,3500,14,11
寿德坊,1室1厅, 49.3,64909,320,12,0
康健公寓,3室1厅, 108,67593,730,1,0
花苑村紫竹园,1室1厅, 42.95,73574,316,6,13
科苑新村,2室1厅, 49.61,72567,360,12,5
康健路100弄,2室0厅, 50.11,75834,380,11,2
康宁坊,2室1厅, 56.39,62068,350,10,1
海上名门公寓,2室2厅, 98.12,95802,940,36,3
花苑村玉兰园,2室1厅, 65.65,60930,400,7,1
桂莘小区,2室1厅, 71.47,69260,495,19,1
康健路120弄,2室1厅, 61.68,68905,425,8,2
长兴坊,2室1厅, 54.51,73382,400,6,1
海上华庭,2室2厅, 117.78,81508,960,13,4
花苑村玉兰园,2室1厅, 77.79,61705,480,11,2
钦州路111弄,2室1厅, 57.03,78906,450,3,3
海上华庭,2室2厅, 117.78,81508,960,13,4
梓树园,2室2厅, 101.6,76772,780,18,2
海上名门公寓,3室2厅, 135.91,110368,1500,43,1
杜鹃园,1室1厅, 42.93,76870,330,15,1
月季园(徐汇),2室1厅, 90.56,65151,590,32,3
桂莘小区,1室1厅, 43.08,81245,350,1,1
花苑村玉兰园,2室1厅, 77.79,61705,480,11,2
科苑新村,2室1厅, 49.61,72567,360,12,5
康健路100弄,2室0厅, 50.11,75834,380,11,2
健安坊,2室1厅, 75.3,71714,540,10,2
康健路100弄,2室1厅, 60.59,72620,440,35,2
钦州路111弄,2室1厅, 57.03,78906,450,3,3
万象园,2室2厅, 85.91,73333,630,64,1
花苑村紫竹园,2室1厅, 59.87,69317,415,11,2
寿德坊,2室1厅, 47.4,69621,330,11,3
金桂苑(徐汇),3室2厅, 126.66,63162,800,63,3
迎春园,3室2厅, 123,52846,650,22,2
紫荆园,4室2厅, 187.84,63885,1200,19,3
桂康小区,2室1厅, 47.81,79482,380,3,0
长丰坊,2室1厅, 59.94,70905,425,2,0
上海师大新村,2室0厅, 48.67,80132,390,10,0
寿益坊,2室1厅, 63.03,75361,475,16,0
金桂苑(徐汇),2室2厅, 88,73864,650,5,0
寿山坊,2室1厅, 65,64616,420,0,0
薛家宅小区,3室1厅, 95.58,80561,770,39,0
薛家宅小区,2室0厅, 45.33,89345,405,5,0
康强坊,2室1厅, 60.07,66589,400,28,0
月季园(徐汇),3室1厅, 85.36,53304,455,55,63
徐汇公寓,3室2厅, 139.34,64591,900,55,1
中海馨园,3室2厅, 122,94263,1150,14,9
南天公寓,6室2厅, 231.81,64709,1500,65,0
柳州路202号,2室0厅, 59.81,71895,430,18,0
光大会展中心,3室1厅, 270,46297,1250,21,0
花苑村玉兰园,2室1厅, 65.31,57878,378,10,0
紫荆园,3室2厅, 149.51,84945,1270,16,0
上海师大新村,1室1厅, 55.87,81440,455,7,2
科苑新村,1室1厅, 38.67,84045,325,20,12
长丰坊,1室1厅, 43.89,76328,335,8,12
康乐小区(徐汇),1室0厅, 38.64,68582,265,11,7
月季园(徐汇),2室2厅, 80.16,59881,480,67,30
长丰坊,1室1厅, 42.84,72363,310,8,37
花苑村紫竹园,1室1厅, 42.64,72233,308,7,3
康健路25弄,1室0厅, 33.8,88758,300,13,16
长丰坊,3室1厅, 73.46,76232,560,3,1
康州小区,2室1厅, 53.7,70764,380,44,1
康健路120弄,1室1厅, 33,93940,310,11,3
桂平路277弄,2室2厅, 118.43,65018,770,3,6
申圃花园,2室2厅, 105.91,80257,850,4,10
寿祥坊,2室1厅, 58.42,62479,365,37,26
花苑茶花园,1室1厅, 39.58,84639,335,4,2
杜鹃园,1室1厅, 42.24,78125,330,2,1
樱花园(徐汇),1室1厅, 41.93,64394,270,6,2
康健路43弄,2室1厅, 60.32,78747,475,5,35
康沁苑,3室2厅, 130.8,84098,1100,16,1
花苑村玉兰园,2室1厅, 57.72,61504,355,2,0
樱花园(徐汇),2室1厅, 56.01,60704,340,78,47
上海师大新村,3室1厅, 67,74627,500,10,1
冠生园路237弄,1室0厅, 34.52,79664,275,12,0
康健公寓,1室1厅, 58.55,74296,435,6,0
花苑村紫竹园,1室1厅, 43.54,73496,320,3,0
花苑村紫竹园,1室1厅, 43.54,73496,320,3,0
花苑村丁香园,1室1厅, 45.01,68874,310,4,0
长海坊,2室1厅, 61,75410,460,9,27
长兴坊,2室1厅, 47.4,78060,370,5,34
钦州路111弄,2室0厅, 55.41,69663,386,28,30
长兴坊,1室1厅, 45.47,74775,340,2,31
康宁坊,1室1厅, 41.36,64072,265,50,24
长顺坊,2室1厅, 69.86,74435,520,16,45
康宁坊,1室1厅, 43.4,72581,315,54,43
花苑村桂花园,3室1厅, 80,57500,460,27,20
花苑茶花园,2室1厅, 59.16,67276,398,22,45
寿祥坊,1室1厅, 44.72,61494,275,10,4
长顺坊,2室1厅, 61.49,75623,465,22,3
桂梅别墅(别墅),双拼别墅, 3室,96253,1600,121,30
康乐小区(徐汇),1室0厅, 37.8,71429,270,0,2
金桂苑(徐汇),3室2厅, 138.94,60458,840,2,0
樱花园(徐汇),1室1厅, 45.38,73822,335,6,24
康馨家园,2室2厅, 112.85,86841,980,5,11
月季园(徐汇),3室2厅, 105.16,59909,630,35,20
长青坊,2室1厅, 62.06,80568,500,8,18
紫薇园,2室2厅, 90.87,67129,610,73,24
康宁坊,2室1厅, 58.8,62926,370,43,33
钦州路111弄,2室1厅, 77.44,77480,600,17,27
杜鹃园,2室1厅, 59.43,68989,410,24,28
康乐小区(徐汇),2室1厅, 53.46,66966,358,29,30
寿益坊,2室1厅, 62.4,72116,450,2,0
寿山坊,1室1厅, 41.37,64057,265,7,17
海上名邸,3室2厅, 127,114174,1450,12,1
海上华庭,3室2厅, 129.59,83340,1080,12,2
寿祥坊,1室1厅, 44.36,69883,310,0,6
寿山坊,2室1厅, 52.07,63377,330,230,23
康兴花园,4室2厅, 170.41,90958,1550,22,22
樱花园(徐汇),1室1厅, 41.29,60306,249,15,10
寿山坊,1室1厅, 49.75,59297,295,5,5
康乐小区(徐汇),2室0厅, 48.94,71517,350,9,0
花苑茶花园,2室1厅, 60,68334,410,3,0
花苑村丁香园,1室1厅, 44,60228,265,17,14
康宁坊,2室1厅, 57,66667,380,1,13
长丰坊,2室1厅, 53.97,70410,380,14,15
寿益坊,2室1厅, 66.09,72629,480,4,4
寿山坊,1室1厅, 48.53,59757,290,8,2
紫薇园,2室1厅, 61.64,68138,420,20,25
樱花园(徐汇),2室1厅, 59.33,62364,370,9,1
紫薇园,2室1厅, 85,68236,580,5,7
康宁坊,2室1厅, 57.32,64550,370,7,15
康兴花园,3室2厅, 161.48,86699,1400,6,6
长丰坊,2室1厅, 59.27,68332,405,23,19
寿益坊,2室1厅, 62.4,72917,455,26,27
康健路25弄,2室1厅, 45.47,82472,375,3,12
桂平小区,2室1厅, 54.13,73897,400,3,1
欣园新邨,2室1厅, 65.52,68682,450,0,2
科苑新村,2室1厅, 72.09,71439,515,30,14
月季园(徐汇),3室1厅, 78.65,59759,470,7,2
樱花园(徐汇),2室1厅, 53,70755,375,0,2
上海师大新村,2室1厅, 45.58,81176,370,5,1
樱花园(徐汇),1室1厅, 43.37,70326,305,1,1
长丰坊,2室1厅, 52.83,70415,372,18,5
梓树园,2室2厅, 108.49,72818,790,5,2
樱花园(徐汇),2室1厅, 57.99,62942,365,8,1
金桂苑(徐汇),2室2厅, 99,58586,580,21,4
花苑村玉兰园,1室1厅, 46.07,56870,262,31,18
长兴坊,1室1厅, 42.64,75047,320,4,19
寿山坊,1室1厅, 40.49,65449,265,4,6
钦州路111弄,1室1厅, 61.97,63741,395,15,0
月季园(徐汇),2室1厅, 82.1,54812,450,103,5
紫荆园,2室1厅, 93.15,85883,800,25,5
康健路341弄,2室1厅, 62.27,77084,480,12,3
康健路77弄,3室1厅, 68.77,77796,535,9,17
长青坊,3室0厅, 55.57,77380,430,22,8
花苑茶花园,2室1厅, 56.24,71124,400,1,9
康健路100弄,1室1厅, 36.39,78868,287,47,11
漕河景苑,2室2厅, 97.08,110734,1075,11,16
康健路77弄,2室1厅, 51.08,81246,415,7,16
花苑村桂花园,2室1厅, 64.79,61738,400,6,9
