CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
新家坡美树馆,3室2厅, 145.73,94696,1380,9,10
太原邸,3室2厅, 178.97,134101,2400,33,19
丁家弄小区,2室2厅, 78.85,103995,820,14,10
襄阳南路277弄,2室0厅, 62.61,119790,750,5,1
丁家弄小区,2室1厅, 78.85,98923,780,15,3
新家坡美树馆,4室2厅, 163.66,97764,1600,13,0
新家坡美树馆,2室2厅, 122.03,97518,1190,41,0
永太小区,1室1厅, 46.76,126177,590,155,22
太原路76号,2室1厅, 54.81,131363,720,14,27
新家坡美树馆,3室2厅, 133.69,88863,1188,35,13
襄阳南路452弄,2室0厅, 45.88,119878,550,116,3
新家坡美树馆,3室2厅, 144.15,100590,1450,58,8
永太小区,3室2厅, 87.82,111365,978,136,7
永太小区,2室1厅, 46.91,134300,630,22,5
嘉善路232弄,2室0厅, 52.32,121369,635,34,3
嘉善公寓,3室2厅, 189.39,93986,1780,76,1
明园世纪城,2室2厅, 191.63,104368,2000,19,1
新家坡美树馆,5室3厅, 285.43,105105,3000,41,0
阳光四季公寓,2室2厅, 164.84,90998,1500,16,0
华泰大厦,3室2厅, 176.56,56638,1000,17,8
永康路167号,1室0厅, 44.6,112108,500,2,3
襄阳南路388弄,1室1厅, 40.36,136274,550,23,55
梧桐花园,3室2厅, 175,85715,1500,32,36
梧桐花园,2室2厅, 98,98980,970,50,34
新家坡美树馆,4室2厅, 199.27,75275,1500,15,1
嘉嘉大楼,3室2厅, 146,95206,1390,18,23
永太小区,2室1厅, 67,91045,610,28,26
太原小区,2室0厅, 50.01,149971,750,10,21
永康路38弄,2室1厅, 63.68,104900,668,4,0
永太小区,2室1厅, 51.49,118470,610,35,19
永太小区,4室1厅, 71.8,103065,740,43,18
岳阳路77弄,1室1厅, 40.17,154345,620,5,1
新家坡美树馆,4室2厅, 204.66,83065,1700,12,1
达汇花园(公寓),3室2厅, 145.49,109974,1600,21,23
新家坡美树馆,3室2厅, 140,92858,1300,14,16
永太小区,2室1厅, 62.82,114614,720,41,15
新家坡美树馆,3室2厅, 167.98,88702,1490,30,8
陕西南路560弄,3室1厅, 83,78314,650,41,4
梧桐花园,2室2厅, 105.24,90080,948,22,8
新家坡美树馆,3室2厅, 145.73,86462,1260,74,9
嘉御庭,3室2厅, 182,153847,2800,14,5
鼎新大楼(公寓),3室2厅, 157.75,82409,1300,0,1
太原路76号,2室1厅, 55.17,145007,800,2,2
新乐路7号,2室2厅, 98.63,119640,1180,5,1
新家坡美树馆,2室2厅, 122.03,94240,1150,30,2
新家坡美树馆,3室2厅, 165.39,87672,1450,27,2
襄阳南路277弄,2室1厅, 66.95,116505,780,20,5
世家小区,3室1厅, 67.8,126844,860,19,0
襄阳南路277弄,1室0厅, 34.62,144426,500,40,0
陕西南路550弄,2室1厅, 54.68,108815,595,14,0
复兴中路1271号,2室1厅, 89.01,123582,1100,123,0
锦岩小区,2室1厅, 77.83,115637,900,10,0
襄阳南路452弄,2室1厅, 52.5,123810,650,19,1
建西小区,2室1厅, 45.03,135466,610,8,7
复兴公寓,2室2厅, 158.16,113809,1800,4,2
复兴公寓,2室2厅, 123.6,113269,1400,6,1
嘉善小区,1室1厅, 28.2,170213,480,8,1
襄阳南路277弄,1室0厅, 36.27,143370,520,4,0
新家坡美树馆,3室3厅, 198,65657,1300,105,17
襄阳南路452弄,1室1厅, 24.25,164124,398,18,2
太原邸,3室2厅, 201.56,119072,2400,9,6
新家坡美树馆,3室2厅, 167.26,84898,1420,11,6
达汇花园(公寓),4室2厅, 282.8,123763,3500,5,0
永嘉路300弄,3室1厅, 87,120690,1050,116,1
世家小区,2室2厅, 68.7,128094,880,19,1
明园世纪城,3室2厅, 166.37,90161,1500,17,0
嘉御庭,2室2厅, 144.76,151976,2200,2,10
复兴中路1321弄,3室2厅, 115.73,136525,1580,0,0
岳阳路77弄,2室1厅, 63,111112,700,32,0
梧桐花园,2室2厅, 105.24,104523,1100,3,0
