CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
凯旋花苑,2室2厅, 113.18,92773,1050,17,64
锦汇苑,2室2厅, 94.3,102333,965,55,86
汇翠花园,3室2厅, 178.22,87533,1560,52,65
徐家汇花园,3室2厅, 127,86615,1100,84,101
中原新村,2室1厅, 52.28,112854,590,9,64
申峰大厦,1室1厅, 64.52,85245,550,14,41
裕德大厦,2室1厅, 95.61,89949,860,30,37
乐山大楼,2室1厅, 61.49,80989,498,49,37
兆丰帝景苑,2室2厅, 100.02,102980,1030,122,64
金轩公寓,1室1厅, 72.29,91299,660,33,28
乐山八九村,2室1厅, 74.43,78598,585,48,25
东方曼哈顿,3室2厅, 142.95,106331,1520,59,22
汇翠花园,2室2厅, 87,98276,855,56,19
徐家汇花园,4室2厅, 195.53,97172,1900,20,35
徐家汇花园,3室2厅, 143.25,80280,1150,104,27
尊园,3室2厅, 147.22,98493,1450,52,34
尊园,3室2厅, 154.8,109820,1700,83,66
宜德苑,2室2厅, 98.54,90116,888,62,50
乐山大楼,2室1厅, 63.92,78223,500,47,73
青之杰花园,2室2厅, 137.87,90666,1250,31,26
零陵小区,1室1厅, 47,78724,370,25,29
东安二村,2室1厅, 47.91,82447,395,1,0
振兴小区(徐汇),1室1厅, 37.24,82707,308,20,16
乐山八九村,2室1厅, 59.79,70246,420,43,7
斜土路2200弄,1室1厅, 35.99,65296,235,112,35
永新花苑,3室2厅, 148.66,95520,1420,20,19
创世纪花园,2室2厅, 105.83,79373,840,182,17
南天大楼,2室1厅, 92.6,78834,730,44,23
泰德花苑,3室2厅, 142.02,86608,1230,105,20
永新花苑,3室2厅, 148.66,95520,1420,20,19
淮海鑫城苑,3室2厅, 119.69,79372,950,30,3
青松小区,3室2厅, 121.94,69707,850,35,5
华狮国际公寓,1室1厅, 59.29,110980,658,79,25
佳安公寓,3室2厅, 157.77,69722,1100,47,21
东安一村,2室1厅, 60.01,72988,438,61,6
徐虹华庭,2室2厅, 101,98020,990,53,13
