CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
尚海湾豪庭,3室2厅, 169.7,111963,1900,17,22
樟树苑,2室2厅, 100.49,61698,620,51,2
樟树苑,3室2厅, 97.03,61837,600,74,7
长峰小区,2室2厅, 105.22,66528,700,9,3
滨江小区,2室2厅, 90,125556,1130,7,0
尚海湾豪庭,3室2厅, 174.82,109999,1923,12,0
百汇园,3室2厅, 180.66,102403,1850,42,49
百汇园,3室2厅, 145.2,114877,1668,22,56
滨江小区,1室1厅, 60.52,63616,385,23,15
百汇园,4室2厅, 230.35,95507,2200,61,28
百汇园,2室2厅, 133.67,108477,1450,42,28
尚海湾豪庭,3室2厅, 175.94,99466,1750,34,88
滨江小区,2室1厅, 72.53,57218,415,58,16
百汇园,2室2厅, 110.53,122139,1350,27,17
长峰小区,2室1厅, 68.89,62419,430,31,11
叠加苑,2室1厅, 109.58,58862,645,71,6
尚海湾豪庭,1室2厅, 64.26,124495,800,22,2
民苑小区,2室1厅, 72.21,83091,600,15,5
尚海湾豪庭,3室2厅, 174.82,102964,1800,16,1
樟树苑,5室2厅, 194.52,47810,930,33,3
樟树苑,6室4厅, 228.41,51224,1170,23,0
上飞新村,1室1厅, 45.8,78603,360,37,0
尚海湾豪庭,3室2厅, 166.4,96154,1600,11,8
百汇园,3室2厅, 185.61,102366,1900,8,6
滨江小区,1室1厅, 60.56,65225,395,19,10
樟树苑,3室2厅, 124.76,64124,800,1,0
尚海湾豪庭,4室2厅, 219.86,104613,2300,11,9
尚海湾豪庭,4室2厅, 371.72,107608,4000,77,43
尚海湾豪庭,3室2厅, 168.25,95097,1600,54,21
上飞新村,1室1厅, 45.8,82970,380,11,0
民苑小区,1室1厅, 56.11,87329,490,27,11
民苑小区,2室1厅, 69.17,83852,580,99,36
长峰小区,2室2厅, 105.22,54173,570,40,1
樟树苑,2室2厅, 90.24,66490,600,26,3
尚海湾豪庭,1室1厅, 68,125000,850,20,13
民苑小区,3室1厅, 89.15,84689,755,41,13
滨江小区,2室1厅, 72.53,59286,430,5,0
长峰小区,1室1厅, 54.2,58119,315,47,9
民苑小区,2室2厅, 68.82,82825,570,32,7
保利西岸,3室2厅, 235.48,148633,3500,98,3
长峰小区,1室1厅, 54.2,59964,325,2,0
滨江小区,3室1厅, 89.19,59985,535,112,8
尚海湾豪庭,4室2厅, 372,94087,3500,17,1
民苑小区,2室1厅, 71,83099,590,7,3
滨江小区,2室1厅, 72.45,59352,430,23,0
滨江小区,1室1厅, 60.78,63344,385,10,1
百汇园,3室2厅, 189.09,105770,2000,86,116
苑宏新村,1室1厅, 34.87,85748,299,2,0
百汇园,3室2厅, 188.8,130297,2460,22,31
尚海湾豪庭,2室2厅, 115.74,120961,1400,48,78
尚海湾豪庭,3室2厅, 170.19,108703,1850,42,43
长峰小区,2室2厅, 105.22,58925,620,11,17
尚海湾豪庭,2室2厅, 93.98,110662,1040,64,14
长峰小区,3室1厅, 105.29,56986,600,44,1
保利西岸,2室2厅, 179.41,139346,2500,54,1
长峰小区,3室1厅, 104,73077,760,11,3
苑宏新村,1室0厅, 34.99,85739,300,0,0
苑宏新村,2室1厅, 60.01,69989,420,1,0
百汇园,2室2厅, 113.51,114528,1300,19,0
保利西岸,3室2厅, 235.29,170003,4000,2,0
