CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
泰莱大厦,2室1厅, 79.27,84017,666,54,31
兴南花园,2室2厅, 117.28,69237,812,25,41
茶陵小区,1室1厅, 45.37,62817,285,100,27
汇峰鼎园,3室2厅, 147.46,107148,1580,28,37
泰莱大厦,1室1厅, 53.08,83836,445,42,16
衡园,2室2厅, 116.15,87818,1020,82,24
金色港湾,2室2厅, 120.81,97675,1180,2,2
金兰花苑,3室2厅, 170.68,67378,1150,70,22
新湖云庭,2室2厅, 121.05,76002,920,24,22
云福大厦,2室2厅, 91.59,85163,780,45,18
丝庐花语,2室2厅, 110.1,89919,990,56,10
凯悦公寓,3室2厅, 133.12,98408,1310,46,14
新湖云庭,2室1厅, 89.06,80845,720,72,8
斜土路1220号,2室2厅, 68.64,72844,500,134,10
西木小区,1室1厅, 36.12,81673,295,16,6
江南新村(徐汇),3室0厅, 62.05,81870,508,250,10
儿科大楼,3室1厅, 84.5,80474,680,70,6
日晖新城,3室2厅, 125.35,83766,1050,54,15
瑞金尊邸,1室2厅, 78.72,92734,730,41,6
嘉瑞花苑,2室2厅, 107.96,92442,998,10,6
兴南花园,3室2厅, 153.17,70510,1080,77,9
云福大厦,2室1厅, 77.71,92653,720,35,9
日晖二村,2室1厅, 42.72,69991,299,120,11
清枫大楼,2室1厅, 64.29,80573,518,18,8
徐汇嘉馨公寓,1室2厅, 75.66,97542,738,59,7
金色港湾,3室2厅, 143.35,87200,1250,19,1
轻工大楼,2室1厅, 93.06,69848,650,11,5
大木小区,2室1厅, 52.36,83079,435,10,3
零陵路289弄,2室1厅, 60.48,82342,498,19,4
零陵路289弄,2室1厅, 60.48,82342,498,19,4
金星苑,3室2厅, 101.22,98598,998,14,1
大木小区,2室1厅, 52.36,83079,435,10,3
中山新村,2室0厅, 53.19,75203,400,14,7
百乐公寓,2室2厅, 125.99,78181,985,8,6
瑞金南苑,2室2厅, 105.38,104385,1100,13,5
航建大楼,1室1厅, 38.69,71078,275,24,4
中山新村,2室1厅, 50.11,77430,388,79,1
远雄徐汇园,4室2厅, 205.64,112819,2320,45,2
斜土路1468号,2室2厅, 68.68,72802,500,69,1
炎虹路71弄,2室1厅, 51.69,108339,560,4,3
江南新村(徐汇),1室1厅, 39.88,70211,280,10,1
大闻公寓,2室2厅, 118,88984,1050,1,1
日晖二村,2室0厅, 55,61819,340,27,3
西木小区,1室1厅, 37.59,75819,285,25,1
斜土路1220号,1室1厅, 38.18,70718,270,47,8
大木小区,1室1厅, 42.66,77356,330,34,11
丝庐花语,3室2厅, 143,95105,1360,24,0
日晖六村,2室1厅, 62.73,70142,440,12,0
轻工大木桥小区,3室1厅, 89.24,69476,620,30,0
瑞金尊邸,2室2厅, 91.49,103837,950,20,0
金星苑,3室2厅, 127.74,105684,1350,1,0
日晖六村,1室1厅, 41.94,69147,290,39,0
轻工大楼,1室1厅, 52.2,72797,380,2,0
上影新村,2室1厅, 57.35,85441,490,6,8
平江大楼,1室1厅, 53.95,68583,370,12,4
丝庐花语,3室2厅, 163.19,82726,1350,31,6
西木小区,2室1厅, 50.4,78969,398,60,75
瑞金南苑,3室2厅, 141.7,85957,1218,46,74
大木小区,1室0厅, 34.48,95418,329,2,1
炎虹路76弄,1室1厅, 38.69,86586,335,24,3
三航大厦,1室1厅, 54.31,82858,450,12,0
儿科大楼,1室1厅, 51.49,79628,410,18,21
建灵大楼,3室2厅, 103.08,68879,710,82,18
西木小区,1室1厅, 40.63,76299,310,19,10
西木小区,2室0厅, 46.76,78059,365,25,13
瑞金南苑,3室2厅, 140.88,90858,1280,92,46
申晖小区,1室1厅, 38.16,75996,290,43,27
江南新村(徐汇),2室1厅, 48.77,67665,330,16,17
泰莱大厦,1室1厅, 53.94,79719,430,171,16
日晖二村,1室1厅, 38.25,62746,240,103,31
徐汇嘉馨公寓,2室2厅, 92.47,97329,900,20,5
丝庐花语,2室2厅, 106.63,90031,960,79,21
时运大楼,2室1厅, 69.54,81249,565,28,12
银海苑,2室2厅, 108.82,71679,780,13,7
日晖新城,2室2厅, 92.35,88793,820,36,10
申晖小区,3室1厅, 80.86,82365,666,15,7
