CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
罗秀三村,1室1厅, 33.37,58436,195,27,15
天然居,3室2厅, 153.42,75610,1160,85,23
园南二村,2室1厅, 52.34,82156,430,12,13
挹翠苑,2室1厅, 80,70000,560,47,20
园南二村,3室1厅, 76.6,77677,595,28,20
园南二村,2室1厅, 96.58,77656,750,18,8
绿邑翠苑,3室2厅, 127.23,75297,958,58,11
园南三村,1室1厅, 53,78302,415,6,7
东泉小区,2室1厅, 58.88,68784,405,10,9
罗秀三村,2室0厅, 51.95,53898,280,51,8
东泉小区,1室1厅, 49,61225,300,6,2
园南二村,2室1厅, 73.68,63790,470,14,8
汇达苑,2室1厅, 77.83,73237,570,32,3
罗秀三村,2室0厅, 48.7,56058,273,2,1
中恒苑,2室1厅, 69.68,55971,390,83,2
平福小区,3室2厅, 127.5,60000,765,23,3
园南二村,2室1厅, 63.88,75141,480,3,1
百龙小区,2室1厅, 86.41,56707,490,15,3
东泉小区,2室1厅, 58.88,61142,360,31,0
鑫隆花园,1室1厅, 67,58956,395,4,0
罗秀三村,2室0厅, 53.46,58923,315,6,0
罗秀三村,2室1厅, 62.86,53294,335,3,0
平福小区,2室2厅, 94.89,62915,597,26,0
罗秀三村,2室1厅, 65.7,55556,365,7,0
华沁家园,2室2厅, 90.34,59221,535,173,34
罗秀三村,1室0厅, 33.47,62743,210,7,4
华沁家园,2室2厅, 89.98,61125,550,5,1
东泉小区,2室0厅, 52.12,58519,305,42,22
华沁家园,3室2厅, 129.58,56336,730,69,28
华沁家园,3室2厅, 123.3,53528,660,90,8
园南二村,2室1厅, 63.88,76707,490,3,13
园南三村,2室1厅, 61.2,73530,450,35,27
挹翠苑,2室2厅, 83.99,61913,520,104,6
罗秀三村,2室1厅, 63.53,52731,335,25,8
罗秀三村,2室1厅, 58.53,51256,300,9,2
天然居,3室2厅, 155.46,95202,1480,36,9
华滨家园,3室2厅, 115.97,67259,780,2,3
园南三村,2室1厅, 61.6,76299,470,10,15
东泉小区,2室1厅, 67.83,64869,440,12,16
挹翠苑,1室1厅, 70.25,66904,470,26,1
华滨家园,3室2厅, 116.56,64345,750,2,0
罗秀三村,2室1厅, 53,58114,308,8,7
华滨家园,1室1厅, 54.78,63892,350,130,9
平福小区,2室1厅, 67.07,55167,370,51,12
东泉小区,3室1厅, 93.1,61762,575,16,7
华沁家园,2室2厅, 89.83,67907,610,59,7
罗秀三村,2室1厅, 57.68,55132,318,63,3
百龙小区,2室1厅, 57.56,67756,390,30,5
罗秀三村,1室1厅, 39.01,53833,210,11,1
罗秀三村,2室0厅, 48.97,56770,278,9,3
百龙小区,1室1厅, 41.71,80317,335,12,4
石龙小区,2室1厅, 79.81,58890,470,13,3
华沁家园,2室2厅, 89.97,54463,490,77,2
园南二村,3室1厅, 80.3,78456,630,14,7
华滨家园,1室1厅, 55.62,66523,370,17,10
平福小区,3室2厅, 117.22,59717,700,39,2
园南二村,2室1厅, 73.68,63518,468,34,2
罗秀三村,2室1厅, 60.72,55995,340,12,1
汇达苑,2室2厅, 86.17,73112,630,9,2
华沁家园,2室2厅, 89.25,66667,595,73,1
鑫隆花园,2室2厅, 118.49,58233,690,6,1
鑫隆花园,2室1厅, 89.87,53411,480,23,1
东泉小区,2室1厅, 58.88,66237,390,5,2
华滨家园,3室2厅, 129,62016,800,12,2
挹翠苑,1室2厅, 72.72,71508,520,0,1
东泉小区,2室1厅, 63.15,66509,420,11,0
挹翠苑,3室1厅, 97.39,73930,720,17,0
挹翠苑,3室2厅, 103.12,72246,745,32,0
东泉小区,2室1厅, 59.72,58607,350,20,0
鑫隆花园,3室1厅, 104.32,51764,540,25,0
东泉小区,1室1厅, 47.09,58399,275,10,0
平福路12弄,3室2厅, 132.81,69272,920,18,2
百龙小区,2室2厅, 86.41,59600,515,37,1
百龙小区,1室1厅, 41.99,78591,330,2,0
百龙小区,2室1厅, 86.41,59947,518,23,3
挹翠苑,2室1厅, 85.12,68140,580,38,31
罗秀三村,1室1厅, 38.55,59663,230,27,0
挹翠苑,2室2厅, 85.12,62266,530,138,35
挹翠苑,3室2厅, 103,69709,718,11,2
绿邑翠苑,2室2厅, 93.56,70543,660,5,1
园南二村,2室1厅, 59.8,70235,420,20,20
园南二村,2室2厅, 84.45,63707,538,67,19
华沁家园,2室2厅, 89.47,61474,550,33,27
东泉小区,2室1厅, 59.72,70329,420,0,0
东泉小区,2室1厅, 67.6,63610,430,0,0
罗秀三村,2室2厅, 95.5,53927,515,0,0
石龙小区,2室1厅, 82,65610,538,19,8
东泉小区,2室1厅, 58.88,66237,390,9,6
园南二村,2室1厅, 73.57,69186,509,15,16
园南二村,1室1厅, 48.1,75884,365,10,11
东泉小区,2室1厅, 64.71,55633,360,35,11
平福小区,1室1厅, 46.26,65932,305,1,1
罗秀三村,2室0厅, 49,51021,250,20,1
罗秀三村,1室1厅, 39.8,60302,240,3,6
挹翠苑,3室1厅, 102.84,68067,700,7,2
鑫隆花园,3室1厅, 104.32,46780,488,57,4
东泉小区,1室1厅, 47.1,63695,300,13,19
东泉小区,2室0厅, 45.58,58140,265,65,15
东泉小区,3室1厅, 93.11,60681,565,26,14
园南二村,2室1厅, 61.44,73243,450,8,13
恒龙苑,3室1厅, 99.12,51453,510,66,4
华沁家园,2室2厅, 90.17,64878,585,15,4
东泉小区,2室1厅, 59.15,67625,400,1,0
东泉小区,1室1厅, 49.15,61038,300,7,7
罗秀三村,2室1厅, 58.36,55689,325,20,5
华沁家园,2室2厅, 90.17,64323,580,4,5
