CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
虹梅小区,2室1厅, 62.65,61453,385,173,18
欣嘉苑,3室2厅, 78.98,82300,650,2,0
桂林苑,2室2厅, 83.47,57506,480,47,3
桂林苑,2室2厅, 83.3,60025,500,13,5
东方康洛,3室2厅, 141,82979,1170,27,8
桂林苑,3室1厅, 109.16,65959,720,16,1
虹梅小区,2室1厅, 90.28,68676,620,15,3
虹梅小区,2室1厅, 62.65,65443,410,5,2
东方康洛,3室2厅, 145,100000,1450,9,1
钦江大楼,2室1厅, 70.89,68840,488,26,4
航天公寓,3室2厅, 142.21,80867,1150,2,0
航天公寓,6室4厅, 203.56,83514,1700,58,7
欣嘉苑,1室1厅, 51.93,78953,410,21,4
欣嘉苑,2室1厅, 77.87,71915,560,13,5
虹梅小区,2室1厅, 89.88,64308,578,27,11
虹梅小区,2室1厅, 58.92,64495,380,41,2
航天新苑,1室1厅, 58.67,69883,410,9,2
桂林苑,1室1厅, 59.76,60241,360,4,0
桂林苑,1室1厅, 47.77,62801,300,43,1
永兆豪庭,3室2厅, 135.01,79995,1080,125,36
虹梅小区,3室0厅, 90.28,57045,515,8,1
钦江路47弄,1室1厅, 56.74,59923,340,33,0
桂林苑,2室1厅, 61.43,69999,430,29,21
欣嘉苑,3室1厅, 90.03,72199,650,8,1
钦江大楼,1室1厅, 44.94,66756,300,52,22
东方康洛,3室2厅, 143.02,81807,1170,22,8
桂林苑,1室1厅, 49.96,66053,330,38,5
航天新苑,2室2厅, 70.3,67141,472,72,5
欣嘉苑,1室1厅, 52.75,68247,360,42,6
永兆豪庭,3室1厅, 107,76169,815,104,8
航天新苑,2室2厅, 82.79,66434,550,16,1
钦江大楼,2室2厅, 80.6,64517,520,14,1
钦江大楼,2室2厅, 134.48,56143,755,15,4
欣嘉苑,2室1厅, 78.9,79848,630,35,5
东方康洛,5室2厅, 122.25,118610,1450,24,0
华悦家园,2室1厅, 59.02,94884,560,4,0
航天新苑,2室2厅, 75.3,70120,528,5,14
永兆豪庭,2室1厅, 78,115385,900,191,4
虹六小区,1室1厅, 37.49,61350,230,0,0
欣嘉苑,1室1厅, 51.92,86672,450,0,0
钦江大楼,2室1厅, 65.35,62740,410,4,0
华悦家园,2室1厅, 90,83334,750,14,2
