CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
长春新苑,2室2厅, 67.81,69312,470,49,39
田林六村,1室1厅, 40,67000,268,82,91
千鹤小区,2室1厅, 80.53,62089,500,96,50
徐汇长春苑,1室1厅, 52.81,86158,455,113,31
宜山路701弄,2室1厅, 69,57972,400,107,25
福苑小区,2室1厅, 70.78,73468,520,35,46
田林新苑,2室1厅, 70.33,61141,430,27,33
钦州花苑,2室1厅, 77.12,63538,490,34,16
华利公寓,2室2厅, 95.9,56518,542,29,26
钦州花苑,1室1厅, 56.1,62389,350,39,36
锦馨苑,2室2厅, 94.49,59795,565,152,12
福苑小区,2室1厅, 83.61,64586,540,31,12
钦州花苑,2室2厅, 109.08,59590,650,20,15
田林九村,3室0厅, 76,63158,480,41,20
田林新苑,2室1厅, 70.31,61158,430,134,23
钦州花苑,1室1厅, 55.5,60361,335,86,10
田林十二村,2室0厅, 50.13,83783,420,4,13
宜山路701弄,2室1厅, 51.28,64158,329,116,10
田林十三村,2室0厅, 48.66,79121,385,40,14
长春新苑,2室1厅, 69.62,70383,490,5,1
长春小区,2室1厅, 59.87,75163,450,7,8
田林十三村,1室1厅, 34.4,87210,300,12,21
冶金小区(徐汇),2室1厅, 52.8,65910,348,32,11
田林十四村,3室1厅, 70,68572,480,45,6
田林十二村,2室0厅, 50.79,88601,450,3,12
田林十一村,2室1厅, 47.71,84888,405,22,8
千鹤小区,2室2厅, 78.75,72381,570,23,9
长春小区,2室1厅, 66.7,61470,410,10,3
田林新苑,2室1厅, 70.5,63830,450,33,5
明佳公寓,2室1厅, 99,59192,586,34,8
田林十四村,2室0厅, 59.37,72428,430,21,4
田林新苑,2室1厅, 70.5,63830,450,33,5
田林十一村,3室1厅, 70.98,73965,525,54,0
田林十一村,2室0厅, 48.12,85204,410,10,1
田林八村,2室1厅, 62.52,70378,440,7,2
仪表新村,2室1厅, 47.32,83475,395,13,1
锦馨苑,3室1厅, 107.37,74509,800,12,2
田林十一村,2室1厅, 51.2,76172,390,16,2
田林十一村,2室1厅, 64.31,69974,450,54,2
田林十一村,2室1厅, 47.16,81001,382,36,2
田林五村,2室1厅, 48.1,66529,320,11,2
仪表新村,2室1厅, 48.28,83886,405,8,3
田林十一村,1室0厅, 29.76,94087,280,17,14
冶金小区(徐汇),1室1厅, 47.93,59462,285,16,0
田林新苑,1室0厅, 41.83,69329,290,17,17
钦州公寓,3室1厅, 93.49,64713,605,43,0
田林十二村,1室0厅, 39.75,80000,318,21,87
田林花苑,2室1厅, 60.5,61984,375,31,10
田林十二村,2室1厅, 51.2,82032,420,16,39
怡桂苑,2室1厅, 84.29,71183,600,143,95
田林六村,1室0厅, 32.59,73643,240,10,13
中瑞公寓,2室2厅, 86.86,81166,705,155,82
田林新苑,2室1厅, 79.98,66267,530,81,72
千鹤小区,2室1厅, 80.26,66036,530,26,52
万科华尔兹,2室1厅, 97.67,99315,970,79,34
万科华尔兹,3室2厅, 121.84,90283,1100,73,58
田林七村,2室1厅, 47.26,69827,330,9,0
田林十四村,1室0厅, 36.39,87937,320,7,46
田林花苑,2室1厅, 60.5,71075,430,15,29
田林十二村,2室1厅, 50.27,85539,430,1,13
冶金小区(徐汇),2室1厅, 51.1,66928,342,17,30
田林十二村,2室0厅, 50.63,82955,420,62,50
田林新苑,2室1厅, 70.45,66714,470,24,31
钦州花苑,1室1厅, 69.55,54637,380,15,13
钦州花苑,2室1厅, 82.81,64002,530,10,34
田林十二村,1室0厅, 29.66,104518,310,6,33
钦州花苑,2室1厅, 77.73,57893,450,52,25
福苑小区,2室1厅, 70.78,69936,495,18,24
长春新苑,3室2厅, 112.78,71822,810,33,19
虹桥大仕馆,3室2厅, 148.47,79478,1180,70,11
宜山路701弄,1室0厅, 35.89,62692,225,37,27
钦州花苑,2室1厅, 81.17,52976,430,17,23
长春新苑,2室1厅, 71.13,74512,530,43,12
万科华尔兹,2室1厅, 96.25,98702,950,14,4
公安住宅小区,2室2厅, 90.58,70435,638,31,25
锦馨苑,3室2厅, 107.37,69852,750,77,18
田林十四村,1室0厅, 27.46,98325,270,6,7
田林新苑,2室1厅, 79.98,61266,490,16,1
尚汇豪庭,3室2厅, 156.32,102355,1600,59,167
锦馨苑,4室2厅, 123.06,74761,920,26,3
吴中公寓,1室1厅, 61.77,68804,425,2,2
田林十一村,2室1厅, 49,82654,405,18,10
徐汇玺庭,4室2厅, 158.54,97768,1550,26,15
凯托大厦,2室2厅, 118.92,67273,800,56,10
锦馨苑,2室2厅, 99.28,75544,750,35,11
华利公寓,2室1厅, 86.82,60470,525,36,9
长春新苑,1室1厅, 55.83,72542,405,35,5
田林十四村,1室0厅, 32,82813,265,19,18
锦馨公寓,2室2厅, 94.54,69812,660,78,8
田林十四村,3室0厅, 73.61,78794,580,44,7
千鹤小区,2室1厅, 78.85,71021,560,7,5
锦馨苑,2室2厅, 113.48,74904,850,21,13
冶金小区(徐汇),3室0厅, 70.3,68279,480,31,8
钦州公寓,2室1厅, 70,72143,505,19,11
田林三村,1室1厅, 40.81,63710,260,12,8
锦馨公寓,2室2厅, 94.54,69812,660,78,8
田林七村,1室0厅, 34.43,77840,268,21,10
金祥苑,1室1厅, 56.72,69641,395,34,10
美乐小区,1室1厅, 44.27,80190,355,33,8
田林十二村,1室0厅, 34.67,102395,355,25,25
田林十二村,1室0厅, 29.66,107890,320,3,17
长春小区,2室1厅, 59.87,71823,430,9,2
田林三村,2室1厅, 47.35,71806,340,14,2
兰桂坊,2室2厅, 101.88,79506,810,7,5
福苑小区,3室1厅, 116.61,72893,850,7,3
田林七村,2室1厅, 46.51,68803,320,54,2
南林公寓,3室2厅, 135.95,90475,1230,7,1
申德公寓,2室1厅, 78,89744,700,40,6
锦馨苑,2室2厅, 98.91,80882,800,55,6
钦州花苑,2室1厅, 77.12,56406,435,112,3
华利公寓,3室2厅, 124.52,59429,740,54,4
金丽广场,3室2厅, 84.74,69035,585,15,5
锦馨公寓,3室2厅, 152.14,74931,1140,5,2
田林新苑,2室1厅, 79.98,66267,530,12,3
田林十四村,2室1厅, 70,77143,540,28,4
田林新苑,2室1厅, 70.45,64585,455,30,5
金祥苑,2室2厅, 85.5,87720,750,65,7
金祥苑,3室2厅, 90.66,88242,800,23,4
兰桂坊,2室2厅, 101.88,81174,827,3,0
明园小安桥,2室1厅, 92.22,95424,880,33,4
田林新苑,2室1厅, 66.79,70370,470,40,1
田林十四村,1室1厅, 36.39,85189,310,18,2
田林体育公寓,4室2厅, 180,63889,1150,5,1
华利公寓,2室1厅, 99,61415,608,6,1
锦馨苑,2室2厅, 112.2,78878,885,25,6
田林新苑,2室1厅, 80.4,70274,565,4,1
钦州路785弄,2室2厅, 96.23,63910,615,39,1
锦馨苑,2室1厅, 71.05,70373,500,50,2
田林十四村,2室1厅, 59.37,74954,445,15,8
冶金小区(徐汇),3室1厅, 112.38,54281,610,137,2
爱建园,3室2厅, 141.28,88477,1250,67,109
南林公寓,2室2厅, 128,85938,1100,4,0
钦州花苑,1室1厅, 55.8,61828,345,158,65
冶金小区(徐汇),2室1厅, 65.71,54787,360,51,0
田林四村,2室1厅, 60.62,64336,390,16,0
田林七村,2室1厅, 47.61,68894,328,17,0
丽锦小区,2室1厅, 87.74,68384,600,0,32
田林花苑,1室1厅, 39.75,70441,280,10,9
田林十一村,1室0厅, 34.67,82204,285,49,4
田林七村,1室0厅, 32.68,67320,220,33,2
田林十四村,1室1厅, 48.8,77869,380,10,2
丽锦小区,2室1厅, 88.7,71026,630,2,3
丽锦小区,2室1厅, 85,67648,575,72,88
钦州公寓,2室1厅, 69.76,64507,450,27,30
中瑞公寓,2室1厅, 73.55,84297,620,128,31
田林十二村,2室1厅, 47.63,85661,408,9,64
尚汇豪庭,3室2厅, 132.95,111321,1480,3,16
田林花苑,3室2厅, 110.17,84415,930,2,0
南林公寓,3室2厅, 152,98685,1500,1,0
田林十四村,1室0厅, 38.35,80835,310,6,0
田林六村,1室0厅, 32,70313,225,42,0
田林七村,2室1厅, 61,70492,430,4,0
田林十四村,2室1厅, 63.35,67088,425,1,0
田林七村,1室0厅, 37.5,75200,282,5,0
田林七村,1室0厅, 32.59,70574,230,6,0
明佳公寓,2室2厅, 95.9,67571,648,4,2
钦州公寓,2室1厅, 69.76,68091,475,40,60
吴中公寓,3室2厅, 102.01,63230,645,58,31
福苑小区,2室1厅, 70.78,71348,505,10,24
田林十一村,2室1厅, 49.27,76112,375,35,46
田林十二村,2室1厅, 50.63,82955,420,3,27
田林十二村,2室1厅, 48.58,90573,440,33,20
钦州花苑,2室1厅, 73.6,65218,480,16,18
华利公寓,1室1厅, 67.89,60392,410,31,35
田林十二村,2室1厅, 45.47,79174,360,38,53
田林十四村,2室1厅, 70.83,64945,460,14,0
田林六村,2室1厅, 61.5,59350,365,20,21
田林十四村,1室0厅, 32.09,87255,280,10,3
明园小安桥,2室1厅, 87.12,95271,830,60,23
田林七村,2室1厅, 48,64584,310,43,15
长春新苑,2室1厅, 71.7,69736,500,4,0
田林十四村,1室1厅, 37.6,85107,320,7,38
田林花苑,1室1厅, 39,66667,260,7,57
吴中公寓,1室1厅, 71.54,62902,450,41,6
田林十四村,1室0厅, 36.56,79322,290,7,23
田林十一村,2室1厅, 48,83334,400,5,6
田林十二村,2室1厅, 50.6,83004,420,10,23
锦馨苑,3室2厅, 136.95,70099,960,45,17
丽锦小区,2室1厅, 84.7,62574,530,5,17
怡桂苑,2室1厅, 87.09,73488,640,19,24
钦州路785弄,2室2厅, 94.61,66590,630,19,17
长春小区,1室1厅, 47.73,68092,325,16,5
长春小区,1室1厅, 47.73,72282,345,4,1
田林新苑,2室1厅, 70.45,75231,530,9,3
田林十四村,1室0厅, 32.09,90371,290,13,37
田林十四村,1室1厅, 37.6,82447,310,10,16
田林十四村,3室1厅, 69.39,80416,558,48,19
田林新苑,2室1厅, 66.79,70370,470,14,9
长春小区,1室1厅, 47,73405,345,13,7
万科华尔兹,2室2厅, 97.67,97267,950,44,18
万科华尔兹,2室1厅, 97,95877,930,18,16
宜山路701弄,2室0厅, 47.7,71279,340,9,16
怡桂苑,2室1厅, 91.83,72961,670,189,13
宜山路701弄,2室1厅, 51.68,67725,350,12,12
田林九村,2室0厅, 62.52,66379,415,5,13
华利公寓,2室1厅, 99,53334,528,46,13
千鹤小区,2室1厅, 78,69231,540,35,10
钦州花苑,2室1厅, 89.11,51061,455,22,10
华利公寓,1室1厅, 67,62090,416,8,3
兰桂坊,2室2厅, 98,86735,850,20,6
田林体育公寓,2室1厅, 91.21,65783,600,12,4
万科华尔兹,2室2厅, 97.67,94195,920,6,0
钦州花苑,2室1厅, 86.3,60255,520,5,0
田林六村,1室1厅, 41.36,59478,246,25,13
钦州花苑,2室1厅, 79.77,61176,488,27,19
明园小安桥,2室2厅, 86.17,94581,815,11,27
田林新苑,2室1厅, 70.31,68270,480,5,6
田林新苑,1室0厅, 41.83,71241,298,3,24
田林十一村,1室1厅, 41.8,79666,333,17,8
田林四村,2室1厅, 60.81,69068,420,7,10
田林新苑,2室1厅, 70.31,68270,480,5,6
徐汇世家花园,3室2厅, 122.16,87591,1070,106,16
钦州花苑,1室1厅, 56,58929,330,14,7
田林新苑,1室0厅, 41.83,71241,298,3,24
宜山路701弄,2室0厅, 47.19,70990,335,27,12
金祥苑,1室1厅, 53.15,80904,430,11,8
吴中公寓,2室2厅, 80.82,70528,570,22,7
尚汇豪庭,3室2厅, 149.7,98865,1480,33,10
华利公寓,1室2厅, 67.89,63338,430,12,11
丽锦小区,2室2厅, 84.77,71960,610,6,11
田林六村,2室0厅, 46.79,72666,340,17,13
田林十三村,1室0厅, 29.91,95286,285,1,1
千鹤小区,2室1厅, 78.27,72825,570,1,0
万科华尔兹,4室2厅, 137.34,100481,1380,16,2
田林体育公寓,2室2厅, 97,69073,670,8,4
华利公寓,3室1厅, 109.63,66588,730,39,9
金丽广场,3室2厅, 136,69853,950,21,5
华鼎广场,3室2厅, 137.4,69142,950,48,8
田林十一村,3室1厅, 70.8,81215,575,14,4
立信大厦,2室2厅, 105.8,73157,774,2,1
田林十三村,2室0厅, 51.2,75196,385,15,3
吴中公寓,1室1厅, 71.54,67795,485,10,3
万科华尔兹,2室2厅, 96.25,99741,960,36,4
公安住宅小区,2室2厅, 94.46,75165,710,3,4
宜山路691弄,4室1厅, 118,69492,820,5,1
兆丰虹桥公寓,3室2厅, 138.51,70754,980,63,5
公安住宅小区,2室1厅, 90.58,71760,650,16,2
田林七村,1室1厅, 40.81,69101,282,5,6
钦州公寓,1室1厅, 50.42,65451,330,7,2
徐汇世家花园,2室2厅, 94.73,91629,868,39,2
田林七村,1室1厅, 40.81,69101,282,5,6
徐汇长春苑,1室1厅, 52.46,87686,460,281,8
田林新苑,2室1厅, 80.4,69652,560,9,0
田林一村,2室1厅, 55.93,67943,380,1,0
