CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
亦园,4室2厅, 253.9,92557,2350,47,18
永福路147弄,1室1厅, 39.2,109694,430,72,24
高欣公寓,3室2厅, 172.59,89809,1550,87,14
衡安大楼,2室1厅, 64.58,102199,660,43,16
上音小区,2室2厅, 84.91,108351,920,73,7
良友公寓,2室2厅, 89.59,113852,1020,16,6
林肯公寓,2室1厅, 69.86,121672,850,48,6
乌中小区,2室0厅, 56.03,99947,560,6,1
音苑小区,2室1厅, 67,108956,730,12,3
康平路95号,2室1厅, 56.98,116708,665,23,0
永福第六小区,1室1厅, 36.86,109876,405,9,9
泰安路27弄,1室1厅, 42.97,98209,422,21,5
东湖公寓,3室2厅, 138.51,115516,1600,21,1
乌中小区,1室1厅, 53.31,103171,550,9,1
淮海中路1412弄,1室0厅, 16.7,155689,260,15,0
武康路280弄(公房),1室0厅, 35.27,114829,405,259,40
东方巴黎,2室2厅, 104.66,119435,1250,49,33
复兴西路34号,1室2厅, 55.84,159384,890,7,0
乌中小区,1室1厅, 52.64,103534,545,24,30
自由公寓,1室0厅, 21.8,100918,220,82,27
欧江大厦,5室2厅, 221.96,66229,1470,14,2
长乐路683号,1室1厅, 46.59,98734,460,188,10
音苑小区,1室1厅, 45.17,110693,500,21,13
泰安路27弄,2室0厅, 53.92,111276,600,376,10
东方巴黎,3室2厅, 127.45,105924,1350,56,22
永福第六小区,2室1厅, 62.6,97445,610,19,10
武康路280弄(公房),1室2厅, 57.78,103843,600,164,8
东方巴黎,2室2厅, 86.79,137113,1190,34,8
东方巴黎,3室2厅, 126,138889,1750,21,6
武康路280弄(公房),1室2厅, 57.78,103843,600,164,8
高安路9弄,1室1厅, 68.02,147016,1000,15,1
集雅公寓,4室2厅, 206.47,87180,1800,38,10
上音小区,1室1厅, 63.2,102849,650,59,5
淮海中路1270弄,2室0厅, 50.42,118604,598,13,3
东方巴黎,3室2厅, 138,108696,1500,9,5
五原小区,2室1厅, 71.09,106907,760,8,3
鸿艺豪苑,3室2厅, 139.39,107612,1500,106,9
巴洛克宫廷,3室2厅, 141.81,119174,1690,25,2
乌中小区,2室1厅, 76.12,105098,800,17,1
永福第六小区,2室1厅, 62.98,103208,650,10,3
高安路2弄,3室0厅, 92.52,102681,950,63,1
淮海大楼,3室2厅, 156.81,105223,1650,127,2
睿园,3室2厅, 130.15,99885,1300,46,2
上海新村,1室1厅, 78.08,192111,1500,20,2
东方巴黎,3室2厅, 127.45,119263,1520,22,4
乌中小区,1室1厅, 60.98,111512,680,42,0
嘉丽苑(徐汇),3室2厅, 142.98,150371,2150,50,0
五原小区,1室2厅, 75.46,108667,820,61,0
常熟路165号,2室2厅, 75,126667,950,108,0
百安小区,1室1厅, 34.2,140351,480,17,6
高安路9弄,1室1厅, 40.78,127514,520,11,8
永福第六小区,1室1厅, 40.25,116274,468,4,2
五原路210弄,1室1厅, 43.26,97088,420,71,40
武康路8号,1室1厅, 45.95,115343,530,41,1
紫谷公寓,3室2厅, 149.26,97146,1450,38,26
吴兴路30弄,2室2厅, 67.99,126490,860,24,28
东湖路洋房,2室1厅, 112,142858,1600,67,41
淮海中路1761号,2室1厅, 83.95,110781,930,27,22
康平大楼,2室1厅, 69.14,122939,850,22,29
泰安路27弄,1室1厅, 42.97,102398,440,4,1
巨拨来斯公寓,2室2厅, 166.22,125136,2080,32,18
武康路280弄(公房),1室1厅, 40.7,114988,468,4,3
吴兴路30弄,3室1厅, 81,119754,970,24,11
衡山路58弄,2室1厅, 100.02,93982,940,30,10
五原路210弄,1室0厅, 31.46,117610,370,34,27
衡山路305号,1室2厅, 82.25,101885,838,54,6
公安大楼(徐汇),2室2厅, 99.56,93412,930,12,6
公安大楼(徐汇),2室2厅, 100.48,104499,1050,23,7
吴兴公寓,3室2厅, 157.82,86808,1370,69,8
复兴中路1248弄,2室1厅, 77.96,109031,850,81,13
吴兴路26号,1室1厅, 45.97,135959,625,50,10
景福苑,3室2厅, 133.9,125467,1680,13,7
兴国路229弄,2室1厅, 49.53,121139,600,48,6
公安大楼(徐汇),3室0厅, 98.25,99746,980,7,5
华亭路93弄,5室3厅, 239.2,192308,4600,20,16
景福苑,2室2厅, 133.13,123940,1650,9,4
音苑小区,3室0厅, 69.43,95060,660,55,5
乌中小区,2室0厅, 58.51,100838,590,6,6
华绮公寓,2室2厅, 99.19,90735,900,242,4
吴兴路30弄,3室1厅, 66.09,125001,826.2,14,4
高安路9弄,2室1厅, 56.01,103553,580,151,11
兴国路279号,1室1厅, 37.95,105402,400,59,4
伯乐大院,3室1厅, 91,131869,1200,22,3
五原小区,2室2厅, 83.6,107656,900,64,1
武康路280弄(公房),2室1厅, 58.49,99163,580,27,2
芝大厦,3室2厅, 182,89011,1620,52,4
淮海中路1270弄,2室1厅, 59.9,110184,660,39,4
乌中小区,2室1厅, 66.19,102735,680,7,1
五原路87弄,3室1厅, 78.4,127552,1000,10,3
伯乐大院,3室1厅, 91,131869,1200,22,3
兴国路279号,1室1厅, 37.95,105402,400,59,4
兴国花园,4室2厅, 193.1,129467,2500,50,4
兴国路229弄,2室1厅, 62,111291,690,14,3
长乐公寓,5室2厅, 305.57,81815,2500,151,6
永嘉大楼,2室1厅, 50,127000,635,15,7
芝大厦,3室2厅, 186.29,85888,1600,30,0
高安路18弄,2室1厅, 102,150000,1530,12,0
百安小区,2室1厅, 59.8,119566,715,2,0
久安小区,2室1厅, 59.89,149441,895,2,0
淮海中路1710弄,2室1厅, 71.47,100742,720,44,0
乌中小区,2室0厅, 59.72,100469,600,25,0
