CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
长桥三村,3室1厅, 70.02,61412,430,19,11
罗秀新村,2室2厅, 71.53,53125,380,19,7
长桥八村,1室1厅, 46.56,57990,270,20,6
罗秀二村,3室2厅, 83,51808,430,17,1
书香逸居,2室2厅, 81.16,91178,740,39,12
长桥三村,1室1厅, 44,51819,228,38,10
长桥一村,2室1厅, 64.31,74639,480,30,10
星罗苑,2室2厅, 96.03,89556,860,0,4
星罗苑,3室2厅, 132.93,90274,1200,36,7
长桥四村,2室0厅, 50.12,61653,309,6,10
书香逸居,2室2厅, 84.18,89095,750,32,6
长桥三村,2室0厅, 51.37,54507,280,5,1
书香逸居,3室2厅, 125.58,95557,1200,31,4
长桥五村,3室1厅, 69.52,81991,570,42,6
长桥八村,2室2厅, 92.69,52649,488,16,1
长桥三村,2室1厅, 58,62069,360,3,2
长桥八村,1室1厅, 46.56,61212,285,10,2
长桥四村,2室1厅, 51.32,60406,310,21,1
徐汇新城(公寓),2室2厅, 93.22,71873,670,10,2
长桥三村,2室1厅, 51.37,53534,275,64,2
长桥五村,1室1厅, 43.55,95293,415,14,3
长桥三村,2室1厅, 57.04,58731,335,14,4
长桥新村,2室0厅, 46.42,54934,255,32,0
长桥八村,1室1厅, 49.66,63432,315,2,0
长桥四村,2室1厅, 63.76,59913,382,6,0
长桥四村,2室1厅, 63.76,59599,380,5,0
罗秀新村,2室1厅, 71.53,55781,399,24,0
长桥四村,2室1厅, 58.34,61708,360,3,0
长桥三村,1室1厅, 44.39,56319,250,69,0
长桥四村,1室1厅, 38.77,63194,245,7,1
长桥一村,1室1厅, 38.8,97939,380,10,0
长桥四村,2室1厅, 69.24,49105,340,56,15
长桥五村,1室1厅, 43.55,88405,385,20,22
长桥四村,2室1厅, 51.32,55534,285,18,12
长桥三村,2室1厅, 57.12,49895,285,94,14
长桥四村,1室0厅, 41.96,56006,235,6,4
书香逸居,3室2厅, 122,94263,1150,4,8
书香逸居,3室2厅, 134.95,80030,1080,28,9
长桥四村,1室1厅, 47.69,56616,270,5,2
长桥三村,2室1厅, 55.68,62860,350,8,3
长桥五村,3室1厅, 69.76,83143,580,34,9
徐汇新城(公寓),2室2厅, 92.23,60718,560,48,8
书香逸居,3室2厅, 133.83,89666,1200,5,1
徐汇新城(公寓),3室2厅, 115.96,69421,805,12,3
长桥一村,2室1厅, 57.23,87367,500,6,5
长桥四村,2室1厅, 51.45,63169,325,7,8
长桥三村,1室1厅, 41.5,61446,255,24,19
长桥三村,1室1厅, 44.95,55618,250,9,4
徐汇新城(别墅),联排别墅, 4室,64029,1780,20,2
长桥三村,1室1厅, 37.32,54395,203,12,0
长桥八村,2室1厅, 82.72,59236,490,38,6
徐汇新城(公寓),4室2厅, 139.25,75979,1058,12,1
长桥一村,2室1厅, 69.47,64777,450,74,1
长桥三村,2室1厅, 57.44,52229,300,11,1
长桥四村,1室1厅, 42,60000,252,5,4
长桥新村,2室2厅, 64.47,56306,363,22,1
长桥六村,3室2厅, 111.16,67471,750,4,4
徐汇新城(公寓),2室2厅, 93.12,65507,610,17,2
星罗苑,3室2厅, 96.43,88666,855,26,2
罗秀二村,1室1厅, 40.11,51110,205,22,5
长桥四村,2室0厅, 58.62,64825,380,10,1
长桥一村,2室1厅, 66.75,70412,470,24,5
长桥三村,1室1厅, 43.94,61448,270,27,0
星罗苑,2室2厅, 96,88542,850,8,0
长桥四村,2室1厅, 60.84,62459,380,18,0
长桥三村,1室1厅, 44.46,50608,225,48,0
罗秀新村,2室1厅, 68,55148,375,7,0
长桥八村,1室1厅, 49.66,64439,320,7,0
长桥三村,1室1厅, 43.72,61757,270,2,0
长桥三村,1室1厅, 43.67,59538,260,0,0
长桥一村,3室1厅, 104.96,91464,960,6,0
罗秀新村,2室1厅, 71.71,52992,380,11,0
徐汇新城(公寓),2室2厅, 91.62,68763,630,47,1
长桥六村,2室1厅, 82.3,66829,550,33,1
长桥四村,1室1厅, 47.93,58002,278,4,3
书香逸居,2室2厅, 99.13,85746,850,1,0
罗秀新村,1室1厅, 43.8,54338,238,31,37
星罗苑,3室2厅, 111.8,89446,1000,0,1
长桥四村,2室0厅, 52.08,55492,289,18,16
徐汇新城(公寓),3室2厅, 106,70755,750,10,2
长桥四村,1室1厅, 46,59783,275,0,1
长桥八村,2室1厅, 72.39,53875,390,26,0
长桥八村,2室1厅, 81.33,61478,500,0,0
长桥八村,2室2厅, 82.36,66780,550,0,0
罗秀新村,1室1厅, 45.62,54582,249,2,0
长桥三村,1室1厅, 41.8,62201,260,13,12
长桥七村,2室1厅, 57.85,60329,349,3,0
罗秀新村,2室1厅, 41.81,63382,265,12,5
长桥四村,2室1厅, 64.13,62374,400,15,10
长桥四村,2室0厅, 51.42,62233,320,4,9
长桥三村,2室1厅, 58.8,60375,355,19,17
徐汇新城(公寓),2室2厅, 90,68334,615,43,18
徐汇新城(公寓),2室2厅, 90.06,69954,630,88,16
绿洲庭苑,2室2厅, 92.17,78117,720,18,2
长桥一村,2室1厅, 69.12,69445,480,3,3
长桥三村,1室1厅, 35.17,56867,200,3,2
长桥四村,2室1厅, 63.76,54894,350,15,3
长桥七村,2室1厅, 57.64,58987,340,26,7
罗秀二村,1室1厅, 39.67,56718,225,5,0
罗秀新村,2室1厅, 71.63,58635,420,0,0
长桥八村,2室1厅, 81.33,51642,420,38,8
书香逸居,3室2厅, 84.18,98361,828,13,6
长桥二村,3室0厅, 63.58,58195,370,3,1
长桥五村,2室1厅, 66.33,69351,460,42,10
长桥四村,2室1厅, 44.9,64588,290,19,10
长桥三村,2室1厅, 55.39,56870,315,10,14
长桥三村,2室1厅, 52.32,57340,300,31,9
长桥八村,1室1厅, 49.66,54370,270,16,6
长桥五村,1室1厅, 43.36,95711,415,6,6
罗秀二村,2室1厅, 52.23,53610,280,110,7
长桥四村,2室1厅, 58.64,57981,340,20,10
长桥五村,3室1厅, 69.76,84576,590,3,5
长桥七村,1室1厅, 44.01,61350,270,14,8
长桥四村,2室1厅, 52.59,58947,310,14,2
长桥四村,2室1厅, 58.64,55594,326,4,3
徐汇新城(公寓),2室2厅, 80,65000,520,24,2
长桥新村,2室1厅, 50.52,50476,255,55,5
长桥四村,2室1厅, 60.84,59172,360,7,4
长桥三村,2室1厅, 55.05,57221,315,9,2
长桥三村,1室1厅, 43.77,59402,260,1,3
罗秀新村,2室2厅, 71.99,58342,420,6,4
徐汇新城(公寓),3室2厅, 125.28,69126,866,15,3
徐汇新城(公寓),2室2厅, 80,65000,520,24,2
长桥新村,2室1厅, 50.52,50476,255,55,5
长桥二村,2室1厅, 48.54,55007,267,0,1
长桥四村,1室0厅, 41.14,52261,215,4,1
长桥二村,2室0厅, 49.2,59350,292,7,2
长桥二村,3室0厅, 63.58,51117,325,8,2
罗秀新村,2室1厅, 62.27,55404,345,9,2
长桥八村,2室1厅, 77.55,57383,445,5,2
长桥五村,2室1厅, 77.61,72800,565,4,1
罗秀新村,3室1厅, 84,58334,490,22,2
长桥新村,2室2厅, 79.27,56769,450,36,3
罗秀二村,1室0厅, 38.98,53874,210,19,1
长桥一村,2室1厅, 66.7,68216,455,15,1
长桥二村,2室0厅, 51.36,51597,265,24,3
长桥五村,2室1厅, 72.38,80133,580,16,1
长桥四村,2室0厅, 52.08,59524,310,19,1
罗秀新村,2室1厅, 63,57937,365,0,0
书香逸居,2室2厅, 96.14,98815,950,0,0
长桥八村,1室1厅, 46.01,58683,270,1,6
长桥四村,2室1厅, 67.95,55924,380,16,0
长桥一村,1室1厅, 47.89,93966,450,0,0
长桥八村,1室0厅, 40.1,58604,235,12,0
罗秀二村,1室1厅, 36.7,57221,210,7,0
长桥新村,1室1厅, 45.79,53506,245,2,0
长桥三村,2室1厅, 56.86,60676,345,2,0
长桥一村,1室1厅, 40.03,98926,396,17,0
长桥三村,1室0厅, 34.64,64377,223,9,0
长桥二村,2室1厅, 47.52,59975,285,5,0
长桥二村,2室1厅, 49.26,60902,300,6,0
罗秀二村,1室1厅, 36.7,57221,210,7,0
