CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
徐汇苑,4室2厅, 190.06,83132,1580,55,66
龙南五村,2室1厅, 67.68,60875,412,11,5
龙南五村,2室1厅, 69.9,60086,420,15,6
金龙花苑梅花园,2室2厅, 101.3,69102,700,33,25
龙华雅居,2室1厅, 74.58,71736,535,122,26
徐汇苑,2室2厅, 123.54,103611,1280,43,32
宛南一村,1室1厅, 41.27,73904,305,10,14
诸家宅小区,2室1厅, 64.31,71529,460,32,7
上缝小区,2室1厅, 58.12,62802,365,67,10
上缝小区,1室1厅, 42.08,73670,310,20,14
煤科公寓,2室0厅, 50.06,73912,370,2,1
东航小区,1室1厅, 33.94,75133,255,36,25
龙南六村,1室1厅, 51.85,58824,305,38,5
龙南三四村,2室2厅, 80,58500,468,43,20
龙南六村,2室1厅, 72.65,57537,418,19,5
盛大花园,2室2厅, 107.75,100233,1080,32,14
徐汇苑,2室2厅, 125.67,77983,980,12,11
三江小区,2室0厅, 54.44,84497,460,4,10
三江小区,2室0厅, 51.99,88479,460,32,9
汇龙花苑(徐汇),3室1厅, 97.11,72084,700,27,11
狮城花苑,3室1厅, 91.81,64046,588,26,10
龙南三四村,2室1厅, 62.66,59049,370,22,6
徐汇苑,3室2厅, 190.51,103932,1980,16,14
俞二小区,2室0厅, 47,70213,330,6,9
金龙花苑玫瑰园,1室1厅, 34.74,77721,270,21,6
徐汇苑,2室2厅, 125.67,91510,1150,30,12
龙南七村,2室1厅, 76.03,59188,450,25,7
龙南七村,2室1厅, 76.38,60226,460,55,7
腾王阁,2室2厅, 101.77,76644,780,43,10
徐汇苑,2室2厅, 125.67,91510,1150,30,12
保利星苑,2室2厅, 100.28,91744,920,25,9
丰三小区,2室1厅, 54.22,76541,415,3,1
周家湾小区,2室1厅, 61.06,63872,390,62,4
天龙苑,2室2厅, 83.34,68395,570,12,5
龙兆苑,3室2厅, 127.79,84514,1080,73,4
申航小区,2室0厅, 48.9,73620,360,6,5
煤科公寓,2室1厅, 70.2,72650,510,55,4
宛南五村,2室1厅, 48.05,82207,395,7,2
龙南五村,2室1厅, 59.78,60221,360,25,4
俞三小区,2室1厅, 71.94,59773,430,37,8
宛南五村,1室1厅, 39.31,76317,300,3,5
海波花苑,2室2厅, 86,73256,630,9,4
西雅图嘉萱苑,2室2厅, 115,92000,1058,7,2
协昌小区,1室1厅, 52.8,79546,420,3,1
上缝小区,2室1厅, 58.93,67538,398,13,3
龙南七村,3室0厅, 73.22,58728,430,6,1
金龙花苑梅花园,3室2厅, 119.5,77825,930,8,3
汇龙花苑(徐汇),3室1厅, 89,80338,715,14,2
西雅图嘉萱苑,2室2厅, 123.32,89199,1100,19,3
金龙花苑玫瑰园,2室1厅, 49.73,82446,410,5,1
狮城花苑,1室1厅, 43.19,68303,295,20,1
龙南七村,3室0厅, 69.8,57307,400,11,1
宛南五村,1室1厅, 48.74,80017,390,2,0
宛南华侨新村,3室2厅, 80.53,73265,590,21,0
强生花苑,2室2厅, 120,79000,948,6,0
天龙苑,2室1厅, 83.66,69329,580,15,0
上缝小区,3室2厅, 106.59,63327,675,23,0
宛南五村,1室0厅, 28.5,84211,240,17,13
协昌小区,1室1厅, 55.57,80979,450,5,1
宛南五村,1室0厅, 31.66,82123,260,7,6
上缝小区,1室1厅, 34.55,75254,260,4,3
海波花苑,2室0厅, 51.66,63880,330,13,2
宛南二村,2室1厅, 46.75,72728,340,13,35
天龙苑,2室1厅, 78.86,62136,490,153,28
协昌小区,2室1厅, 84.4,70854,598,18,54
龙南七村,2室1厅, 61.96,61008,378,79,19
俞三小区,2室1厅, 59.17,62532,370,12,0
龙南七村,2室1厅, 72.63,66089,480,25,9
龙南三四村,2室1厅, 62.66,59049,370,18,9
狮城花苑,2室1厅, 62.53,62371,390,27,5
金龙花苑梅花园,1室1厅, 58.99,74589,440,50,18
盛大花园,3室2厅, 146.98,85046,1250,63,19
宛南六村,2室1厅, 46.95,77956,366,3,19
徐汇御景苑,4室1厅, 127.54,84680,1080,55,13
申航小区,2室0厅, 46.41,67874,315,3,5
盛大花园,5室2厅, 213.91,85083,1820,102,19
上缝小区,2室1厅, 54.94,70987,390,17,17
上缝小区,2室1厅, 54.94,73717,405,14,14
三江小区,2室1厅, 54.44,82660,450,10,11
上缝小区,1室1厅, 38.56,66391,256,4,2
宛龙小区,2室0厅, 52.22,74302,388,5,13
周家湾小区,1室1厅, 41.48,66298,275,15,5
龙南三四村,2室1厅, 68.06,57303,390,28,11
海波花苑,1室1厅, 47.58,75663,360,10,8
狮城花苑,2室1厅, 58.14,67080,390,35,8
东安五村,2室1厅, 51.15,75269,385,8,1
俞三小区,2室1厅, 45.29,65799,298,58,1
龙漕路200弄,2室2厅, 90.23,69822,630,16,4
龙南三四村,1室1厅, 47.67,60835,290,10,2
梦蝶苑,3室2厅, 135,74000,999,33,4
三江小区,1室1厅, 44.83,88334,396,15,4
鑫龙苑,2室2厅, 107,70094,750,26,5
上缝小区,1室1厅, 39.14,76648,300,11,4
宛南五村,1室1厅, 40.44,76657,310,0,2
龙南三四村,2室1厅, 68.42,57001,390,13,2
