CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
愉景华庭,3室2厅, 108.13,73061,790,141,75
大华颐和华城(公寓),2室2厅, 113.11,61710,698,24,29
大华颐和华城(公寓),2室2厅, 110.41,64306,710,55,22
香泉小区,2室1厅, 68.38,53964,369,24,25
巴黎之春,2室2厅, 96.7,62048,600,98,46
万里雅筑,3室2厅, 147,70069,1030,37,39
中浩云花园,1室2厅, 59.45,75694,450,39,25
万里欣苑,2室2厅, 85.34,62105,530,184,28
香泉小区,2室1厅, 63.2,66456,420,17,37
中环锦园,2室2厅, 105.47,70163,740,10,29
金鼎公寓(普陀),3室2厅, 89.86,52304,470,138,9
岚灵小区,1室1厅, 50.09,49911,250,23,5
万里雅筑,3室2厅, 111.87,59713,668,102,22
中环花苑,2室2厅, 105.06,74244,780,20,14
交暨小区,1室2厅, 64.38,43492,280,45,3
愉景华庭,2室2厅, 105.58,67248,710,9,22
中环家园,3室2厅, 133.01,69995,931,16,19
杨家桥小区(普陀),1室1厅, 53.91,50084,270,75,4
杨家桥小区(普陀),2室1厅, 44,51819,228,30,1
巴黎之春,1室2厅, 70.25,72598,510,120,11
达安春之声,1室2厅, 67.73,81205,550,13,9
愉景华庭,3室2厅, 117.1,64902,760,93,11
巴黎之春,4室2厅, 181,48619,880,33,16
万里欣苑,2室1厅, 86,61628,530,117,15
万里真欣园,3室2厅, 115.03,59116,680,32,13
大华颐和华城(公寓),2室2厅, 106,59434,630,57,9
中浩云花园,3室2厅, 132.33,80103,1060,12,10
金鼎公寓(普陀),2室2厅, 95.62,58043,555,17,7
愉景华庭,2室2厅, 81.3,70111,570,94,15
中环花苑,3室2厅, 138.09,81831,1130,2,7
大华颐和华城(别墅),联排别墅, 5室,71675,1850,41,11
凯旋华庭,1室2厅, 80,78125,625,6,11
中环家园,3室2厅, 140,67858,950,17,13
金鼎公寓(普陀),2室2厅, 93.21,60080,560,2,5
万里名轩,3室2厅, 126.28,52265,660,14,2
香泉小区,3室1厅, 85.9,55297,475,49,8
杨家桥小区(普陀),2室1厅, 69.7,54520,380,70,5
杨家桥小区(普陀),2室1厅, 66.7,51725,345,34,4
大华颐和华城(公寓),2室2厅, 113,65930,745,6,3
杨家桥小区(普陀),2室1厅, 59.91,58421,350,4,2
巴黎之春,3室2厅, 151.64,61330,930,3,2
万里真金苑,3室2厅, 156.24,54404,850,18,2
万里双子座,2室1厅, 75.19,73149,550,36,3
中环锦园,2室2厅, 108.78,61593,670,36,5
万里一期,2室2厅, 107.44,60034,645,8,1
万里一期,2室2厅, 105.46,55946,590,0,1
香泉小区,2室1厅, 68.16,57219,390,30,1
万里双子座,2室2厅, 96.65,67253,650,30,4
万里真欣园,3室2厅, 119.78,54267,650,44,2
巴黎之春,2室2厅, 96.7,64116,620,39,4
大华颐和华城(公寓),3室2厅, 133.1,66116,880,23,4
万里双子座,3室2厅, 149.35,66823,998,7,1
大华颐和华城(公寓),5室2厅, 163,73620,1200,5,1
愉景华庭,4室2厅, 227.85,65833,1500,16,4
金华苑,3室3厅, 157.6,60787,958,0,0
中环锦园,2室2厅, 105.52,70129,740,18,0
交暨小区,2室1厅, 72.88,57629,420,8,0
金华苑,2室2厅, 96.63,64163,620,13,0
交暨小区,2室2厅, 86.88,54098,470,3,0
中环家园,3室2厅, 140.28,64158,900,13,5
达安春之声,1室2厅, 70.67,79950,565,2,0
万里欣苑,1室2厅, 61.92,72675,450,48,27
万里欣苑,2室2厅, 85.34,68550,585,133,120
万里一期,2室2厅, 106.77,55259,590,18,33
中环锦园,2室2厅, 101.24,70131,710,6,1
愉景华庭,2室2厅, 93.82,67150,630,83,83
万里真金苑,3室2厅, 156.24,49924,780,43,49
达安春之声,3室2厅, 122.33,76024,930,31,28
万里晶品苑,2室2厅, 91.29,67368,615,44,22
中环花苑,2室2厅, 105.6,70550,745,56,26
大华颐和华城(公寓),2室2厅, 95.12,80951,770,28,29
真华路36弄,3室2厅, 103.81,62615,650,97,31
万里名轩,1室1厅, 62.4,67308,420,13,10
愉景华庭,1室2厅, 62.27,72266,450,65,11
大华颐和华城(公寓),3室2厅, 121.03,70231,850,13,9
杨家桥小区(普陀),2室1厅, 67.94,55932,380,82,10
万里一期,2室2厅, 85.64,58968,505,21,10
中浩云花园,1室1厅, 59.45,72330,430,46,15
