CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
中远两湾城,2室2厅, 99.44,74920,745,108,47
中远两湾城,3室2厅, 147.55,65402,965,61,47
中远两湾城,3室2厅, 123.22,64113,790,255,43
中远两湾城,3室2厅, 157.67,69766,1100,40,44
中远两湾城,3室2厅, 141.63,69195,980,58,19
中远两湾城,2室2厅, 101.99,66674,680,110,75
中远两湾城,1室2厅, 62.76,78872,495,103,10
中远两湾城,3室2厅, 166.82,70735,1180,10,10
中远两湾城,2室2厅, 94.57,76135,720,67,7
中远两湾城,1室2厅, 59.65,84661,505,89,6
中远两湾城,3室2厅, 140.96,74490,1050,17,4
中远两湾城,2室2厅, 111.15,69276,770,19,2
中远两湾城,4室2厅, 164.53,72936,1200,40,4
中远两湾城,2室2厅, 123.74,70956,878,58,3
中远两湾城,2室2厅, 98.99,68694,680,154,0
中远两湾城,1室2厅, 61.51,86978,535,66,0
中远两湾城,3室2厅, 140.37,80146,1125,24,0
中远两湾城,1室2厅, 59.65,83488,498,136,55
中远两湾城,3室2厅, 122.25,76892,940,254,133
中远两湾城,1室2厅, 72.94,78147,570,96,118
友谊大楼,2室1厅, 74.56,61696,460,24,1
中远两湾城,2室2厅, 107.26,63398,680,187,45
中远两湾城,1室2厅, 69.56,81225,565,55,54
中远两湾城,1室2厅, 76.71,68440,525,53,38
中远两湾城,2室2厅, 110.35,72497,800,17,38
中远两湾城,3室2厅, 119.77,68465,820,81,25
中远两湾城,1室2厅, 90.72,71650,650,60,6
中远两湾城,3室2厅, 169.62,64851,1100,240,37
中远两湾城,3室2厅, 124.49,73902,920,42,21
中远两湾城,2室2厅, 105.67,69083,730,47,18
中远两湾城,2室2厅, 97.93,73522,720,25,14
中远两湾城,3室2厅, 141.96,72556,1030,41,21
中远两湾城,2室2厅, 105.67,73815,780,19,8
中远两湾城,2室2厅, 110.08,71312,785,16,18
中远两湾城,2室2厅, 117.8,65366,770,140,14
中远两湾城,1室2厅, 82.21,72984,600,44,14
中远两湾城,1室2厅, 74.64,81726,610,49,10
中远两湾城,2室2厅, 102.52,68280,700,49,213
中远两湾城,3室2厅, 130.71,70385,920,35,10
中远两湾城,1室2厅, 68.45,84734,580,13,8
中远两湾城,3室2厅, 130.71,66560,870,29,17
中远两湾城,3室2厅, 136.35,88009,1200,19,5
中远两湾城,2室2厅, 109.98,68195,750,24,20
中远两湾城,3室2厅, 140.68,67530,950,26,3
中远两湾城,1室2厅, 64.48,85298,550,78,2
中山北路1760弄,2室2厅, 71.69,62771,450,226,3
中远两湾城,2室2厅, 123.24,66537,820,47,2
中远两湾城,2室2厅, 108.72,64386,700,62,48
中远两湾城,3室2厅, 119.77,70970,850,26,11
中远两湾城,1室2厅, 73,76713,560,62,0
中远两湾城,3室2厅, 124.3,74015,920,23,0
中远两湾城,3室2厅, 135.18,69168,935,45,0
中远两湾城,3室2厅, 130.7,75593,988,9,0
中远两湾城,3室2厅, 147.38,66495,980,73,0
友谊大楼,2室1厅, 65.69,60893,400,70,0
中远两湾城,3室2厅, 117.41,72396,850,91,63
中远两湾城,4室2厅, 164,73171,1200,7,4
中远两湾城,2室2厅, 112.66,76336,860,23,11
中远两湾城,3室2厅, 124.69,72981,910,8,2
中远两湾城,1室2厅, 67.38,77917,525,33,65
中远两湾城,2室2厅, 97.62,70683,690,137,49
中远两湾城,1室2厅, 86.12,75477,650,24,1
中远两湾城,2室2厅, 100.4,71714,720,25,0
中远两湾城,2室2厅, 97.5,68513,668,17,1
中远两湾城,2室2厅, 103.44,62839,650,289,65
中远两湾城,3室2厅, 123.22,63302,780,4,0
中远两湾城,2室2厅, 103.44,67673,700,79,30
