CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
秋月枫舍,2室2厅, 100.23,81812,820,33,34
香溢花城(住宅),2室2厅, 105.71,81355,860,35,39
石光小区,3室1厅, 82.42,54599,450,31,9
太浜巷小区,2室1厅, 62.48,68823,430,17,17
石泉小区,2室0厅, 48.83,61029,298,26,12
光新苑,2室1厅, 59.18,59142,350,7,3
秋月枫舍,2室2厅, 104.55,80345,840,21,8
香溢花城(住宅),3室2厅, 143.22,82391,1180,19,11
石泉邮政大楼,2室2厅, 96.44,64808,625,9,11
太浜巷小区,2室1厅, 67.07,64858,435,12,8
宝钢公寓,2室2厅, 105.21,59881,630,8,8
石泉苑,2室2厅, 89.48,54761,490,105,6
石光小区,2室1厅, 68.79,63963,440,7,4
宝钢公寓,2室2厅, 102.08,58778,600,16,6
太浜巷小区,1室1厅, 40.04,68682,275,3,7
管弄五六街坊,1室1厅, 35.71,61608,220,14,4
童家桥小区,2室1厅, 50.01,60988,305,4,4
管弄三街坊,3室1厅, 74.61,62995,470,11,2
嘉富利大厦,3室2厅, 111.58,67217,750,30,5
秋月枫舍,2室1厅, 100.55,82348,828,18,4
宝钢公寓,3室2厅, 117.19,57173,670,12,5
管弄四街坊,1室1厅, 42.39,55674,236,14,1
石泉苑,1室1厅, 46.5,58065,270,28,3
秋月枫舍,3室2厅, 134.7,66816,900,33,7
石光小区,2室1厅, 56.99,61415,350,4,1
光新三村,1室1厅, 37.52,49308,185,28,4
管弄五六街坊,1室1厅, 40.73,57698,235,13,3
秋月枫舍,5室2厅, 160.57,80962,1300,42,3
秋月枫舍,2室2厅, 101.16,82049,830,53,2
秋月枫舍,2室2厅, 98,85715,840,0,1
光新苑,1室1厅, 33.5,62687,210,24,2
秋月枫舍,2室2厅, 96.96,90760,880,1,1
秋月枫舍,2室2厅, 104.55,81301,850,11,1
管弄五六街坊,1室1厅, 43.53,59729,260,6,1
太浜巷小区,2室1厅, 69,63044,435,7,3
石光小区,2室1厅, 58.77,60405,355,2,0
旬阳新村,1室1厅, 38.55,64851,250,5,0
大隆花苑,3室2厅, 122,64591,788,1,0
岚皋路300弄,2室0厅, 59.5,49580,295,18,0
管弄四街坊,1室1厅, 40.73,61380,250,8,0
光新路430弄,1室1厅, 42.59,58700,250,1,0
秋月枫舍,3室2厅, 121.28,72560,880,13,31
香溢花城(住宅),2室2厅, 121.3,80792,980,3,27
香溢花城(住宅),4室2厅, 173,79769,1380,51,28
石泉五村,2室1厅, 52.08,60484,315,7,22
管弄五六街坊,1室1厅, 40.11,59836,240,32,0
童家桥小区,1室1厅, 39.6,56314,223,9,7
嘉富利大厦,2室2厅, 96.7,59463,575,50,16
香溢花城(住宅),2室2厅, 89.29,89596,800,39,18
石泉路75弄,2室0厅, 46.11,63978,295,7,17
嘉富利大厦,2室1厅, 80.7,55515,448,84,19
秋月枫舍,1室1厅, 68.92,79803,550,64,22
管弄四街坊,1室1厅, 37.97,61891,235,13,15
管弄五六街坊,1室1厅, 41.53,62124,258,6,1
大隆花苑,3室2厅, 106.68,51088,545,139,6
石光小区,2室1厅, 65.5,64123,420,56,17
大隆花苑,3室2厅, 99.64,61221,610,8,2
香溢花城(住宅),2室2厅, 85.57,89985,770,25,13
秋月枫舍,1室1厅, 48.49,94865,460,26,12
秋月枫舍,2室1厅, 93.56,76956,720,55,14
香溢花城(住宅),3室2厅, 138.67,79326,1100,43,80
管弄三街坊,1室1厅, 35.27,59541,210,20,22
石泉路1号,2室1厅, 73.65,62458,460,13,9
嘉富利大厦,2室2厅, 96.7,60497,585,36,8
铁路新村(华池路),2室1厅, 60.26,54763,330,5,3
管弄一二街坊,2室1厅, 64.7,64915,420,23,5
太浜巷小区,2室1厅, 50.49,67341,340,3,2
石一小区,2室0厅, 53.78,55783,300,12,9
太浜巷小区,3室1厅, 81.17,65296,530,37,8
石泉一村,1室1厅, 47.15,60022,283,11,1
香溢花城(住宅),4室2厅, 167.85,89366,1500,14,2
管弄四街坊,2室0厅, 43.53,58581,255,36,1
香溢花城(住宅),5室3厅, 228.17,85463,1950,15,3
香溢花城(住宅),2室2厅, 135.19,81367,1100,10,1
管弄一二街坊,2室0厅, 51.06,53859,275,23,3
香溢花城(住宅),2室2厅, 103.13,80481,830,51,1
岚皋路300弄,2室1厅, 55,60910,335,23,2
香溢花城(住宅),3室2厅, 134.04,76843,1030,90,83
大隆花苑,2室1厅, 104.03,67097,698,9,0
管弄五六街坊,2室0厅, 43.53,58581,255,39,0
管弄三街坊,1室1厅, 35.27,59541,210,4,0
管弄三街坊,1室0厅, 35.27,58124,205,32,19
秋月枫舍,3室2厅, 264.39,52953,1400,14,0
石泉五村,2室1厅, 52.13,55631,290,39,0
香溢花城(住宅),2室2厅, 105.71,78517,830,36,69
岚皋大楼,2室1厅, 69.36,61996,430,27,33
香溢花城(住宅),1室2厅, 74.69,87027,650,40,36
管弄一二街坊,2室1厅, 50.13,60842,305,1,1
农林小区,1室1厅, 41.72,76702,320,2,0
太浜巷小区,2室1厅, 62.22,69914,435,16,48
石泉小区,1室1厅, 38.67,62064,240,0,21
嘉富利大厦,2室1厅, 80.76,55721,450,47,36
平民后村,2室1厅, 56.51,62821,355,1,0
宝钢公寓,3室2厅, 122.53,61210,750,4,0
太浜巷小区,1室1厅, 37.92,65929,250,10,22
石泉一村,1室0厅, 33.39,62894,210,12,24
管弄三街坊,1室1厅, 35.27,63794,225,18,19
光新大楼,1室1厅, 53.04,62218,330,33,41
管弄五六街坊,1室1厅, 32.64,64339,210,35,33
光新路129弄,1室0厅, 31,67742,210,81,35
岚皋路300弄,2室1厅, 58.55,58071,340,4,1
太浜巷小区,2室1厅, 64.42,65198,420,20,11
管弄一二街坊,2室1厅, 65.47,59570,390,11,9
石泉一村,1室1厅, 34.79,57488,200,8,11
管弄四街坊,1室1厅, 34.78,60380,210,4,11
管弄五六街坊,1室1厅, 41.53,58994,245,9,12
岚皋路300弄,2室0厅, 53.33,56254,300,37,7
秋月枫舍,2室2厅, 100.21,84323,845,20,21
管弄五六街坊,2室0厅, 44.21,59942,265,18,19
石一小区,1室1厅, 50.15,59821,300,3,1
光新路430弄,2室1厅, 60.63,65974,400,17,5
石一小区,1室1厅, 45.76,60097,275,121,19
石泉六村,2室0厅, 49.15,64090,315,3,0
