CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
五星公寓,2室2厅, 111.42,68211,760,9,6
花溪园,2室0厅, 52.65,66477,350,40,2
曹杨华庭,3室2厅, 144.72,69099,1000,48,11
曹杨五村(南杨园),2室1厅, 62.82,58581,368,41,9
万都花园(普陀),2室2厅, 111.47,71320,795,36,4
曹杨九村,2室0厅, 47.8,56904,272,83,7
五星公寓,2室2厅, 111.42,68211,760,8,6
梅岭苑,2室1厅, 73.66,59734,440,26,6
曹杨三村(兰岭园),1室0厅, 34.51,55057,190,115,19
曹杨五村(杏梅园),1室1厅, 40.83,64904,265,11,7
曹杨君悦苑,3室2厅, 153,69935,1070,13,1
万都花园(普陀),2室2厅, 111.86,69552,778,41,5
曹杨五村(芙蓉园),1室1厅, 40.87,59947,245,62,2
杏园,2室1厅, 62.18,64330,400,3,2
曹杨五村(南杨园),1室1厅, 38.94,65486,255,10,1
金梅园,3室1厅, 97.41,63649,620,28,2
曹杨三村(兰岭园),1室1厅, 45.03,64402,290,7,2
泰富苑,2室1厅, 79.58,66600,530,25,4
曹杨五村(杏梅园),1室1厅, 43.17,64860,280,12,3
曹杨三村(兰岭园),1室1厅, 44.27,59860,265,38,1
曹杨三村(兰岭园),2室2厅, 71.25,53334,380,104,3
五星公寓,3室2厅, 131.24,58672,770,11,1
曹杨五村(杏梅园),1室0厅, 43.17,62544,270,10,1
曹杨六村(兰溪园),2室1厅, 74.72,64240,480,14,2
西部秀苑,3室2厅, 139.32,63164,880,12,3
曹杨六村(兰溪园),1室1厅, 45.26,65179,295,25,0
曹杨三村,2室0厅, 48.39,61997,300,5,0
曹杨三村(兰岭园),1室1厅, 43.31,65805,285,6,0
曹杨五村(金岭园),2室1厅, 57.49,63490,365,17,0
万都花园(普陀),4室2厅, 136.4,65616,895,41,15
曹杨二村,2室1厅, 72.9,54596,398,69,11
曹杨五村(南杨园),3室1厅, 66,63637,420,10,1
沙田新苑,3室2厅, 143.12,71269,1020,4,0
棠浦路105号,1室1厅, 44.04,64487,284,1,0
梅岭苑,2室1厅, 73.66,61092,450,34,7
曹杨九村,2室1厅, 68.09,52284,356,127,9
曹杨三村(兰岭园),2室2厅, 88.08,61308,540,13,5
香山苑,3室2厅, 128.81,62884,810,31,5
安居兰庭,2室2厅, 88.81,91206,810,7,3
曹杨五村(金岭园),3室1厅, 72.36,67717,490,31,4
梅岭支路85弄,2室1厅, 53.2,63534,338,4,5
曹杨五村(杏梅园),1室1厅, 43.17,62544,270,10,1
梅岭苑,2室1厅, 67.04,67125,450,9,5
曹杨二村,2室0厅, 47.94,57990,278,32,6
