CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
桃浦七村雪松苑,1室1厅, 43.77,42267,185,112,25
恒盛鼎城华公馆,2室2厅, 82.67,64111,530,26,30
桃浦五村杜鹃苑,1室1厅, 42.59,44142,188,55,35
桃浦六村樱花苑,1室1厅, 44.91,39635,178,131,17
桃浦二村永汇新苑,2室1厅, 75.2,47607,358,11,2
桃浦六村绿春苑,2室1厅, 64.56,41048,265,79,20
桃浦四村易居紫荆苑,2室1厅, 59.87,44764,268,40,12
桃浦二村永汇新苑,2室2厅, 87.61,46799,410,27,17
桃浦七村雪松苑,2室1厅, 63.45,40978,260,24,14
桃浦三村石榴苑,2室1厅, 56.72,45840,260,34,8
桃浦六村绿春苑,2室1厅, 53.52,44844,240,48,11
桃浦九村,2室2厅, 76.82,46212,355,16,11
桃浦一村瑞香苑,1室1厅, 37.39,48142,180,25,9
桃浦四村易居紫荆苑,2室1厅, 54.19,44289,240,12,7
祥和星宇花园(公寓),2室2厅, 106.7,56233,600,18,11
安居金祁新城,1室1厅, 57.38,54898,315,21,7
桃浦一村合欢苑,1室1厅, 35,50000,175,36,11
桃浦一村(武威路1051弄),1室1厅, 36.98,49757,184,59,9
桃浦七村雪松苑,2室1厅, 54.98,43653,240,81,12
紫腾苑小区,2室1厅, 54.5,44037,240,223,9
桃浦新家园,2室2厅, 89.38,45425,406,9,5
明丰世纪苑,2室2厅, 100.26,55855,560,14,7
安达家园,2室2厅, 102.75,44769,460,42,1
安居金祁新城,1室1厅, 45.19,57535,260,66,6
桃浦西路443弄,3室2厅, 85.54,52607,450,64,3
祥和星宇花园(公寓),3室2厅, 100.11,56938,570,38,2
紫腾苑小区,2室1厅, 58.77,45942,270,183,7
桃浦五村迎春苑,2室1厅, 81.16,38813,315,52,8
阳光水岸苑,2室2厅, 93.45,46014,430,74,6
祥和星宇花园(公寓),3室2厅, 100.11,56938,570,38,2
桃浦新家园,2室2厅, 89.38,45425,406,9,5
安达家园,2室2厅, 102.75,44769,460,42,1
明丰世纪苑,2室2厅, 100.26,55855,560,14,7
紫腾苑小区,2室1厅, 58.77,45942,270,183,7
桃浦五村迎春苑,2室1厅, 81.16,38813,315,52,8
莲花公寓(普陀),2室1厅, 71.32,50477,360,98,1
祥和星宇花园(公寓),2室2厅, 111,59460,660,6,4
桃浦三村石榴苑,1室1厅, 51.99,46163,240,46,4
桃浦六村樱花苑,3室2厅, 93.16,41864,390,23,1
桃浦一村(武威路1051弄),2室1厅, 54.54,47122,257,4,3
桃浦四村易居紫荆苑,2室1厅, 58.5,42736,250,32,5
桃浦三村石榴苑,1室1厅, 48.56,44893,218,79,1
桃浦七村雪松苑,2室0厅, 50,48000,240,5,2
恒盛鼎城华公馆,2室2厅, 89.75,63510,570,13,3
恒盛鼎城华公馆,2室2厅, 89.92,67283,605,8,3
桃浦三村石榴苑,3室1厅, 92.55,45057,417,5,1
莲花公寓(普陀),2室1厅, 55,49091,270,9,1
杨桥第一小区,1室1厅, 43.61,53429,233,13,1
桃浦新家园,2室2厅, 80.75,49536,400,21,1
杨桥第一小区,2室1厅, 61.42,50473,310,44,2
桃浦六村绿春苑,2室1厅, 59.66,41905,250,16,4
阳光水岸苑,2室1厅, 98.86,46531,460,20,4
桃浦三村石榴苑,2室1厅, 66.78,45673,305,2,1
杨桥第一小区,2室1厅, 71.66,50238,360,18,2
桃浦五村迎春苑,2室1厅, 75.33,43808,330,8,2
桃浦新家园,3室2厅, 121.82,46791,570,3,0
桃浦二村永汇新苑,2室2厅, 82.44,46095,380,62,0
桃浦六村绿春苑,2室1厅, 64.2,44393,285,13,0
安达家园,3室3厅, 104.96,51925,545,10,0
桃浦二村永汇新苑,2室2厅, 82.44,46095,380,62,0
桃浦六村绿春苑,2室1厅, 64.2,44393,285,13,0
桃浦新家园,3室2厅, 121.82,46791,570,3,0
桃浦三村石榴苑,2室1厅, 67.96,38258,260,73,85
安居锦竹苑,2室1厅, 77.66,43137,335,73,60
安居金祁新城,2室1厅, 74.22,53894,400,1,3
桃浦七村雪松苑,1室1厅, 43.79,43389,190,25,2
荣和怡景园,2室1厅, 65.23,58256,380,98,69
桃浦七村雪松苑,2室1厅, 62.8,44586,280,1,3
紫腾苑小区,2室1厅, 53.93,41721,225,68,0
桃浦七村雪松苑,2室1厅, 54.92,43700,240,6,0
桃浦七村雪松苑,2室0厅, 48.44,46450,225,7,26
