CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
江南名庐,3室2厅, 146.53,81690,1197,31,19
大华清水湾,3室2厅, 150.41,82442,1240,66,60
新湖明珠城,2室2厅, 111.33,82638,920,60,28
地方天园,3室2厅, 122.73,70073,860,32,25
新湖明珠城,3室2厅, 140.46,78315,1100,72,9
曹家巷小区,2室1厅, 51.89,88650,460,10,17
隆德小区,1室1厅, 44.1,68028,300,37,16
新湖明珠城,2室2厅, 120.62,91196,1100,10,22
中宁大楼,2室1厅, 87.7,55873,490,205,12
新湖明珠城,4室2厅, 203,78818,1600,54,9
大华清水湾,3室2厅, 135.8,88366,1200,46,21
新湖明珠城,2室2厅, 116.09,75804,880,57,11
普陀四村,2室1厅, 50.08,68890,345,33,9
南光大楼,2室2厅, 95.52,61768,590,64,11
新湖明珠城,2室2厅, 111.33,80841,900,63,13
康泰公寓,2室2厅, 78.08,78382,612,120,16
新湖明珠城,2室2厅, 103.58,88821,920,26,12
芙蓉花苑,2室1厅, 93.8,84222,790,30,12
白大楼,2室2厅, 64.86,74006,480,6,17
光复新苑,3室2厅, 90.52,71808,650,17,2
武宁小城,2室2厅, 98,67347,660,3,7
中山北路3904弄,1室1厅, 47.24,65623,310,7,5
绿地世纪城(一期),2室2厅, 89.55,89224,799,46,13
绿地世纪城(二期),2室2厅, 90.61,83876,760,59,7
大华清水湾,4室2厅, 156.76,86119,1350,65,9
大华清水湾,2室2厅, 112.29,81931,920,24,7
新湖明珠城,2室2厅, 103.04,84434,870,21,14
南光大楼,2室2厅, 90.34,73058,660,3,6
锦绿新城,2室2厅, 104.5,76556,800,16,9
白玉大楼,2室1厅, 76.19,76126,580,22,5
新湖明珠城,1室2厅, 92.68,86319,800,25,6
中山北路2590号,2室1厅, 39.39,68546,270,22,4
逸流公寓,2室2厅, 92.25,89973,830,43,6
泰欣嘉园,3室2厅, 156.73,82946,1300,63,3
大华清水湾,3室2厅, 119.85,85107,1020,9,4
曹家巷小区,2室1厅, 72,76389,550,13,1
白玉大楼,1室1厅, 46.53,76940,358,13,2
泰欣嘉园,3室2厅, 160.36,93540,1500,3,7
燕宁苑,2室2厅, 118,93221,1100,4,0
逸流公寓,3室2厅, 134.46,89246,1200,15,4
绿地世纪城(二期),3室2厅, 133.19,90097,1200,7,1
锦绿新城,4室3厅, 190.99,51312,980,133,2
曹杨路280弄,1室1厅, 33.52,70108,235,47,2
中山北路2400弄,2室0厅, 50.68,78927,400,4,1
