CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
宜川六村,1室1厅, 43.37,47268,205,206,35
汪家井小区,2室1厅, 51.89,53961,280,305,25
西部名都花园,3室2厅, 143.81,58411,840,4,1
新泉大厦,2室2厅, 93.81,53300,500,13,12
新长小区,1室0厅, 35.02,52827,185,12,11
新宜小区,1室0厅, 34.53,52998,183,34,14
佳景公寓,3室1厅, 91.84,55750,512,46,12
西部名都花园,2室2厅, 111.56,62568,698,6,16
西部大楼,3室2厅, 108.9,50046,545,64,21
双山小区,1室1厅, 46.77,56661,265,55,10
平江盛世家园,2室1厅, 70.86,67740,480,20,23
新宜小区,2室1厅, 59.37,59963,356,10,18
南泉苑,2室1厅, 53.37,52464,280,48,16
子长小区,1室1厅, 41.24,55772,230,20,11
西部名邸,3室2厅, 158.56,75682,1200,4,2
西部大楼,2室1厅, 77,57143,440,48,19
合阳小区,1室0厅, 37.89,51465,195,16,1
汪家井小区,1室1厅, 42.37,59005,250,9,2
金原新苑,2室1厅, 81.54,57641,470,27,13
黄陵小区,1室1厅, 34.85,59398,207,25,8
新灵小区,2室1厅, 71.52,60823,435,36,15
延长小区(普陀),1室0厅, 33.88,56081,190,40,13
甘泉苑,2室1厅, 61.06,55683,340,21,12
章家巷小区,2室1厅, 58.65,57972,340,14,10
甘泉公寓,2室2厅, 80.34,54145,435,64,11
泰山二村,1室1厅, 40.22,57186,230,5,0
宜川五村,2室1厅, 54.83,51979,285,16,8
嘉华苑(普陀),2室1厅, 99.63,56208,560,22,6
甘泉公寓,2室1厅, 71.98,52793,380,81,6
汪家井小区,1室1厅, 45.57,50033,228,30,11
宜川五村,2室1厅, 57,57895,330,29,8
嘉华苑(普陀),2室1厅, 99.63,56208,560,22,6
甘泉公寓,2室1厅, 71.98,52793,380,81,6
宜川五村,2室1厅, 54.83,51979,285,16,8
新村路285弄,2室1厅, 54.91,56457,310,6,6
灵石小区,2室1厅, 68.87,63889,440,33,9
平利路38弄,2室1厅, 66.74,56189,375,19,11
甘泉二村,2室0厅, 48.15,58152,280,14,6
甘泉三村,1室1厅, 40.36,50793,205,38,7
汪家井小区,2室0厅, 48.67,58558,285,29,8
新宜小区,1室1厅, 41.03,49964,205,17,7
章家巷小区,1室1厅, 46.21,58429,270,11,8
银都佳园,2室2厅, 90.26,59606,538,26,7
众源公寓,3室2厅, 94.27,58344,550,17,6
西部大楼,2室1厅, 78.06,60211,470,17,8
子长小区,2室1厅, 58.6,60581,355,2,6
西部大楼,3室2厅, 144.49,53983,780,23,8
甘泉三村,2室1厅, 72.87,57637,420,16,4
甘泉三村,2室1厅, 56.54,56598,320,10,4
汪家井小区,1室0厅, 38.19,61535,235,13,6
甘泉三村,1室0厅, 28.73,57780,166,44,1
汪家井小区,2室1厅, 50.9,51081,260,51,5
天成小区,2室1厅, 81.01,54932,445,12,7
宜川四村,1室1厅, 43.63,51112,223,5,4
甘泉苑,2室1厅, 52.59,56475,297,65,7
甘泉苑,2室1厅, 51.35,60371,310,11,5
灵石小区,2室1厅, 66.65,60016,400,6,6
新宜小区,1室1厅, 41.14,57123,235,42,5
东泉苑小区,2室1厅, 58.27,58006,338,52,6
章家巷小区,1室1厅, 48.17,56052,270,2,2
黄陵小区,1室0厅, 32.91,59253,195,16,7
嘉华苑(普陀),2室2厅, 97.01,61850,600,12,1
新村路285弄,2室1厅, 52.8,51137,270,26,3
合阳小区,1室1厅, 38.28,60084,230,17,6
汪家井小区,1室1厅, 39.7,56676,225,8,7
延长小区(普陀),1室1厅, 34.53,57921,200,141,3
南泉苑,2室1厅, 48.93,61313,300,1,2
桃苑,2室1厅, 85.41,59712,510,10,2
天成小区,2室1厅, 80.96,56819,460,35,4
宜川五村,2室1厅, 66.45,54929,365,18,2
章家巷小区,1室1厅, 36.8,58424,215,6,4
东泉苑小区,2室1厅, 58.27,58006,338,52,6
东泉苑小区,2室1厅, 49.69,58362,290,9,5
双山小区,1室1厅, 47.66,58750,280,12,2
泰山三村,2室1厅, 56.23,58688,330,20,4
新村路350弄,2室1厅, 73.62,62891,463,4,3
泰山一村,2室0厅, 44.98,62028,279,3,1
