CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
阳光威尼斯(四期)(公寓),2室2厅, 97,50516,490,26,29
阳光威尼斯(一期),2室1厅, 78.64,47686,375,97,32
阳光威尼斯(一期),3室2厅, 119.08,50387,600,39,33
真光新村第二小区,1室1厅, 47.4,52743,250,9,31
清涧八街坊,2室1厅, 55.61,54847,305,13,45
阳光威尼斯(一期),3室2厅, 128.03,46865,600,17,38
中鼎豪园,2室2厅, 96.49,57001,550,30,29
阳光威尼斯(四期)(公寓),2室2厅, 97.28,47801,465,83,17
阳光威尼斯(三期),2室2厅, 99.83,47081,470,114,29
真光七街坊,1室0厅, 36.28,52371,190,20,10
真光七街坊,1室1厅, 50.81,53140,270,12,12
真光第四小区,1室1厅, 50.07,49931,250,2,14
阳光威尼斯(四期)(公寓),2室2厅, 116.57,48040,560,2,6
清涧七街坊,1室1厅, 49.16,53296,262,10,6
阳光威尼斯(二期),2室2厅, 116.25,51613,600,13,11
阳光威尼斯(三期),2室2厅, 96.56,53335,515,33,18
阳光威尼斯(三期),2室2厅, 91.15,49918,455,43,14
阳光威尼斯(三期),1室2厅, 74.74,49372,369,8,13
真光九街坊,3室1厅, 71.4,56723,405,19,17
阳光威尼斯(三期),3室2厅, 113.13,46407,525,47,24
阳光威尼斯(三期),1室2厅, 75.54,50967,385,19,14
阳光威尼斯(四期)(公寓),3室2厅, 130.84,51820,678,52,22
上海家园,2室2厅, 97.3,51388,500,103,11
真光新村第二小区,3室1厅, 88.28,53240,470,18,11
阳光威尼斯(三期),2室2厅, 95.19,52527,500,24,15
清涧二街坊,3室1厅, 69.82,52278,365,25,12
真光新村第五小区,2室1厅, 63.08,54693,345,9,14
清涧三街坊,2室1厅, 85.96,45370,390,104,5
真光新村第五小区,2室1厅, 68.56,50467,346,19,3
真光新村第五小区,2室1厅, 65.13,49133,320,5,0
真光新村第五小区,1室1厅, 49.4,53239,263,3,0
真光九街坊,1室1厅, 45.19,54880,248,17,6
清涧三街坊,2室1厅, 82.7,45345,375,9,8
真光第四小区,3室1厅, 89.7,50725,455,17,5
阳光威尼斯(四期)(公寓),3室2厅, 127.55,53313,680,9,7
清涧三街坊,2室1厅, 82.7,45950,380,24,5
阳光威尼斯(一期),2室2厅, 99.3,47835,475,22,6
香樟苑(普陀),2室1厅, 62,50000,310,7,7
阳光威尼斯(二期),1室2厅, 78.44,52270,410,3,5
清涧三街坊,3室2厅, 99.78,48607,485,80,7
中鼎豪园,2室2厅, 92.75,56065,520,87,7
阳光威尼斯(四期)(公寓),3室2厅, 118,51695,610,27,7
真光第四小区,2室1厅, 70.33,58297,410,5,5
阳光威尼斯(二期),3室2厅, 126.06,49977,630,10,7
真光第四小区,1室1厅, 52.08,48964,255,15,5
阳光威尼斯(二期),1室2厅, 76.41,52350,400,9,1
阳光威尼斯(二期),2室2厅, 93.21,51497,480,10,4
阳光威尼斯(三期),2室2厅, 90.39,48125,435,7,5
上海家园,3室2厅, 125.13,54983,688,14,4
真光新村,3室1厅, 92.74,60384,560,10,5
阳光威尼斯(三期),2室2厅, 93.25,47185,440,46,5
真光九街坊,1室1厅, 41.32,53243,220,3,1
上海家园,2室2厅, 94,52128,490,33,6
昆仑花苑,2室1厅, 73.61,47548,350,9,1
清涧四街坊,3室2厅, 126.14,45981,580,55,2
真情公寓,3室2厅, 143.65,66133,950,10,1
阳光威尼斯(一期),2室2厅, 97.97,47974,470,22,1
阳光威尼斯(一期),2室2厅, 101.19,50401,510,10,3
阳光威尼斯(一期),2室2厅, 100.25,50873,510,31,3
清涧六街坊,2室1厅, 60,53667,322,14,2
真光新村第二小区,1室1厅, 46.16,54160,250,1,1
中鼎豪园,3室2厅, 137.95,53643,740,18,2
海普苑,2室2厅, 97.47,66688,650,8,2
清涧四街坊,2室1厅, 69.16,49162,340,58,2
海普苑,2室2厅, 106.7,69354,740,11,4
真光八街坊,1室1厅, 50.68,47356,240,22,0
阳光威尼斯(三期),2室2厅, 92.93,53697,499,13,82
真光第四小区,2室1厅, 66.64,51771,345,3,0
昆仑花苑,1室1厅, 47.43,53764,255,4,0
清涧七街坊,2室1厅, 61.6,48377,298,10,0
佳祥公寓,2室1厅, 82.66,47182,390,10,0
阳光威尼斯(一期),2室2厅, 101.66,50168,510,1,0
阳光威尼斯(二期),2室2厅, 83.07,54172,450,7,0
清涧四街坊,1室1厅, 54.53,49515,270,0,0
清涧三街坊,2室1厅, 83.53,51479,430,1,0
阳光威尼斯(二期),1室2厅, 78.44,47808,375,34,84
阳光威尼斯(四期)(公寓),3室2厅, 119.04,49984,595,99,101
阳光威尼斯(一期),3室2厅, 117.87,50904,600,10,26
清涧八街坊,2室1厅, 53,50755,269,21,60
阳光威尼斯(一期),2室2厅, 97.62,50707,495,13,53
阳光威尼斯(三期),3室2厅, 108.79,49178,535,2,1
阳光威尼斯(三期),3室2厅, 115.24,50330,580,49,28
阳光威尼斯(三期),2室2厅, 98.68,52696,520,35,29
真光第四小区,2室1厅, 72.35,53629,388,17,27
真光第四小区,2室1厅, 70.97,54249,385,2,11
阳光威尼斯(三期),2室2厅, 91.51,49722,455,21,23
阳光威尼斯(四期)(公寓),2室2厅, 95.17,50437,480,56,19
阳光威尼斯(三期),2室2厅, 98.68,51176,505,11,1
真光新村第五小区,1室1厅, 51.19,47471,243,10,4
阳光威尼斯(三期),2室2厅, 98.68,51176,505,11,1
阳光威尼斯(四期)(别墅),联排别墅, 4室,71005,1280,72,21
阳光威尼斯(二期),2室2厅, 81.83,51937,425,26,19
时代星园,2室2厅, 96.6,63147,610,33,17
真光第四小区,1室1厅, 52,50000,260,7,3
真光新村第五小区,2室1厅, 60.32,56367,340,7,9
真光八街坊,1室1厅, 49.5,47475,235,7,8
阳光威尼斯(三期),3室2厅, 111.83,49182,550,42,12
真光八街坊,1室1厅, 49.82,50181,250,18,13
阳光威尼斯(三期),2室2厅, 86.2,52205,450,9,52
阳光威尼斯(一期),2室1厅, 78.64,47686,375,34,64
阳光威尼斯(四期)(公寓),2室2厅, 82.42,48532,400,142,109
真光九街坊,1室1厅, 42,54762,230,2,2
阳光威尼斯(二期),2室1厅, 76.52,50314,385,35,8
阳光威尼斯(一期),2室2厅, 91.79,52294,480,10,6
真光九街坊,1室1厅, 37.39,52153,195,21,8
清涧六街坊,1室2厅, 45.35,51820,235,40,9
阳光威尼斯(二期),2室1厅, 76.41,54313,415,11,7
真光新村第五小区,1室1厅, 45.46,53014,241,8,4
阳光威尼斯(四期)(公寓),3室2厅, 119.18,52190,622,3,5
阳光威尼斯(二期),3室2厅, 125.69,50124,630,39,14
清涧四街坊,2室1厅, 71,54930,390,10,5
真光七街坊,2室1厅, 55.05,52680,290,53,4
清涧二街坊,2室1厅, 63.52,49591,315,36,4
佳祥公寓,2室1厅, 112.09,57990,650,1,2
阳光威尼斯(三期),2室2厅, 93.25,43432,405,40,4
阳光威尼斯(四期)(别墅),联排别墅, 5室,72290,1800,32,7
清涧四街坊,2室1厅, 70.85,54341,385,3,1
海普苑,2室2厅, 106.38,69562,740,6,4
