CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
车站新村(普陀),2室1厅, 70.38,53283,375,110,38
车站新村(普陀),2室1厅, 83.59,54433,455,32,54
市政馨苑,2室1厅, 74.93,66729,500,49,33
曹杨五月天,2室2厅, 92.67,59351,550,104,44
星河世纪城,2室2厅, 100.82,64472,650,76,41
星河世纪城,3室2厅, 138.86,59773,830,51,18
海棠苑,2室1厅, 72.97,53173,388,61,10
颐宁苑,3室2厅, 152.89,58539,895,7,4
绿洲公寓,1室1厅, 57.85,62230,360,19,16
真北二街坊,2室1厅, 54.67,61826,338,16,9
上海星港,3室2厅, 127.57,68198,870,105,13
阳光西班牙,2室2厅, 90.67,77204,700,22,15
水塘小区,2室2厅, 60.42,64549,390,21,9
星河世纪城,2室2厅, 99.45,60332,600,68,14
品尊国际,4室2厅, 172.69,89757,1550,7,4
曹杨五月天,3室2厅, 139.61,61601,860,18,9
星河世纪城,2室2厅, 114.59,63706,730,6,6
曹杨新苑,2室1厅, 68.67,57522,395,175,6
曹杨五月天,3室2厅, 124.2,56200,698,69,10
品尊国际,1室2厅, 77.14,97226,750,17,9
曹杨新苑,3室1厅, 109.1,53163,580,55,11
品尊国际,2室2厅, 94.09,93315,878,11,2
海棠苑,2室1厅, 67.38,51945,350,23,3
曹杨花苑,2室2厅, 121.59,46057,560,48,2
曹杨五月天,3室2厅, 119.87,65738,788,15,4
芝川新苑,3室2厅, 131.03,61818,810,10,3
真如西村,2室1厅, 60.07,49942,300,20,1
星河世纪城,2室2厅, 108.8,65258,710,6,3
真北一街坊,1室1厅, 39.63,58037,230,19,3
车站新村(普陀),1室1厅, 69.38,59816,415,3,1
曹杨五月天,3室2厅, 118.91,63073,750,23,5
颐宁苑,2室2厅, 116.82,65828,769,10,1
真北二街坊,2室1厅, 73.52,56448,415,6,5
绿翡翠家园,2室2厅, 89.66,61343,550,77,1
真北二街坊,2室1厅, 59.85,53468,320,17,4
曹杨八村,1室1厅, 42.03,59482,250,9,1
海棠苑,3室2厅, 140.62,64003,900,6,1
颐宁苑,2室2厅, 113.4,61553,698,10,1
天赐苑,3室2厅, 130.39,69714,909,19,2
中亚公寓,2室2厅, 92.44,48140,445,27,2
真北新村三街坊,2室2厅, 74.76,57518,430,27,2
宁泉新苑,3室2厅, 115.4,62392,720,21,2
真如西村,2室1厅, 43.24,58974,255,30,1
樱花苑,2室1厅, 59.6,62081,370,6,2
岚皋西路95弄,2室1厅, 47.96,65680,315,1,1
品尊国际,3室2厅, 142.75,90228,1288,19,0
车站新村(普陀),3室1厅, 78.12,55044,430,27,0
水塘小区,1室1厅, 35.56,61868,220,7,0
真西新苑,5室2厅, 168.35,59401,1000,5,0
水塘小区,2室1厅, 58.99,65266,385,4,0
天赐苑,2室2厅, 114.45,67279,770,4,0
星河世纪城,2室2厅, 98.86,63727,630,55,0
真如西村,1室0厅, 41.39,57986,240,3,0
石岚三村,1室1厅, 43,59768,257,6,0
石岚二村,2室1厅, 91.48,63949,585,1,0
曹杨八村,1室1厅, 41.52,74663,310,3,0
真北新村三街坊,2室1厅, 81.97,54899,450,4,0
实地公寓,2室1厅, 83,70482,585,6,0
北石路440弄,1室1厅, 44.32,56408,250,2,0
品尊国际,3室2厅, 125.42,91692,1150,0,1
品尊国际,2室2厅, 101,88614,895,10,2
石岚三村,1室0厅, 37.95,56654,215,7,2
真如西村,1室0厅, 34.88,63074,220,0,1
曹杨八村,1室0厅, 30.22,62873,190,7,1
樱花苑,2室1厅, 59.42,62269,370,1,0
水塘小区,1室0厅, 32.93,66202,218,3,0
信仪新村,1室2厅, 45,56667,255,3,0
海棠苑,2室1厅, 66.8,53893,360,19,28
曹杨花苑,3室2厅, 86.6,58892,510,96,31
真如西村,1室1厅, 39.92,58868,235,14,21
天赐苑,2室2厅, 111.73,58176,650,150,8
岚皋西路45弄,1室0厅, 32.34,60297,195,38,15
品尊国际,2室2厅, 107.39,86601,930,31,18
曹杨八村,2室1厅, 76.58,62680,480,9,4
真北新村三街坊,2室1厅, 57.87,51841,300,138,21
品尊国际,2室2厅, 126.42,90967,1150,20,14
品尊国际,2室2厅, 101.84,88865,905,16,12
宁泉新苑,2室2厅, 89.92,67283,605,5,4
真北新村三街坊,2室1厅, 57.87,53569,310,41,6
曹杨五月天,1室2厅, 70.94,60615,430,36,7
品尊国际,3室2厅, 126,89683,1130,2,6
岚皋馨苑,2室2厅, 80.7,69393,560,22,8
市政馨苑,2室2厅, 73.18,64226,470,46,7
水塘小区,2室1厅, 56.53,56608,320,59,9
车站新村(普陀),2室1厅, 61.75,57490,355,5,7
品尊国际,3室2厅, 125.42,87706,1100,20,5
品尊国际,2室2厅, 126,89683,1130,8,4
星河世纪城,2室1厅, 75.43,73976,558,63,4
车站新村(普陀),1室1厅, 53.61,52230,280,6,2
品尊国际,2室2厅, 126,89683,1130,8,4
真北新村三街坊,2室1厅, 71.99,53480,385,36,3
上海星港,3室2厅, 126.46,72751,920,37,4
绿洲公寓,1室2厅, 52.81,60595,320,14,2
真北新村三街坊,1室1厅, 40,57500,230,28,2
曹杨五月天,3室2厅, 121.46,61749,750,48,6
曹杨八村,1室0厅, 31.79,62913,200,7,10
水塘小区,1室1厅, 39.83,61512,245,22,1
品尊国际,2室2厅, 102.07,84256,860,4,1
海棠苑,2室2厅, 115.01,45214,520,86,2
真北新村三街坊,1室1厅, 45.47,57181,260,14,1
阳光西班牙,3室3厅, 150,80000,1200,24,2
海棠苑,3室1厅, 85.77,57130,490,42,2
真如西村,1室1厅, 38.76,61920,240,6,2
三源路162弄,2室1厅, 70.11,54201,380,31,4
牡丹新苑,3室2厅, 114.66,61923,710,34,1
宁泉新苑,2室2厅, 68.59,67503,463,30,2
曹杨八村,1室1厅, 31.2,60898,190,8,3
真如西村,2室1厅, 43.24,54348,235,61,5
金鼎花苑,3室2厅, 134.86,61546,830,19,6
车站新村(普陀),2室1厅, 70.38,51151,360,179,4
星河世纪城,3室2厅, 138.7,59842,830,86,3
曹杨家园,1室2厅, 91.66,58696,538,17,0
中关村公寓,3室2厅, 142.08,80941,1150,1,0
品尊国际,3室2厅, 153.16,88144,1350,33,0
海城公寓,2室2厅, 115,54783,630,4,0
兰溪路231弄,1室1厅, 41.2,60680,250,16,0
兰溪公寓,1室1厅, 54.07,59183,320,2,0
车站新村(普陀),2室1厅, 59.89,59276,355,3,0
岚益公寓,2室2厅, 80,71000,568,0,0
中关村公寓,3室2厅, 142.08,80941,1150,1,0
阳光西班牙,2室2厅, 103.6,79151,820,19,3
曹杨新苑,3室2厅, 111.72,57287,640,15,2
信仪新村,1室1厅, 42.06,54684,230,11,5
真如西村,1室0厅, 33.26,61636,205,3,1
真如西村,2室1厅, 60.33,53042,320,33,0
颐宁苑,3室2厅, 152.39,65622,1000,3,0
车站新村(普陀),2室1厅, 85,56471,480,68,0
星光域,4室2厅, 218,100918,2200,1,1
车站新村(普陀),1室0厅, 38.24,56224,215,18,9
曹杨八村,1室0厅, 31.85,64993,207,10,2
水塘小区,1室0厅, 32.93,63772,210,1,0
曹杨花苑,2室1厅, 70.61,60898,430,1,1
星河世纪城,2室2厅, 115.88,58682,680,133,48
车站新村(普陀),1室0厅, 32.02,60900,195,81,72
南大街22弄,2室0厅, 46.03,58658,270,38,23
岚皋馨苑,2室2厅, 80.7,69393,560,3,1
品尊国际,2室2厅, 95.56,91043,870,8,2
绿洲公寓,2室1厅, 103.03,51927,535,24,33
真北一街坊,2室1厅, 58.26,59218,345,26,29
星河世纪城,5室2厅, 115.82,63029,730,169,45
石岚二村,2室2厅, 91.48,60123,550,0,0
市政馨苑,3室1厅, 93.2,65988,615,2,0
真西驰骋苑,2室2厅, 66.2,65710,435,5,0
真西新村第二小区,2室1厅, 57.37,64494,370,0,0
阳光西班牙,2室2厅, 90.67,76101,690,97,25
车站新村(普陀),3室1厅, 66.1,54463,360,33,24
真北新村三街坊,1室1厅, 45.47,51683,235,42,26
星河世纪城,2室2厅, 99.23,61272,608,112,36
市政馨苑,2室1厅, 75.37,69657,525,4,0
真北二街坊,2室0厅, 53.36,58096,310,7,17
海棠苑,2室1厅, 66.94,54527,365,29,8
车站新村(普陀),3室1厅, 85,50000,425,54,15
水塘小区,2室1厅, 60.44,62873,380,7,9
星光域,5室3厅, 252,106350,2680,1,0
天赐苑,3室2厅, 143.73,63314,910,8,0
品尊国际,3室2厅, 142.73,84075,1200,14,6
真北一街坊,2室1厅, 54.64,59481,325,12,16
阳光西班牙,2室1厅, 86.82,74868,650,34,8
品尊国际,3室2厅, 153.43,86685,1330,18,21
车站新村(普陀),1室1厅, 45.83,57823,265,22,18
真北一街坊,1室1厅, 39.96,56807,227,10,13
石岚三村,1室1厅, 37.25,57719,215,6,3
品尊国际,2室2厅, 95.89,86558,830,57,18
