CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
苏堤春晓名苑,3室2厅, 130.31,86717,1130,52,28
澳门公寓,3室2厅, 109.24,64080,700,110,35
恒达公寓,2室2厅, 113.68,64216,730,57,43
日月星辰,3室2厅, 160.72,68443,1100,64,26
世纪之门,2室1厅, 60.24,74702,450,79,56
大上海城市花园,2室2厅, 110.58,83198,920,16,8
同德公寓,2室2厅, 95.73,71869,688,104,22
日月星辰,3室2厅, 160.72,71554,1150,77,17
上青佳园,2室2厅, 108.02,79430,858,13,12
河滨围城,3室2厅, 200.9,67099,1348,37,22
世纪之门,2室2厅, 91.4,77681,710,45,17
澳门小区,1室1厅, 28.9,103807,300,9,6
圣骊澳门苑,3室2厅, 138.7,78443,1088,23,9
汇丽花园,2室2厅, 116.74,76238,890,15,6
半岛花园,4室2厅, 223.37,71631,1600,25,10
苏堤春晓名苑,3室2厅, 187.97,77140,1450,38,13
澳门公寓,2室2厅, 99.07,72475,718,16,15
上海知音苑,2室2厅, 117.96,84775,1000,16,14
乐活居,1室2厅, 68.51,99256,680,21,11
绿洲城市花园,2室2厅, 90.58,88320,800,9,10
乐怡苑(普陀),1室1厅, 36.93,73112,270,116,8
上青佳园,3室2厅, 123.28,74627,920,80,9
云都苑,2室2厅, 104.1,68204,710,31,9
苏堤春晓名苑,3室2厅, 145.93,84150,1228,20,8
大上海城市花园,3室2厅, 133.71,86008,1150,116,10
长久大厦,3室1厅, 103,79612,820,7,6
宗鑫公寓,2室2厅, 99.61,66259,660,52,4
苏堤春晓名苑,2室2厅, 116.62,85749,1000,28,6
正红里,2室1厅, 47.5,107369,510,5,7
河滨围城,2室2厅, 121.46,82332,1000,36,5
德怡苑,2室1厅, 59.63,75466,450,41,5
世纪之门,2室2厅, 105.69,71909,760,10,3
玉佛城,3室2厅, 139.03,71927,1000,5,7
上海本色,2室2厅, 127.44,62775,800,13,1
宝华雅苑,3室2厅, 154.56,87345,1350,4,2
康怡苑,2室1厅, 68.17,73347,500,9,2
澳门小区,2室0厅, 52.51,95030,499,2,1
德怡苑,2室1厅, 46.6,70816,330,15,2
