CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
金沙雅苑(四期),2室2厅, 89,80338,715,21,40
新长征花苑,2室1厅, 64.96,59268,385,72,47
祥和名邸(公寓),3室2厅, 131.22,59443,780,53,39
嘉云苑,2室1厅, 63.98,56893,364,14,24
金沙雅苑(二期),2室2厅, 87.48,72017,630,20,12
金沙雅苑(二期),3室2厅, 109,68716,749,60,17
振光大厦,3室1厅, 124.55,44962,560,5,0
朝霞新苑,3室2厅, 123.97,50819,630,67,16
真源小区,1室2厅, 56.14,57001,320,27,16
东旺公寓,2室2厅, 85.84,60578,520,23,16
金沙雅苑(一期),2室2厅, 94.35,65501,618,44,15
金沙雅苑(三期),1室2厅, 68.8,75582,520,14,12
嘉云苑,2室1厅, 66.52,53819,358,32,9
金沙雅苑(四期),2室2厅, 92.83,75192,698,36,8
金沙雅苑(四期),2室2厅, 94.74,71248,675,59,19
嘉云苑,1室1厅, 47,53405,251,13,18
绿洲湖畔花园,1室2厅, 71.04,77422,550,11,8
东旺公寓,2室1厅, 63.9,56339,360,13,1
祥和名邸(公寓),3室2厅, 140.92,60176,848,19,11
金沙雅苑(四期),3室2厅, 128.1,69868,895,23,12
新长征花苑,2室1厅, 63.6,61007,388,11,9
真源小区,3室2厅, 110.56,58702,649,58,7
泰宸苑,2室2厅, 72.56,54438,395,101,6
梅川四街坊,1室1厅, 44.37,64233,285,32,7
运旺新村阳光世家,2室1厅, 72,48612,350,48,8
建德花园牡丹苑,3室2厅, 145.15,55116,800,61,10
祥和名邸(公寓),3室2厅, 135.14,53279,720,18,7
象源丽都,2室2厅, 108.19,73020,790,29,6
真源小区,2室1厅, 66.95,64228,430,19,7
梅川四街坊,1室1厅, 44.37,64233,285,32,7
运旺新村阳光世家,2室1厅, 72,48612,350,48,8
建德花园玫瑰苑(公寓),2室2厅, 94.45,57703,545,17,2
嘉云苑,2室1厅, 66.54,51999,346,24,3
金沙雅苑(四期),3室2厅, 125.35,74831,938,24,1
金沙雅苑(四期),2室2厅, 108.79,68941,750,22,2
泰宸苑,2室2厅, 82.93,59328,492,9,6
新长征花苑,2室1厅, 65.55,59497,390,17,2
祥和家园,3室2厅, 131.7,59985,790,7,4
