CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
怒江苑,2室2厅, 77.29,67021,518,122,36
海鑫公寓,3室1厅, 98.85,55640,550,69,29
长风二村风荷园,2室1厅, 46,68479,315,17,13
桂巷新村,3室1厅, 64.56,63507,410,7,5
梅川二街坊,2室1厅, 55.63,62916,350,33,11
金玉苑,3室2厅, 101.98,66680,680,59,14
芝巷小区,2室1厅, 80.61,63268,510,19,8
宋家滩小区,3室1厅, 67.5,59260,400,86,9
开开大楼,2室1厅, 78.11,60172,470,63,12
书香名第,3室2厅, 127.09,59801,760,34,6
芝巷小区,2室1厅, 56.69,64915,368,34,2
海鑫公寓,2室1厅, 69,60870,420,36,5
长风一村小区,2室0厅, 62.88,55662,350,35,1
华师大一村,3室1厅, 72.81,77188,562,46,8
海鑫公寓,3室1厅, 98.86,61704,610,28,4
梅川一街坊,2室1厅, 58.68,65611,385,24,4
长风三村,3室0厅, 63.95,64895,415,16,3
怒江苑,4室3厅, 97,78351,760,37,1
长风二村风荷园,2室1厅, 57.8,58824,340,25,1
长风二村风荷园,2室0厅, 45.86,67598,310,12,1
星风花苑,2室2厅, 90.07,62174,560,171,3
开开公寓,2室1厅, 73.92,67641,500,12,3
海鑫公寓,2室2厅, 86.58,55903,484,60,3
宋家滩小区,2室1厅, 67.81,61938,420,8,3
梅岭新村,3室1厅, 106.85,59898,640,13,1
怒江新苑,2室2厅, 98.44,67859,668,3,0
怒江新村,1室1厅, 41.66,62410,260,2,0
长风二村长风馨苑,2室0厅, 41.78,62231,260,31,49
书香名第,2室2厅, 90.77,63898,580,118,21
海鑫公寓,1室2厅, 69,62029,428,23,10
书香名第,3室2厅, 134.29,59945,805,1,0
华师大三村,2室1厅, 68.79,68324,470,46,16
中江小区,2室1厅, 67.24,68412,460,56,11
长风二村长风馨苑,2室1厅, 41.78,63428,265,15,5
书香名第,3室2厅, 127.22,61312,780,70,6
宋家滩小区,1室1厅, 47.42,56939,270,26,6
长风二村风荷园,3室1厅, 62.41,60888,380,36,10
长风四村,1室1厅, 41.84,62142,260,15,6
长风二村风荷园,2室1厅, 47.95,62566,300,19,13
长风三村,2室1厅, 43.31,61187,265,64,10
芝巷小区,2室1厅, 73.17,66421,486,25,12
金玉苑,2室2厅, 69.54,71614,498,37,5
