CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
锦杨苑,3室2厅, 127.53,66259,845,97,6
霍兰公寓,2室1厅, 54.85,74750,410,64,23
浦江风景苑,2室2厅, 98.27,79374,780,30,23
眉州路515弄,1室0厅, 39.3,66158,260,37,53
全家福家园,2室2厅, 101.43,73943,750,79,19
银鹿大厦,3室2厅, 107.9,63022,680,25,2
明阳公寓,2室1厅, 67.68,67967,460,87,10
星惠佳苑,3室2厅, 137.53,71258,980,39,14
荣丰花园,2室1厅, 69.6,79023,550,19,10
永安小区(杨浦),1室1厅, 38.25,57517,220,22,7
保利香槟苑,2室2厅, 91.26,81635,745,99,11
星惠佳苑,3室2厅, 136.77,74578,1020,54,8
全家福家园,3室2厅, 95.93,69843,670,62,6
申泉小区,2室1厅, 61.51,69908,430,20,2
崇业小区,2室2厅, 81.05,74029,600,9,7
百兴花园,2室1厅, 84.13,64187,540,98,5
长阳新苑,4室2厅, 150.74,74301,1120,2,1
明阳公寓,2室1厅, 77.26,66011,510,27,1
广杭苑,2室2厅, 96.98,72180,700,14,7
锦杨苑,2室2厅, 109.03,72916,795,12,2
华晖绿苑,2室2厅, 87.75,70656,620,120,2
星惠佳苑,3室2厅, 143.04,69911,1000,11,3
锦杨苑,2室2厅, 109.03,77961,850,6,1
全家福家园,3室2厅, 84.27,77134,650,31,4
海杨公寓,5室2厅, 143.01,75520,1080,38,2
银鹿大厦,3室2厅, 112.41,66721,750,12,2
锦杨苑,2室1厅, 86.64,69253,600,94,4
联升大厦,2室2厅, 118.18,59232,700,8,3
海鹏花苑,3室2厅, 123.08,61586,758,21,2
锦杨苑,2室1厅, 86.64,69253,600,94,4
联升大厦,2室2厅, 118.18,59232,700,8,3
界龙商务大楼,2室1厅, 67.59,68058,460,32,0
申润江涛苑,3室2厅, 138.94,93566,1300,5,0
华晖苑,2室2厅, 108.74,75410,820,9,0
申泉小区,2室1厅, 49.49,64660,320,21,8
眉州路474弄,2室1厅, 56.82,70398,400,5,1
保利香槟苑,3室2厅, 115.83,99284,1150,62,28
秦家弄小区,1室0厅, 36.2,80111,290,4,21
渭南路149号,1室0厅, 33.79,68068,230,83,30
联升大厦,2室2厅, 92.21,68323,630,5,1
百兴花园,2室1厅, 80.17,64863,520,75,23
霍兰公寓,2室1厅, 81.04,64166,520,56,57
杭州路107弄,1室1厅, 33.45,74739,250,9,16
保利香槟苑,3室2厅, 108.84,82691,900,188,27
保利香槟苑,3室2厅, 91.08,98815,900,21,19
群益公寓,3室3厅, 178.28,49361,880,33,3
银龙新村,1室1厅, 34.39,69788,240,15,6
浦江风景苑,4室2厅, 162.49,81852,1330,19,8
荣丰花园,1室1厅, 50.18,83699,420,11,10
百兴花园,2室1厅, 81.17,60368,490,70,10
圣骊河滨苑,2室2厅, 85.84,82480,708,76,10
百兴花园,2室1厅, 81.17,66528,540,35,7
圣骊河滨苑,2室2厅, 83.31,90026,750,53,20
海杨公寓,2室2厅, 92.11,68397,630,45,8
